table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_sponsor,field_location,field_total_all_r_d_expenditures,field_total_basic_research,field_total_applied_research,field_total_experimental_development,field_federally_financed_all_r_d_expenditures,field_federally_financed_basic_research,field_federally_financed_applied_research,field_federally_financed_experimental_development
11318,r001,All FFRDCs,All FFRDCs,,,1,-,-,"['29,316,897', ' ']","['5,855,982', ' ']","['11,921,680', ' ']","['11,539,235', ' ']","['28,880,018', ' ']","['5,771,324', ' ']","['11,714,841', ' ']","['11,393,853', ' ']"
11318,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,-,-,"['8,179,862', ' ']","['3,077,984', ' ']","['2,085,061', ' ']","['3,016,817', ' ']","['8,010,234', ' ']","['3,004,289', ' ']","['2,029,324', ' ']","['2,976,621', ' ']"
11318,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,DOE,"Ames, IA","['40,638', '']","['19,651', '']","['20,140', '']","['847', '']","['40,091', '']","['19,651', '']","['19,949', '']","['491', '']"
11318,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,DOE,"Argonne, IL","['1,234,635', '']","['196,930', '']","['502,891', '']","['534,814', '']","['1,205,264', '']","['196,930', '']","['475,156', '']","['533,178', '']"
11318,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,DOE,"Batavia, IL","['402,122', '']","['399,159', '']","['2,963', '']","['0', '']","['400,573', '']","['398,145', '']","['2,428', '']","['0', '']"
11318,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory,All FFRDCs,University-administered FFRDCs,Green Bank Observatory,3,NSF,"Green Bank, WV","['12,326', '']","['11,686', '']","['295', '']","['345', '']","['11,909', '']","['11,504', '']","['74', '']","['331', '']"
11318,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,NASA,"Pasadena, CA","['2,671,305', '']","['267,131', '']","['267,131', '']","['2,137,043', '']","['2,671,305', '']","['267,131', '']","['267,131', '']","['2,137,043', '']"
11318,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,DOE,"Berkeley, CA","['1,190,504', '']","['1,097,198', '']","['90,274', '']","['3,032', '']","['1,131,175', '']","['1,046,769', '']","['81,722', '']","['2,684', '']"
11318,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"DOD, OSD","Lexington, MA","['1,265,060', '']","['11,972', '']","['1,130,346', '']","['122,742', '']","['1,234,615', '']","['11,972', '']","['1,130,346', '']","['92,297', '']"
11318,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,NSF,"Boulder, CO","['210,233', '']","['72,762', '']","['37,218', '']","['100,253', '']","['184,647', '']","['67,643', '']","['23,538', '']","['93,466', '']"
