table_id,row_id,subfield_of_study_full_path,subfield_of_study_level_1,subfield_of_study_level_2,subfield_of_study_level_3,subfield_of_study_level_4,subfield_of_study_level_5,subfield_of_study_hierarchy_depth,field_totala,field_male,field_female,field__female
954,r001,All fields,All fields,,,,,1,54664,29146,25495,46.6
954,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,12592,5629,6958,55.3
954,r003,All fields -> Life sciences -> Agricultural sciences and natural resources ,All fields,Life sciences,Agricultural sciences and natural resources ,,,3,1606,809,795,49.5
954,r004,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural economics,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural economics,,4,144,84,59,41.0
954,r005,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,"Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",,4,368,203,165,44.8
954,r006,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Animal nutrition, poultry science",All fields,Life sciences,Agricultural sciences and natural resources ,"Animal nutrition, poultry science",,4,51,25,26,51.0
954,r007,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Animal sciences, other",All fields,Life sciences,Agricultural sciences and natural resources ,"Animal sciences, other",,4,105,56,49,46.7
954,r008,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Environmental science,All fields,Life sciences,Agricultural sciences and natural resources ,Environmental science,,4,222,90,132,59.5
954,r009,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Fishing and fisheries sciences and management,All fields,Life sciences,Agricultural sciences and natural resources ,Fishing and fisheries sciences and management,,4,69,37,32,46.4
954,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Food science, food technology-other",All fields,Life sciences,Agricultural sciences and natural resources ,"Food science, food technology-other",,4,177,85,92,52.0
954,r011,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Forest biology, forest management, wood science, forestry sciences- other",All fields,Life sciences,Agricultural sciences and natural resources ,"Forest biology, forest management, wood science, forestry sciences- other",,4,165,84,80,48.5
954,r012,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resource and environmental policy,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resource and environmental policy,,4,54,21,33,61.1
954,r013,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation, wildlife and range management",All fields,Life sciences,Agricultural sciences and natural resources ,"Natural resources and conservation, wildlife and range management",,4,82,40,42,51.2
954,r014,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Soil chemistry and microbiology,All fields,Life sciences,Agricultural sciences and natural resources ,Soil chemistry and microbiology,,4,43,13,30,69.8
954,r015,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Soil sciences, other",All fields,Life sciences,Agricultural sciences and natural resources ,"Soil sciences, other",,4,52,30,22,42.3
954,r016,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences, aggregated",All fields,Life sciences,Agricultural sciences and natural resources ,"Agricultural sciences, aggregated",,4,74,41,33,44.6
954,r017,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,,,3,8477,4014,4461,52.6
954,r018,"All fields -> Life sciences -> Biological and biomedical sciences -> Anatomy, developmental biology",All fields,Life sciences,Biological and biomedical sciences,"Anatomy, developmental biology",,4,139,66,73,52.5
954,r019,"All fields -> Life sciences -> Biological and biomedical sciences -> Bacteriology, parasitology, and virology",All fields,Life sciences,Biological and biomedical sciences,"Bacteriology, parasitology, and virology",,4,138,62,76,55.1
954,r020,All fields -> Life sciences -> Biological and biomedical sciences -> Biochemistry (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),,4,815,430,385,47.2
954,r021,All fields -> Life sciences -> Biological and biomedical sciences -> Bioinformatics,All fields,Life sciences,Biological and biomedical sciences,Bioinformatics,,4,183,104,79,43.2
954,r022,All fields -> Life sciences -> Biological and biomedical sciences -> Biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,Biomedical sciences,,4,341,154,187,54.8
954,r023,All fields -> Life sciences -> Biological and biomedical sciences -> Biometrics and biostatistics,All fields,Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,,4,216,107,108,50.0
954,r024,All fields -> Life sciences -> Biological and biomedical sciences -> Biophysics (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),,4,208,124,84,40.4
954,r025,"All fields -> Life sciences -> Biological and biomedical sciences -> Botany, plant pathology, plant physiology",All fields,Life sciences,Biological and biomedical sciences,"Botany, plant pathology, plant physiology",,4,127,64,63,49.6
954,r026,All fields -> Life sciences -> Biological and biomedical sciences -> Cancer biology,All fields,Life sciences,Biological and biomedical sciences,Cancer biology,,4,364,156,208,57.1
954,r027,"All fields -> Life sciences -> Biological and biomedical sciences -> Cell, cellular biology, and histology",All fields,Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",,4,234,118,116,49.6
954,r028,All fields -> Life sciences -> Biological and biomedical sciences -> Computational biology,All fields,Life sciences,Biological and biomedical sciences,Computational biology,,4,147,95,52,35.4
954,r029,All fields -> Life sciences -> Biological and biomedical sciences -> Ecology,All fields,Life sciences,Biological and biomedical sciences,Ecology,,4,432,200,232,53.7
954,r030,"All fields -> Life sciences -> Biological and biomedical sciences -> Endocrinology, human/animal pathology",All fields,Life sciences,Biological and biomedical sciences,"Endocrinology, human/animal pathology",,4,90,32,58,64.4
954,r031,All fields -> Life sciences -> Biological and biomedical sciences -> Entomology,All fields,Life sciences,Biological and biomedical sciences,Entomology,,4,129,67,62,48.1
954,r032,All fields -> Life sciences -> Biological and biomedical sciences -> Environmental toxicology (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Environmental toxicology (biological sciences),,4,64,36,28,43.8
954,r033,All fields -> Life sciences -> Biological and biomedical sciences -> Epidemiology,All fields,Life sciences,Biological and biomedical sciences,Epidemiology,,4,351,103,248,70.7
954,r034,All fields -> Life sciences -> Biological and biomedical sciences -> Evolutionary biology,All fields,Life sciences,Biological and biomedical sciences,Evolutionary biology,,4,224,116,108,48.2
954,r035,"All fields -> Life sciences -> Biological and biomedical sciences -> Genetics and genomics, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Genetics and genomics, human and animal",,4,345,157,188,54.5
954,r036,All fields -> Life sciences -> Biological and biomedical sciences -> Immunology,All fields,Life sciences,Biological and biomedical sciences,Immunology,,4,401,178,223,55.6
954,r037,All fields -> Life sciences -> Biological and biomedical sciences -> Microbiology,All fields,Life sciences,Biological and biomedical sciences,Microbiology,,4,410,192,218,53.2
954,r038,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular biology,All fields,Life sciences,Biological and biomedical sciences,Molecular biology,,4,624,305,319,51.1
954,r039,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular medicine,All fields,Life sciences,Biological and biomedical sciences,Molecular medicine,,4,67,32,35,52.2
954,r040,"All fields -> Life sciences -> Biological and biomedical sciences -> Neurosciences, neurobiology",All fields,Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiology",,4,985,482,503,51.1
954,r041,All fields -> Life sciences -> Biological and biomedical sciences -> Nutrition sciences,All fields,Life sciences,Biological and biomedical sciences,Nutrition sciences,,4,215,53,162,75.3
954,r042,"All fields -> Life sciences -> Biological and biomedical sciences -> Pharmacology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",,4,236,113,123,52.1
954,r043,"All fields -> Life sciences -> Biological and biomedical sciences -> Physiology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Physiology, human and animal",,4,165,94,71,43.0
954,r044,All fields -> Life sciences -> Biological and biomedical sciences -> Plant genetics,All fields,Life sciences,Biological and biomedical sciences,Plant genetics,,4,49,26,23,46.9
954,r045,All fields -> Life sciences -> Biological and biomedical sciences -> Structural biology,All fields,Life sciences,Biological and biomedical sciences,Structural biology,,4,55,33,22,40.0
954,r046,All fields -> Life sciences -> Biological and biomedical sciences -> Toxicology,All fields,Life sciences,Biological and biomedical sciences,Toxicology,,4,81,29,52,64.2
954,r047,All fields -> Life sciences -> Biological and biomedical sciences -> Wildlife biology,All fields,Life sciences,Biological and biomedical sciences,Wildlife biology,,4,62,29,33,53.2
954,r048,All fields -> Life sciences -> Biological and biomedical sciences -> Zoology,All fields,Life sciences,Biological and biomedical sciences,Zoology,,4,44,17,27,61.4
954,r049,"All fields -> Life sciences -> Biological and biomedical sciences -> Biological and biomedical sciences, general",All fields,Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",,4,391,177,213,54.5
954,r050,"All fields -> Life sciences -> Biological and biomedical sciences -> Biotechnology, biology/biomedical sciences-other",All fields,Life sciences,Biological and biomedical sciences,"Biotechnology, biology/biomedical sciences-other",,4,145,63,82,56.6
954,r051,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,,,3,2509,806,1702,67.8
954,r052,All fields -> Life sciences -> Health sciences -> Environmental health,All fields,Life sciences,Health sciences,Environmental health,,4,84,31,53,63.1
954,r053,All fields -> Life sciences -> Health sciences -> Health and behavior,All fields,Life sciences,Health sciences,Health and behavior,,4,82,22,60,73.2
954,r054,All fields -> Life sciences -> Health sciences -> Health services/systems administration,All fields,Life sciences,Health sciences,Health services/systems administration,,4,203,73,130,64.0
954,r055,"All fields -> Life sciences -> Health sciences -> Kinesiology, exercise science",All fields,Life sciences,Health sciences,"Kinesiology, exercise science",,4,276,147,129,46.7
