table_id,row_id,_b_region_and_country_or_economy_of_citizenship_b_full_path,_b_region_and_country_or_economy_of_citizenship_b_level_1,_b_region_and_country_or_economy_of_citizenship_b_level_2,_b_region_and_country_or_economy_of_citizenship_b_level_3,_b_region_and_country_or_economy_of_citizenship_b_hierarchy_depth,field_2017_23_number,field_2017_23_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying,field_2019_number,field_2019_staying,field_2020_number,field_2020_staying,field_2021_number,field_2021_staying,field_2022_number,field_2022_staying,field_2023_number,field_2023_staying
11762,r001,All temporary visa holders,All temporary visa holders,,,1,127448,73.2,16288,74.3,17582,72.0,18324,71.2,18473,73.0,17768,70.8,19620,74.3,19393,76.2
11762,r002,All temporary visa holders -> Africa,All temporary visa holders,Africa,,2,5510,75.3,700,70.9,745,70.6,743,72.0,788,72.6,763,73.7,909,78.5,862,86.4
11762,r003,All temporary visa holders -> Africa -> Nigeria,All temporary visa holders,Africa,Nigeria,3,1318,82.1,113,77.9,147,75.5,145,81.4,161,79.5,193,78.2,294,83.0,265,91.3
11762,r004,All temporary visa holders -> Africa -> Egypt,All temporary visa holders,Africa,Egypt,3,1024,77.7,156,69.9,156,73.7,163,74.8,127,81.1,134,79.9,143,81.8,145,84.8
11762,r005,All temporary visa holders -> Africa -> Ghana,All temporary visa holders,Africa,Ghana,3,719,76.9,85,71.8,103,66.0,88,72.7,106,73.6,88,79.5,125,79.2,124,91.1
11762,r006,All temporary visa holders -> Africa -> Libya,All temporary visa holders,Africa,Libya,3,347,75.8,48,75.0,56,76.8,61,68.9,61,77.0,57,78.9,40,77.5,24,
11762,r007,All temporary visa holders -> Africa -> Kenya,All temporary visa holders,Africa,Kenya,3,336,70.2,57,63.2,50,68.0,38,78.9,57,70.2,53,58.5,43,79.1,38,81.6
11762,r008,All temporary visa holders -> Africa -> Ethiopia,All temporary visa holders,Africa,Ethiopia,3,247,,31,83.9,31,,35,71.4,28,82.1,30,76.7,43,,49,87.8
11762,r009,All temporary visa holders -> Africa -> Uganda,All temporary visa holders,Africa,Uganda,3,170,54.7,19,47.4,20,50.0,20,45.0,30,53.3,28,42.9,29,72.4,24,66.7
11762,r010,All temporary visa holders -> Africa -> South Africa,All temporary visa holders,Africa,South Africa,3,169,52.1,20,45.0,26,53.8,29,51.7,24,54.2,23,60.9,26,38.5,21,61.9
11762,r011,All temporary visa holders -> Africa -> Zimbabwe,All temporary visa holders,Africa,Zimbabwe,3,135,,24,,18,66.7,16,,22,,18,,23,73.9,14,
11762,r012,All temporary visa holders -> Africa -> Cameroon,All temporary visa holders,Africa,Cameroon,3,119,,23,,17,70.6,18,,14,,11,,11,90.9,25,
11762,r013,All temporary visa holders -> Africa -> Tunisia,All temporary visa holders,Africa,Tunisia,3,97,,14,,8,,14,,15,,14,,16,,16,
11762,r014,All temporary visa holders -> Africa -> Rwanda,All temporary visa holders,Africa,Rwanda,3,89,,6,,10,,11,,28,60.7,12,,13,61.5,9,
11762,r015,All temporary visa holders -> Africa -> Tanzania,All temporary visa holders,Africa,Tanzania,3,75,,17,29.4,9,,7,,10,,12,,8,,12,
11762,r016,All temporary visa holders -> Africa -> Other,All temporary visa holders,Africa,Other,3,665,66.8,87,65.5,94,67.0,98,57.1,105,59.0,90,67.8,95,70.5,96,81.3
11762,r017,All temporary visa holders -> Americas,All temporary visa holders,Americas,,2,11066,63.1,1444,56.5,1474,60.0,1536,60.7,1669,60.1,1512,64.3,1714,68.0,1717,70.2
11762,r018,All temporary visa holders -> Americas -> Canada,All temporary visa holders,Americas,Canada,3,2913,59.7,409,59.2,431,62.2,427,62.3,398,57.8,369,54.5,474,59.1,405,62.5
11762,r019,All temporary visa holders -> Americas -> Brazil,All temporary visa holders,Americas,Brazil,3,1770,67.1,168,61.3,178,61.2,253,63.6,318,60.7,273,72.2,282,73.4,298,72.8
11762,r020,All temporary visa holders -> Americas -> Mexico,All temporary visa holders,Americas,Mexico,3,1467,71.0,180,69.4,185,71.4,187,64.2,236,64.0,218,71.6,226,76.1,235,79.1
11762,r021,All temporary visa holders -> Americas -> Colombia,All temporary visa holders,Americas,Colombia,3,1430,61.2,190,48.4,205,52.7,202,58.9,191,60.2,191,66.5,224,66.5,227,72.7
11762,r022,All temporary visa holders -> Americas -> Chile,All temporary visa holders,Americas,Chile,3,713,44.9,128,25.8,91,39.6,100,35.0,106,43.4,85,54.1,92,64.1,111,58.6
11762,r023,All temporary visa holders -> Americas -> Argentina,All temporary visa holders,Americas,Argentina,3,384,66.4,52,69.2,60,66.7,52,61.5,64,68.8,46,63.0,42,71.4,68,64.7
11762,r024,All temporary visa holders -> Americas -> Peru,All temporary visa holders,Americas,Peru,3,379,70.7,50,70.0,46,50.0,51,76.5,55,72.7,48,72.9,63,76.2,66,72.7
11762,r025,All temporary visa holders -> Americas -> Ecuador,All temporary visa holders,Americas,Ecuador,3,345,55.9,49,36.7,44,38.6,50,42.0,49,63.3,54,59.3,44,77.3,55,72.7
11762,r026,All temporary visa holders -> Americas -> Venezuela,All temporary visa holders,Americas,Venezuela,3,221,,31,67.7,26,76.9,28,82.1,32,,30,,43,,31,
11762,r027,All temporary visa holders -> Americas -> Costa Rica,All temporary visa holders,Americas,Costa Rica,3,219,52.1,24,45.8,28,50.0,26,38.5,31,41.9,35,51.4,41,63.4,34,64.7
11762,r028,All temporary visa holders -> Americas -> Jamaica,All temporary visa holders,Americas,Jamaica,3,219,67.6,29,69.0,44,54.5,32,68.8,30,80.0,30,60.0,28,67.9,26,80.8
11762,r029,All temporary visa holders -> Americas -> Trinidad and Tobago,All temporary visa holders,Americas,Trinidad and Tobago,3,123,,17,64.7,21,,15,66.7,26,57.7,16,68.8,12,58.3,16,62.5
11762,r030,All temporary visa holders -> Americas -> Honduras,All temporary visa holders,Americas,Honduras,3,104,,12,58.3,14,,13,,10,,12,,19,,24,
11762,r031,All temporary visa holders -> Americas -> Uruguay,All temporary visa holders,Americas,Uruguay,3,100,,7,,15,,18,55.6,15,46.7,16,50.0,18,50.0,11,54.5
11762,r032,All temporary visa holders -> Americas -> Guatemala,All temporary visa holders,Americas,Guatemala,3,92,,12,41.7,12,,11,,17,70.6,13,46.2,14,,13,
11762,r033,All temporary visa holders -> Americas -> Dominican Republic,All temporary visa holders,Americas,Dominican Republic,3,82,,8,,10,50.0,6,,18,33.3,8,,18,,14,64.3
11762,r034,All temporary visa holders -> Americas -> El Salvador,All temporary visa holders,Americas,El Salvador,3,60,,8,,12,,6,,9,,9,,7,,9,
11762,r035,All temporary visa holders -> Americas -> Bolivia,All temporary visa holders,Americas,Bolivia,3,58,,12,58.3,5,,8,,8,,11,,5,,9,
11762,r036,All temporary visa holders -> Americas -> Other,All temporary visa holders,Americas,Other,3,387,,58,60.3,47,66.0,51,66.7,56,,48,62.5,62,64.5,65,69.2
11762,r037,All temporary visa holders -> Asia,All temporary visa holders,Asia,,2,82895,78.2,10640,80.0,11323,77.5,11622,77.2,11813,79.0,11638,75.0,12854,78.3,13005,79.9
11762,r038,All temporary visa holders -> Asia -> China<sup>a</sup>,All temporary visa holders,Asia,China<sup>a</sup>,3,43902,78.5,5552,83.3,6188,79.4,6316,79.2,6335,80.1,6198,73.8,6661,76.7,6652,77.5
11762,r039,All temporary visa holders -> Asia -> India,All temporary visa holders,Asia,India,3,16057,87.6,1970,88.5,2045,87.1,2056,85.9,2250,88.0,2300,85.8,2674,88.2,2762,89.0
11762,r040,All temporary visa holders -> Asia -> South Korea,All temporary visa holders,Asia,South Korea,3,7611,66.4,1129,68.5,1039,63.6,1168,65.3,1055,66.9,1036,63.8,1075,65.1,1109,71.1
11762,r041,All temporary visa holders -> Asia -> Taiwan,All temporary visa holders,Asia,Taiwan,3,3282,77.0,520,76.7,514,78.0,492,73.4,468,76.9,410,73.9,416,80.5,462,79.7
11762,r042,All temporary visa holders -> Asia -> Bangladesh,All temporary visa holders,Asia,Bangladesh,3,2700,88.4,236,88.1,280,88.2,292,86.0,392,86.0,397,88.4,551,88.7,552,91.5
11762,r043,All temporary visa holders -> Asia -> Nepal,All temporary visa holders,Asia,Nepal,3,1804,92.1,221,91.9,225,88.9,241,89.6,226,94.7,252,92.9,313,92.0,326,94.2
11762,r044,All temporary visa holders -> Asia -> Sri Lanka,All temporary visa holders,Asia,Sri Lanka,3,1238,84.0,146,81.5,150,85.3,151,83.4,174,85.1,181,76.8,207,81.6,229,92.1
11762,r045,All temporary visa holders -> Asia -> Vietnam,All temporary visa holders,Asia,Vietnam,3,1136,79.7,133,75.9,122,80.3,168,76.2,166,74.1,152,79.6,207,86.5,188,82.4
11762,r046,All temporary visa holders -> Asia -> Thailand,All temporary visa holders,Asia,Thailand,3,985,,171,25.7,177,31.1,159,30.2,127,30.7,125,,112,48.2,114,35.1
11762,r047,All temporary visa holders -> Asia -> Pakistan,All temporary visa holders,Asia,Pakistan,3,972,65.3,113,54.0,110,59.1,112,64.3,157,70.7,135,63.7,167,68.9,178,70.2
11762,r048,All temporary visa holders -> Asia -> Japan,All temporary visa holders,Asia,Japan,3,836,51.7,117,58.1,118,50.0,128,51.6,114,50.0,123,49.6,121,52.1,115,50.4
11762,r049,All temporary visa holders -> Asia -> Singapore,All temporary visa holders,Asia,Singapore,3,607,42.2,101,41.6,81,25.9,100,38.0,107,49.5,72,37.5,77,50.6,69,52.2
11762,r050,All temporary visa holders -> Asia -> Indonesia,All temporary visa holders,Asia,Indonesia,3,533,43.0,69,50.7,81,34.6,79,43.0,77,44.2,78,47.4,76,38.2,73,
11762,r051,All temporary visa holders -> Asia -> Malaysia,All temporary visa holders,Asia,Malaysia,3,470,63.0,65,47.7,83,59.0,71,50.7,59,52.5,61,70.5,70,78.6,61,83.6
11762,r052,All temporary visa holders -> Asia -> Philippines,All temporary visa holders,Asia,Philippines,3,344,,47,70.2,57,73.7,38,65.8,45,64.4,58,51.7,55,,44,75.0
11762,r053,All temporary visa holders -> Asia -> Kazakhstan,All temporary visa holders,Asia,Kazakhstan,3,108,,6,,8,,11,,17,70.6,18,72.2,16,68.8,32,78.1
