table_id,row_id,_b_type_of_institution_b_full_path,_b_type_of_institution_b_level_1,_b_type_of_institution_b_level_2,_b_type_of_institution_b_level_3,_b_type_of_institution_b_hierarchy_depth,field_institutions_with_research_space_number_a,field_institutions_with_research_space_shared_with_other_fields_number,field_institutions_with_research_space_shared_with_other_fields_percent,field_institutions_with_research_space_also_used_for_nonresearch_purposes_number,field_institutions_with_research_space_also_used_for_nonresearch_purposes_percent
12849,r001,All institutions,All institutions,,,1,571,345,60,372,65
12849,r002,All institutions -> Doctorate granting,All institutions,Doctorate granting,,2,438,268,61,283,65
12849,r003,All institutions -> Doctorate granting -> Public,All institutions,Doctorate granting,Public,3,305,186,61,192,63
12849,r004,All institutions -> Doctorate granting -> Private,All institutions,Doctorate granting,Private,3,133,82,62,91,68
12849,r005,All institutions -> Nondoctorate granting,All institutions,Nondoctorate granting,,2,133,77,58,89,67
