table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6238,r001,World,World,,,,1,103627,107921,114580,133947,146610,171202,178178,174360,182640,196720,197786,208339,219040,221393,219874,233748,247522,258874
6238,r002,World -> North America,World,North America,,,2,61920,61542,64005,76633,83323,99400,98491,102078,106707,111143,111299,117382,125099,133892,129723,137795,144087,152239
6238,r003,World -> North America -> Canada,World,North America,Canada,,3,3665,4438,4653,4978,5570,6400,7284,6143,6592,6801,7553,8359,8848,8064,6814,7228,7666,8365
6238,r004,World -> North America -> Mexico,World,North America,Mexico,,3,533,389,427,480,519,597,678,534,589,745,997,1180,1356,1389,1324,1361,1547,1600
6238,r005,World -> North America -> United States,World,North America,United States,,3,57722,56715,58925,71176,77234,92402,90529,95402,99527,103597,102750,107842,114895,124439,121585,129207,134874,142274
6238,r006,World -> Central and South America,World,Central and South America,,,2,1780,1494,1924,1559,1824,1953,2315,1524,2165,2451,2518,3084,2706,2199,2020,2825,1910,1744
6238,r007,World -> Central and South America -> Argentina,World,Central and South America,Argentina,,3,4,5,6,8,8,10,11,10,10,10,9,9,7,7,6,8,7,5
6238,r008,World -> Central and South America -> Brazil,World,Central and South America,Brazil,,3,1587,1288,1757,1445,1705,1790,2143,1300,1917,2239,2215,2807,2445,2006,1859,2649,1722,1541
6238,r009,World -> Central and South America -> Chile,World,Central and South America,Chile,,3,7,13,22,12,10,10,8,8,9,11,12,16,17,9,12,14,14,12
6238,r010,World -> Central and South America -> Colombia,World,Central and South America,Colombia,,3,24,21,13,16,22,33,38,60,79,80,92,95,91,50,38,52,60,67
6238,r011,World -> Central and South America -> Peru,World,Central and South America,Peru,,3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
6238,r012,World -> Central and South America -> Other Central and South America,World,Central and South America,Other Central and South America,,3,158,167,125,79,79,110,115,146,149,111,190,158,146,128,103,101,107,120
6238,r013,World -> Europe,World,Europe,,,2,28710,32254,34774,40497,43697,48598,54529,47010,47646,55709,57948,62107,64368,57584,56990,60868,63251,61594
6238,r014,World -> Europe -> EU,World,Europe,EU,,3,17023,18437,17787,22288,23439,27029,33233,30015,30362,33178,34936,37822,40781,36861,38210,41932,45471,43849
6238,r015,World -> Europe -> EU -> France,World,Europe,EU,France,4,6316,6915,5573,8208,9338,10821,12955,11700,10872,11371,13150,14225,15316,14909,15139,14240,14514,13142
6238,r016,World -> Europe -> EU -> Germany,World,Europe,EU,Germany,4,5667,5848,5871,7345,6906,8027,9397,8278,9715,9892,10617,10935,11824,10538,10878,14818,17008,17244
6238,r017,World -> Europe -> EU -> Italy,World,Europe,EU,Italy,4,2026,1783,2222,2232,2442,2848,4776,4340,4022,4186,4072,3628,4503,3587,4609,4701,5384,5266
6238,r018,World -> Europe -> EU -> Spain,World,Europe,EU,Spain,4,765,1061,1183,1268,1480,1516,2004,1915,1787,2955,2638,3934,3731,2911,2606,2956,3312,3137
6238,r019,World -> Europe -> EU -> Other EU,World,Europe,EU,Other EU,4,2250,2830,2937,3235,3273,3817,4102,3782,3967,4775,4458,5099,5407,4915,4979,5217,5253,5060
6238,r020,World -> Europe -> Non-EU,World,Europe,Non-EU,,3,11687,13817,16987,18210,20258,21569,21296,16995,17284,22531,23013,24285,23587,20723,18780,18935,17780,17745
6238,r021,World -> Europe -> Non-EU -> United Kingdom,World,Europe,Non-EU,United Kingdom,4,10021,11836,14321,14785,15916,15779,14650,10752,9728,12665,11723,10909,10824,12304,10460,10841,9925,9194
6238,r022,World -> Europe -> Non-EU -> Russia,World,Europe,Non-EU,Russia,4,1131,1410,1949,2420,3104,4314,4734,4241,5024,6381,8092,9827,9620,5475,5444,5507,4936,5238
6238,r023,World -> Europe -> Non-EU -> Switzerland,World,Europe,Non-EU,Switzerland,4,168,211,249,261,294,334,400,384,758,1117,971,1189,1243,1254,996,1055,1116,1083
6238,r024,World -> Europe -> Non-EU -> Other non-EU,World,Europe,Non-EU,Other non-EU,4,368,361,468,743,944,1142,1512,1617,1773,2368,2227,2360,1901,1690,1880,1532,1803,2230
6238,r025,World -> Middle East,World,Middle East,,,2,809,1159,1296,1270,1379,1421,1820,1763,1818,2183,1964,2037,2159,2025,2149,2539,2571,2755
6238,r026,World -> Middle East -> Iran,World,Middle East,Iran,,3,197,480,523,440,477,276,327,325,344,505,268,230,302,291,308,361,321,312
6238,r027,World -> Middle East -> Israel,World,Middle East,Israel,,3,517,569,634,664,711,905,1171,1158,1155,1273,1289,1413,1459,1341,1358,1572,1650,1755
6238,r028,World -> Middle East -> Saudi Arabia,World,Middle East,Saudi Arabia,,3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
6238,r029,World -> Middle East -> United Arab Emirates,World,Middle East,United Arab Emirates,,3,63,71,83,103,138,158,184,136,150,177,197,217,220,235,262,269,244,329
6238,r030,World -> Middle East -> Other Middle East,World,Middle East,Other Middle East,,3,33,39,56,63,53,82,138,143,169,227,210,177,178,158,220,336,357,359
6238,r031,World -> Africa,World,Africa,,,2,366,458,492,541,583,434,481,488,527,555,562,581,606,539,704,890,956,986
6238,r032,World -> Africa -> Egypt,World,Africa,Egypt,,3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
6238,r033,World -> Africa -> Nigeria,World,Africa,Nigeria,,3,10,10,11,11,11,12,12,12,11,11,12,13,14,13,10,10,19,33
6238,r034,World -> Africa -> South Africa,World,Africa,South Africa,,3,91,121,141,144,150,163,158,187,198,193,183,165,156,161,169,165,164,152
6238,r035,World -> Africa -> Other Africa,World,Africa,Other Africa,,3,265,327,340,386,422,259,312,289,318,351,366,402,437,364,525,714,773,800
