table_id,row_id,_nbsp_employment_sector_full_path,_nbsp_employment_sector_level_1,_nbsp_employment_sector_level_2,_nbsp_employment_sector_level_3,_nbsp_employment_sector_hierarchy_depth,field_all_employed_scientists_and_engineers,field_all_employed_non_scientists_and_engineers,field_all_employed_scientists_and_engineers_highest_degree_in_s_e,field_all_employed_scientists_and_engineers_s_e_occupations,field_all_employed_scientists_and_engineers_s_e_related_occupations,field_all_employed_scientists_and_engineers_non_s_e_occupations
4389,r001,Total (number),Total (number),,,1,28627000,21897000,15362000,7466000,8893000,12267000
4389,r002,Total (number) -> Business or industry,Total (number),Business or industry,,2,71.9,66.4,73.9,72.9,72.8,70.7
4389,r003,Total (number) -> Business or industry -> For-profit businesses,Total (number),Business or industry,For-profit businesses,3,54.4,51.1,60.3,65.3,48.3,52.2
4389,r004,Total (number) -> Business or industry -> Nonprofit organizations,Total (number),Business or industry,Nonprofit organizations,3,11.7,7.9,8.0,5.1,19.8,9.9
4389,r005,"Total (number) -> Business or industry -> Self-employed, unincorporated businesses",Total (number),Business or industry,"Self-employed, unincorporated businesses",3,5.8,7.3,5.7,2.5,4.7,8.6
4389,r006,Total (number) -> Education,Total (number),Education,,2,17.9,23.8,15.3,16.4,20.1,17.3
4389,r007,Total (number) -> Education -> 4-year institutions,Total (number),Education,4-year institutions,3,8.0,4.6,8.6,13.6,7.3,5.1
4389,r008,Total (number) -> Education -> 2-year and precollege institutions,Total (number),Education,2-year and precollege institutions,3,9.9,19.5,6.7,2.8,12.9,12.1
4389,r009,Total (number) -> Government,Total (number),Government,,2,10.1,9.9,10.8,10.7,7.1,12.0
4389,r010,Total (number) -> Government -> Federal,Total (number),Government,Federal,3,4.4,3.3,4.9,5.6,3.4,4.4
4389,r011,Total (number) -> Government -> State or local,Total (number),Government,State or local,3,5.7,6.5,6.0,5.0,3.7,7.6
