table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2022
10845,r001,All fields,All fields,,,1,22260098
10845,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,974835
10845,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,1438969
10845,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,176928
10845,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,183877
10845,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,453031
10845,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,625132
10845,r008,All fields -> Life sciences,All fields,Life sciences,,2,10607163
10845,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,94736
10845,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,6162998
10845,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,3213201
10845,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,990
10845,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1135238
10845,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,404997
10845,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,3347125
10845,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,384787
10845,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,808157
10845,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,341500
10845,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,832830
10845,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,979851
10845,r021,All fields -> Psychology,All fields,Psychology,,2,1508304
10845,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,16319
10845,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,10975
10845,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,1481010
10845,r025,All fields -> Social sciences,All fields,Social sciences,,2,568185
10845,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,18432
10845,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,34736
10845,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,171
10845,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,21512
10845,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,493334
10845,r031,All fields -> Engineering,All fields,Engineering,,2,2148585
10845,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,43116
10845,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,35808
10845,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,107116
10845,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,60015
10845,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,142225
10845,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,39924
10845,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,94506
10845,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,74164
10845,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,1551710
10845,r041,All fields -> Other fields,All fields,Other fields,,2,1261936
10845,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,14628
10845,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,0
10845,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,310795
10845,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,1
10845,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,5765
10845,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0
10845,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0
10845,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,930746
