table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_doc,field_doda,field_doe,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_otherb
11230,r001,All institutions,All institutions,,1,-,41303924,417646,4499967,1476523,191852,33058,25303729,2057512,5847197,1184208,292232
11230,r002,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,1,1753812,746,538276,8232,1411,0,801652,368592,33606,15,1281
11230,r003,All institutions -> U. Washington,All institutions,U. Washington,2,2,873274,23965,102472,30456,2221,0,556728,17039,127619,2683,10090
11230,r004,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,3,848318,19280,93764,20322,0,399,550846,12279,150665,485,278
11230,r005,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,4,836277,21,43985,0,0,0,785821,0,6450,0,0
11230,r006,All institutions -> U. Michigan,All institutions,U. Michigan,2,5,827701,6254,59945,32118,3039,0,600908,27966,94308,1575,1588
11230,r007,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,6,803388,2518,39424,14330,0,0,639019,22731,84185,958,223
11230,r008,All institutions -> Stanford U.,All institutions,Stanford U.,2,7,778508,181,83832,24230,1143,1350,601134,17387,45407,875,2969
11230,r009,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,8,754809,42424,52410,19821,294,992,349677,166896,120145,988,1163
11230,r010,All institutions -> Duke U.,All institutions,Duke U.,2,9,745052,50,34268,18655,897,248,646959,1156,42666,0,152
11230,r011,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,10,737785,336,50427,25223,532,0,569310,17925,71339,2692,0
11230,r012,All institutions -> U. Pittsburgh,All institutions,U. Pittsburgh,2,11,737138,0,55447,7345,4235,0,639280,2339,25697,0,2796
11230,r013,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,12,723114,0,46823,11311,1832,0,616283,1119,41302,2866,1578
11230,r014,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,13,643672,0,16520,5925,0,0,588232,10830,22164,0,0
11230,r015,"All institutions -> U. North Carolina, The, Chapel Hill",All institutions,"U. North Carolina, The, Chapel Hill",2,14,623747,150,21533,11098,4277,2362,552307,1056,29037,75,1851
11230,r016,All institutions -> Yale U.,All institutions,Yale U.,2,15,598880,100,20973,6485,987,0,544833,1837,22196,75,1394
11230,r017,All institutions -> U. Minnesota,All institutions,U. Minnesota,2,16,570913,1326,27338,19775,3830,982,416587,6961,69904,23717,494
11230,r018,All institutions -> Emory U.,All institutions,Emory U.,2,17,563391,0,8261,2295,0,1600,543161,554,6348,304,867
11230,r019,"All institutions -> Northwestern U., Evanston",All institutions,"Northwestern U., Evanston",2,18,534700,0,37234,19223,287,0,426767,2177,48952,0,60
