table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_doc,field_dod,field_doe,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10403,r001,All institutions,All institutions,,1,-,43222829,454335,5350798,1595404,191599,46981,25610027,1395567,6380720,1841690,355707
10403,r002,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,1,1870070,484,716822,6214,4187,3363,821918,273219,39729,500,3635
10403,r003,All institutions -> New York U.,All institutions,New York U.,2,2,908353,400,19098,2695,1405,1593,876950,1156,842,2808,1406
10403,r004,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,3,858385,8489,99294,35450,231,885,525683,11731,173501,2736,384
10403,r005,All institutions -> Duke U.,All institutions,Duke U.,2,4,837060,122,45813,9356,1078,0,725638,1402,47676,757,5218
10403,r006,All institutions -> U. Washington,All institutions,U. Washington,2,5,834089,18133,107475,31345,2772,648,539668,16087,109325,3067,5568
10403,r007,All institutions -> U. Michigan,All institutions,U. Michigan,2,6,823101,4131,88659,25674,900,1464,584162,10067,99789,1333,6922
10403,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,7,822294,3150,43336,17408,190,0,639180,19691,98556,454,330
10403,r009,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,8,782571,0,67256,0,0,0,705024,130,10159,2,0
10403,r010,All institutions -> U. Pittsburgh,All institutions,U. Pittsburgh,2,9,746051,0,93016,5047,1996,0,602569,1713,38412,551,2746
10403,r011,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,10,734635,0,51499,12708,1742,0,621928,2440,42270,1733,316
10403,r012,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,11,730449,929,63606,23677,1030,0,580968,0,59056,800,383
10403,r013,All institutions -> Stanford U.,All institutions,Stanford U.,2,12,727830,0,62907,22144,1851,1181,576644,11513,49537,245,1809
10403,r014,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,13,696843,58075,78015,15050,32,1696,361095,61842,117883,1927,1228
10403,r015,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,14,683973,10,45651,0,0,879,610250,9368,17816,0,0
10403,r016,All institutions -> Yale U.,All institutions,Yale U.,2,15,643194,119,65046,9475,432,0,532867,1899,30691,280,2384
10403,r017,"All institutions -> Cornell U., Ithaca",All institutions,"Cornell U., Ithaca",2,16,580630,914,62594,23767,0,0,320033,4136,114121,52677,2388
10403,r018,"All institutions -> U. North Carolina, The, Chapel Hill",All institutions,"U. North Carolina, The, Chapel Hill",2,17,578876,0,33538,11083,5191,4246,484819,631,35160,235,3973
10403,r019,"All institutions -> Northwestern U., Evanston",All institutions,"Northwestern U., Evanston",2,18,554882,5050,62317,19676,782,0,416459,2246,48292,0,60
10403,r020,All institutions -> Pennsylvania State U.,All institutions,Pennsylvania State U.,2,19,549070,1628,215138,37445,1705,0,146349,14154,83248,43490,5913
10403,r021,All institutions -> Vanderbilt U.,All institutions,Vanderbilt U.,2,20,542355,180,33016,7269,3358,0,464321,2830,31370,0,10
10403,r022,All institutions -> U. Minnesota,All institutions,U. Minnesota,2,21,525480,1578,39725,24243,3707,413,332567,5491,61046,52859,3851
10403,r023,All institutions -> Harvard U.,All institutions,Harvard U.,2,22,513429,200,54695,17252,2805,0,389393,376,46897,800,1011
10403,r024,All institutions -> Emory U.,All institutions,Emory U.,2,23,507223,0,7297,1700,0,1941,482078,940,12022,180,1066
10403,r025,All institutions -> U. Southern California,All institutions,U. Southern California,2,24,502370,2171,113219,7137,4082,0,307489,2629,61146,500,3997
10403,r026,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,25,464264,3430,192010,65432,0,0,106721,14069,80321,480,1802
10403,r027,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,26,451086,0,15172,0,0,0,434675,160,1079,0,0
10403,r028,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,27,450025,0,1482,0,2674,485,350665,3168,86602,2095,2854
10403,r029,All institutions -> Baylor C. Medicine,All institutions,Baylor C. Medicine,2,28,419916,250,35209,0,0,0,351774,19520,1621,11541,0
10403,r030,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,29,410039,90,22590,13590,2069,1938,266982,6394,47974,37878,10534
10403,r031,"All institutions -> Ohio State U., The",All institutions,"Ohio State U., The",2,30,380003,1500,37333,21168,1463,1181,224447,5706,62575,21761,2869
10403,r032,"All institutions -> U. Alabama, The, Birmingham",All institutions,"U. Alabama, The, Birmingham",2,31,363792,0,18980,335,256,0,333724,5709,4331,0,457
10403,r033,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,32,363429,4497,201805,19207,0,2078,39815,16498,73054,50,6426
10403,r034,"All institutions -> U. Texas, The, Austin",All institutions,"U. Texas, The, Austin",2,33,354482,951,120686,27526,4851,0,77232,10382,110150,25,2679
10403,r035,All institutions -> U. Florida,All institutions,U. Florida,2,34,351105,6295,29856,10699,2574,0,207595,9459,47774,33224,3630
10403,r036,"All institutions -> U. Chicago, The",All institutions,"U. Chicago, The",2,35,337367,145,16127,14256,1643,0,221899,8882,72375,475,1566
10403,r037,"All institutions -> Rutgers, The State U. New Jersey",All institutions,"Rutgers, The State U. New Jersey",2,36,330079,319,15745,6848,3295,0,221374,3453,60352,13999,4694
10403,r038,All institutions -> Boston U.,All institutions,Boston U.,2,37,329790,478,10567,4833,289,0,283124,6123,22418,937,1021
10403,r039,"All institutions -> U. Utah, The",All institutions,"U. Utah, The",2,38,329498,1847,34986,10310,0,0,232257,3257,46514,309,19
10403,r040,"All institutions -> Texas A&M U., College Station",All institutions,"Texas A&M U., College Station",2,39,321733,1784,25021,25278,4753,0,72581,2897,116096,66396,6926
10403,r041,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,40,320625,638,30416,14284,283,1167,136837,54827,76636,1190,4347
10403,r042,"All institutions -> U. Maryland, College Park",All institutions,"U. Maryland, College Park",2,41,320385,10245,111546,0,1396,0,59223,66991,59572,10011,1401
10403,r043,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,42,309883,32,16466,85920,2738,1769,96761,4509,65417,35217,1055
10403,r044,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,43,301959,60,9609,0,92,0,290987,0,1211,0,0
10403,r045,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,44,299000,0,34644,76089,443,0,159411,0,26410,52,1951
10403,r046,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,45,281157,5003,45676,23757,762,0,55874,10490,87037,49803,2755
10403,r047,"All institutions -> U. Texas Southwestern Medical Center, The",All institutions,"U. Texas Southwestern Medical Center, The",2,46,278232,0,40145,0,0,0,236904,0,1183,0,0
10403,r048,All institutions -> U. Arizona,All institutions,U. Arizona,2,47,261376,1816,26887,4679,0,0,169284,0,48044,10501,165
10403,r049,"All institutions -> U. Maryland, Baltimore",All institutions,"U. Maryland, Baltimore",2,48,260252,0,15652,7049,0,0,235911,0,1200,0,439
10403,r050,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,49,258585,437,14781,20122,2332,1464,166352,4714,47612,0.05,772
10403,r051,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,50,246515,0,14626,2871,0,0,173730,0,25832,28617,838
10403,r052,"All institutions -> Scripps Research Institute, The",All institutions,"Scripps Research Institute, The",2,51,245127,0,521,0,0,0,241665,712,2229,0,0
10403,r053,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,52,243269,38,86691,15124,0,0,19681,63269,57410,30,1027
