table_id,row_id,_b_type_of_r_d_performer_and_field_b_full_path,_b_type_of_r_d_performer_and_field_b_level_1,_b_type_of_r_d_performer_and_field_b_level_2,_b_type_of_r_d_performer_and_field_b_level_3,_b_type_of_r_d_performer_and_field_b_level_4,_b_type_of_r_d_performer_and_field_b_level_5,_b_type_of_r_d_performer_and_field_b_level_6,_b_type_of_r_d_performer_and_field_b_hierarchy_depth,field_2018,field_2019,field_preliminary_2020,field_preliminary_change_2019_20
3844,r001,Outlays for R&D and R&D plant,Outlays for R&D and R&D plant,,,,,,1,120916.2,129870.4,142166.9,9.5
3844,r002,Outlays for R&D and R&D plant -> R&D,Outlays for R&D and R&D plant,R&D,,,,,2,117072.2,124854.5,136453.3,9.3
3844,r003,Outlays for R&D and R&D plant -> R&D plant,Outlays for R&D and R&D plant,R&D plant,,,,,2,3844.0,5015.9,5713.6,13.9
3844,r004,Obligations for R&D and R&D plant,Obligations for R&D and R&D plant,,,,,,1,133277.5,146800.7,155643.7,6.0
3844,r005,Obligations for R&D and R&D plant -> R&D,Obligations for R&D and R&D plant,R&D,,,,,2,129424.8,142424.2,150884.7,5.9
3844,r006,Obligations for R&D and R&D plant -> R&D -> Performer,Obligations for R&D and R&D plant,R&D,Performer,,,,3,,,,
3844,r007,Obligations for R&D and R&D plant -> R&D -> Performer -> Intramural<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Performer,Intramural<sup>a</sup>,,,4,35953.4,39312.8,42404.9,7.9
3844,r008,Obligations for R&D and R&D plant -> R&D -> Performer -> Industry,Obligations for R&D and R&D plant,R&D,Performer,Industry,,,4,39753.7,44446.0,46497.8,4.6
3844,r009,Obligations for R&D and R&D plant -> R&D -> Performer -> Industry-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Performer,Industry-administered FFRDCs,,,4,4062.4,6077.6,6483.8,6.7
3844,r010,Obligations for R&D and R&D plant -> R&D -> Performer -> Universities and colleges,Obligations for R&D and R&D plant,R&D,Performer,Universities and colleges,,,4,31534.1,34000.5,36091.9,6.2
3844,r011,Obligations for R&D and R&D plant -> R&D -> Performer -> University-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Performer,University-administered FFRDCs,,,4,4895.8,5351.9,5240.7,-2.1
3844,r012,Obligations for R&D and R&D plant -> R&D -> Performer -> Other nonprofit institutions,Obligations for R&D and R&D plant,R&D,Performer,Other nonprofit institutions,,,4,8450.8,8450.2,8951.4,5.9
3844,r013,Obligations for R&D and R&D plant -> R&D -> Performer -> Nonprofit-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Performer,Nonprofit-administered FFRDCs,,,4,3497.3,3261.5,3629.7,11.3
3844,r014,Obligations for R&D and R&D plant -> R&D -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Performer,State and local governments,,,4,561.9,586.5,564.2,-3.8
3844,r015,Obligations for R&D and R&D plant -> R&D -> Performer -> Foreign,Obligations for R&D and R&D plant,R&D,Performer,Foreign,,,4,715.4,937.2,1020.4,8.9
3844,r016,Obligations for R&D and R&D plant -> R&D -> Research,Obligations for R&D and R&D plant,R&D,Research,,,,3,74587.6,81117.8,85262.4,5.1
3844,r017,Obligations for R&D and R&D plant -> R&D -> Research -> Performer,Obligations for R&D and R&D plant,R&D,Research,Performer,,,4,,,,
3844,r018,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Intramural<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Research,Performer,Intramural<sup>a</sup>,,5,17817.5,18298.2,19465.2,6.4
3844,r019,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Industry,Obligations for R&D and R&D plant,R&D,Research,Performer,Industry,,5,8768.1,10738.9,10832.7,0.9
3844,r020,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Industry-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Performer,Industry-administered FFRDCs,,5,3453.6,3666.7,4214.5,14.9
3844,r021,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Universities and colleges,Obligations for R&D and R&D plant,R&D,Research,Performer,Universities and colleges,,5,30088.6,32381.0,34389.6,6.2
3844,r022,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> University-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Performer,University-administered FFRDCs,,5,3704.6,4882.4,4730.0,-3.1
