table_id,row_id,directorate,white,asian,hispanic_or_latino,black_or_african_american,other
12409,r001,Biological Sciences (BIO),53,27,11,5,3
12409,r002,Computer and Information Science and Engineering (CISE),34,57,4,3,1
12409,r003,STEM Education (EDU),57,12,11,17,3
12409,r004,Engineering (ENG),41,48,6,3,2
12409,r005,Geosciences (GEO),57,29,9,3,2
12409,r006,Mathematical and Physical Sciences (MPS),48,41,6,3,3
12409,r007,"Social, Behavioral and Economic Sciences (SBE)",57,19,11,9,3
