table_id,row_id,field_and_degree_full_path,field_and_degree_level_1,field_and_degree_level_2,field_and_degree_level_3,field_and_degree_level_4,field_and_degree_hierarchy_depth,field_all_s_e_graduate_students_total,field_all_s_e_graduate_students_full_time,field_all_s_e_graduate_students_part_time,field_female_total,field_female_full_time,field_female_part_time,field_male_total,field_male_full_time,field_male_part_time
3250,r001,All S&E graduate students,All S&E graduate students,,,,1,595556,441584,153972,254188,190788,63400,341368,250796,90572
3250,r002,All S&E graduate students -> Science,All S&E graduate students,Science,,,2,432255,321063,111192,212822,158965,53857,219433,162098,57335
3250,r003,All S&E graduate students -> Science -> Agricultural sciences,All S&E graduate students,Science,Agricultural sciences,,3,9538,6899,2639,5190,3818,1372,4348,3081,1267
3250,r004,All S&E graduate students -> Science -> Biological and biomedical sciences,All S&E graduate students,Science,Biological and biomedical sciences,,3,87933,74013,13920,50770,42265,8505,37163,31748,5415
3250,r005,All S&E graduate students -> Science -> Computer and information sciences,All S&E graduate students,Science,Computer and information sciences,,3,93478,57789,35689,28567,18579,9988,64911,39210,25701
3250,r006,"All S&E graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,12333,9770,2563,5613,4489,1124,6720,5281,1439
3250,r007,All S&E graduate students -> Science -> Mathematics and statistics,All S&E graduate students,Science,Mathematics and statistics,,3,31461,24955,6506,11767,9077,2690,19694,15878,3816
3250,r008,All S&E graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,10338,6656,3682,5476,3708,1768,4862,2948,1914
3250,r009,All S&E graduate students -> Science -> Natural resources and conservation,All S&E graduate students,Science,Natural resources and conservation,,3,11407,8034,3373,6256,4480,1776,5151,3554,1597
3250,r010,All S&E graduate students -> Science -> Physical sciences,All S&E graduate students,Science,Physical sciences,,3,42075,37671,4404,14212,12681,1531,27863,24990,2873
3250,r011,All S&E graduate students -> Science -> Psychology,All S&E graduate students,Science,Psychology,,3,55707,38525,17182,42792,29417,13375,12915,9108,3807
3250,r012,All S&E graduate students -> Science -> Social sciences,All S&E graduate students,Science,Social sciences,,3,77985,56751,21234,42179,30451,11728,35806,26300,9506
3250,r013,All S&E graduate students -> Engineering,All S&E graduate students,Engineering,,,2,163301,120521,42780,41366,31823,9543,121935,88698,33237
3250,r014,"All S&E graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,5848,4301,1547,983,717,266,4865,3584,1281
3250,r015,All S&E graduate students -> Engineering -> Agricultural engineering,All S&E graduate students,Engineering,Agricultural engineering,,3,1032,858,174,401,338,63,631,520,111
3250,r016,All S&E graduate students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,Engineering,Bioengineering and biomedical engineering,,3,11480,9933,1547,4915,4269,646,6565,5664,901
3250,r017,All S&E graduate students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,Engineering,Biological and biosystems engineering,,3,283,199,84,106,80,26,177,119,58
3250,r018,All S&E graduate students -> Engineering -> Chemical engineering,All S&E graduate students,Engineering,Chemical engineering,,3,10011,8803,1208,3174,2804,370,6837,5999,838
3250,r019,All S&E graduate students -> Engineering -> Civil engineering,All S&E graduate students,Engineering,Civil engineering,,3,20461,14862,5599,6530,4920,1610,13931,9942,3989
3250,r020,"All S&E graduate students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,Engineering,"Electrical, electronics, and communications engineering",,3,46227,34814,11413,10138,7940,2198,36089,26874,9215
3250,r021,"All S&E graduate students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,Engineering,"Engineering mechanics, physics, and science",,3,2157,1768,389,520,455,65,1637,1313,324
3250,r022,All S&E graduate students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,Engineering,Industrial and manufacturing engineering,,3,15987,9393,6594,4402,2695,1707,11585,6698,4887
3250,r023,All S&E graduate students -> Engineering -> Mechanical engineering,All S&E graduate students,Engineering,Mechanical engineering,,3,26593,20076,6517,4315,3379,936,22278,16697,5581
3250,r024,All S&E graduate students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,Engineering,Metallurgical and materials engineering,,3,6689,5823,866,2067,1798,269,4622,4025,597
3250,r025,All S&E graduate students -> Engineering -> Mining engineering,All S&E graduate students,Engineering,Mining engineering,,3,527,381,146,130,102,28,397,279,118
3250,r026,All S&E graduate students -> Engineering -> Nanotechnology,All S&E graduate students,Engineering,Nanotechnology,,3,118,103,15,34,31,3,84,72,12
3250,r027,All S&E graduate students -> Engineering -> Nuclear engineering,All S&E graduate students,Engineering,Nuclear engineering,,3,1453,1208,245,254,214,40,1199,994,205
3250,r028,All S&E graduate students -> Engineering -> Petroleum engineering,All S&E graduate students,Engineering,Petroleum engineering,,3,1403,1056,347,272,197,75,1131,859,272
3250,r029,All S&E graduate students -> Engineering -> Engineering nec,All S&E graduate students,Engineering,Engineering nec,,3,13032,6943,6089,3125,1884,1241,9907,5059,4848
3250,r030,All S&E graduate students -> All S&E master's students,All S&E graduate students,All S&E master's students,,,2,334391,210287,124104,145939,94759,51180,188452,115528,72924
3250,r031,All S&E graduate students -> All S&E master's students -> Science,All S&E graduate students,All S&E master's students,Science,,3,241327,151059,90268,122914,79260,43654,118413,71799,46614
3250,r032,All S&E graduate students -> All S&E master's students -> Science -> Agricultural sciences,All S&E graduate students,All S&E master's students,Science,Agricultural sciences,4,5658,3626,2032,3210,2128,1082,2448,1498,950
3250,r033,All S&E graduate students -> All S&E master's students -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E master's students,Science,Biological and biomedical sciences,4,35306,24759,10547,22062,15365,6697,13244,9394,3850
3250,r034,All S&E graduate students -> All S&E master's students -> Science -> Computer and information sciences,All S&E graduate students,All S&E master's students,Science,Computer and information sciences,4,77351,44193,33158,24455,15087,9368,52896,29106,23790
3250,r035,"All S&E graduate students -> All S&E master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,5629,3820,1809,2546,1726,820,3083,2094,989
3250,r036,All S&E graduate students -> All S&E master's students -> Science -> Mathematics and statistics,All S&E graduate students,All S&E master's students,Science,Mathematics and statistics,4,18073,12707,5366,7861,5518,2343,10212,7189,3023
3250,r037,All S&E graduate students -> All S&E master's students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E master's students,Science,Multidisciplinary and interdisciplinary studies,4,7414,4268,3146,3972,2478,1494,3442,1790,1652
3250,r038,All S&E graduate students -> All S&E master's students -> Science -> Natural resources and conservation,All S&E graduate students,All S&E master's students,Science,Natural resources and conservation,4,7691,5072,2619,4303,2913,1390,3388,2159,1229
3250,r039,All S&E graduate students -> All S&E master's students -> Science -> Physical sciences,All S&E graduate students,All S&E master's students,Science,Physical sciences,4,6075,3915,2160,2326,1477,849,3749,2438,1311
3250,r040,All S&E graduate students -> All S&E master's students -> Science -> Psychology,All S&E graduate students,All S&E master's students,Science,Psychology,4,35404,21987,13417,28152,17432,10720,7252,4555,2697
3250,r041,All S&E graduate students -> All S&E master's students -> Science -> Social sciences,All S&E graduate students,All S&E master's students,Science,Social sciences,4,42726,26712,16014,24027,15136,8891,18699,11576,7123
3250,r042,All S&E graduate students -> All S&E master's students -> Engineering,All S&E graduate students,All S&E master's students,Engineering,,3,93064,59228,33836,23025,15499,7526,70039,43729,26310
3250,r043,"All S&E graduate students -> All S&E master's students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E master's students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,3342,2128,1214,582,363,219,2760,1765,995
