table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_r_d,field_intramurala,field_extramural_united_states_and_u_s_territories_industry,field_extramural_united_states_and_u_s_territories_industry_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_universities_and_colleges,field_extramural_united_states_and_u_s_territories_university_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_other_nonprofits,field_extramural_united_states_and_u_s_territories_nonprofit_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_state_local_governments,field_extramural_foreign
6474,r001,All agencies,All agencies,,,,,1,179465.2,64209.1,52019.1,4564.1,37749.6,5236.7,10469.1,3792.0,669.5,755.9
6474,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
6474,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,2738.0,1827.9,4.6,0.0,844.6,0.0,48.4,0.0,8.5,4.0
6474,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6474,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1587.0,1455.3,0.0,0.0,117.4,0.0,10.7,0.0,0.2,3.3
6474,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,41.9,29.8,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0
6474,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,87.0,79.9,1.8,0.0,4.1,0.0,1.2,0.0,0.05,0.0
6474,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,264.9,227.9,1.4,0.0,25.0,0.0,4.1,0.0,5.9,0.6
6474,r009,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,9.5,8.8,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0.0
6474,r010,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,737.9,19.3,1.5,0.0,683.0,0.0,31.7,0.0,2.4,0.0
6474,r011,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,2.8,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0
6474,r012,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1884.1,1298.3,50.5,0.0,374.4,13.8,117.9,21.2,2.3,5.9
6474,r013,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,966.4,711.0,36.4,0.0,130.9,0.0,60.9,21.2,0.1,5.9
6474,r014,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,786.1,455.6,14.0,0.0,243.5,13.8,57.1,0.0,2.1,0.05
6474,r015,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,11.2,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6474,r016,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,120.5,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6474,r017,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,69297.4,23153.3,37261.3,517.8,4898.3,366.9,1774.0,978.7,9.2,338.0
6474,r018,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,3608.2,312.9,2346.0,37.6,641.0,38.6,158.8,33.2,0.3,39.7
6474,r019,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,2718.0,715.9,454.0,0.0,806.7,0.0,692.7,4.2,0.3,44.2
6474,r020,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,11429.3,4668.2,5817.1,222.9,541.0,23.2,9.0,124.5,0.8,22.6
6474,r021,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,12222.1,3916.8,6500.8,2.6,1151.9,27.9,290.2,260.4,0.0,71.6
6474,r022,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,18803.4,7463.8,9731.8,36.1,1042.9,36.5,319.5,110.3,0.7,61.8
6474,r023,All agencies -> Departments -> Department of Defense -> U.S. Space Force,All agencies,Departments,Department of Defense,U.S. Space Force,,4,5038.9,217.9,4526.5,5.1,14.5,34.8,9.2,209.7,6.0,15.3
6474,r024,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,15477.5,5857.8,7885.1,213.5,700.2,206.0,294.8,236.3,1.0,82.8
6474,r025,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,379.2,11.3,30.7,0.0,219.1,0.0,78.0,0.0,40.0,0.0
6474,r026,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,15070.0,1784.8,3701.8,3159.8,1265.4,2543.5,64.0,2494.9,55.7,0.1
6474,r027,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,427.0,0.0,161.2,17.9,177.0,15.6,26.2,29.2,0.0,0.0
6474,r028,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,133.8,3.1,8.8,31.2,15.9,13.4,9.3,51.7,0.4,0.0
6474,r029,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,1976.6,0.0,608.8,132.1,491.1,161.1,0.0,559.3,24.3,0.0
6474,r030,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,29.3,0.0,8.1,6.2,12.1,1.5,0.0,1.3,0.0,0.0
6474,r031,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,685.0,514.0,0.0,18.8,124.2,11.0,0.0,16.9,0.0,0.0
6474,r032,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,5914.3,675.3,2571.7,2542.4,10.1,16.2,1.9,96.7,0.0,0.1
6474,r033,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,4109.9,623.1,1152.2,2331.8,0.0,0.1,1.3,1.3,0.0,0.0
6474,r034,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,1443.4,51.9,1390.5,0.9,0.0,0.0,0.0,0.1,0.0,0.0
6474,r035,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,361.0,0.3,28.9,209.7,10.1,16.1,0.6,95.3,0.0,0.1
6474,r036,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,517.6,0.3,195.5,173.1,48.9,28.7,0.0,71.2,0.0,0.0
6474,r037,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,51.1,5.5,18.0,0.0,17.6,0.0,10.0,0.0,0.0,0.0
6474,r038,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,5335.3,586.5,129.7,238.2,368.7,2296.0,16.6,1668.7,31.1,0.0
6474,r039,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,68834.2,30267.9,6180.3,843.2,23530.9,19.9,7283.7,35.0,385.4,287.8
6474,r040,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,3.1,0.05,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
6474,r041,All agencies -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies,Departments,Department of Health and Human Services,Administration for Community Living,,4,91.9,0.0,3.0,0.0,69.1,0.0,19.4,0.0,0.5,0.0
6474,r042,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,308.1,48.3,131.5,0.0,98.7,0.0,29.6,0.0,0.1,0.0
6474,r043,All agencies -> Departments -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Departments,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,,4,9.6,0.0,0.0,0.0,2.1,0.0,0.5,0.0,7.0,0.0
6474,r044,All agencies -> Departments -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Departments,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,,4,25378.6,21092.1,3887.7,0.0,387.3,0.0,11.5,0.0,0.0,0.0
6474,r045,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,543.1,119.7,64.5,0.0,203.7,0.0,67.1,0.0,47.9,40.3
6474,r046,All agencies -> Departments -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Departments,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,4,228.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,213.3,0.0
6474,r047,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,495.0,356.0,11.1,0.0,80.2,0.0,42.0,0.0,2.0,3.6
6474,r048,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,33.8,5.5,0.0,0.0,27.4,0.0,1.0,0.0,0.0,0.0
6474,r049,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,41726.0,8643.6,2078.0,843.2,22645.1,19.9,7102.6,35.0,114.6,243.9
6474,r050,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,16.9,2.8,4.5,0.0,2.6,0.0,7.1,0.0,0.0,0.0
6474,r051,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,16.9,2.8,4.5,0.0,2.6,0.0,7.1,0.0,0.0,0.0
6474,r052,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,541.0,144.8,294.2,20.7,35.9,0.7,3.4,36.8,1.0,3.6
6474,r053,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,35.9,5.7,8.7,5.9,8.9,0.7,0.9,2.4,0.0,2.6
6474,r054,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,9.4,0.8,0.0,2.3,0.0,0.0,0.0,6.4,0.0,0.0
6474,r055,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,444.0,128.0,244.0,12.5,27.0,0.0,2.5,28.0,1.0,1.0
6474,r056,All agencies -> Departments -> Department of Homeland Security -> Transportation Security Administration,All agencies,Departments,Department of Homeland Security,Transportation Security Administration,,4,29.5,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6474,r057,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,,4,10.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6474,r058,All agencies -> Departments -> Department of Homeland Security -> U.S. Secret Service,All agencies,Departments,Department of Homeland Security,U.S. Secret Service,,4,11.9,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6474,r059,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,879.1,751.9,16.9,0.0,88.3,0.5,4.6,0.5,15.4,1.0
6474,r060,All agencies -> Departments -> Department of the Interior -> Bureau of Indian Affairs,All agencies,Departments,Department of the Interior,Bureau of Indian Affairs,,4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
6474,r061,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,15.8,7.4,0.3,0.0,5.9,0.0,1.0,0.0,1.2,0.0
6474,r062,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,81.7,65.1,6.7,0.0,6.1,0.0,1.4,0.0,2.2,0.2
6474,r063,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,26.4,16.0,3.0,0.0,6.0,0.5,0.5,0.0,0.4,0.0
6474,r064,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,18.9,4.9,5.5,0.0,7.2,0.0,0.05,0.5,0.0,0.8
6474,r065,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,10.2,0.0,0.05,0.0,10.1,0.0,0.1,0.0,0.0,0.0
6474,r066,All agencies -> Departments -> Department of the Interior -> Office of Surface Mining Reclamation and Enforcement,All agencies,Departments,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,,4,2.2,0.6,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
6474,r067,All agencies -> Departments -> Department of the Interior -> U.S. Fish and Wildlife Service,All agencies,Departments,Department of the Interior,U.S. Fish and Wildlife Service,,4,32.7,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
