table_id,row_id,technical_field,fields_of_technology
5814,r001,Basic materials chemistry,Chemistry
5814,r002,Biotechnology,Chemistry
5814,r003,Chemical engineering,Chemistry
5814,r004,Environmental technology,Chemistry
5814,r005,Food chemistry,Chemistry
5814,r006,"Macromolecular chemistry, polymers",Chemistry
5814,r007,"Materials, metallurgy",Chemistry
5814,r008,"Microstructural technology, nanotechnology",Chemistry
5814,r009,Organic fine chemistry,Chemistry
5814,r010,Pharmaceuticals,Chemistry
5814,r011,"Surface technology, coating",Chemistry
5814,r012,Audio-visual technology,Electrical engineering
5814,r013,Basic communication processes,Electrical engineering
5814,r014,Computer technology,Electrical engineering
5814,r015,Digital communication,Electrical engineering
5814,r016,"Electrical machinery, apparatus, energy",Electrical engineering
5814,r017,IT methods for management,Electrical engineering
5814,r018,Semiconductors,Electrical engineering
5814,r019,Telecommunications,Electrical engineering
5814,r020,Analysis of biological materials,Instruments
5814,r021,Control,Instruments
5814,r022,Measurement,Instruments
5814,r023,Medical technology,Instruments
5814,r024,Optics,Instruments
5814,r025,"Engines, pumps, turbines",Mechanical engineering
5814,r026,Handling,Mechanical engineering
5814,r027,Machine tools,Mechanical engineering
5814,r028,Mechanical elements,Mechanical engineering
5814,r029,Other special machines,Mechanical engineering
5814,r030,Textile and paper machines,Mechanical engineering
5814,r031,Thermal processes and apparatus,Mechanical engineering
5814,r032,Transport,Mechanical engineering
5814,r033,Civil engineering,Other fields
5814,r034,"Furniture, games",Other fields
5814,r035,Other consumer goods,Other fields
