table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_employed_total_number,field_all_employed_total_se,field_all_employed_male_number,field_all_employed_male_se,field_all_employed_female_number,field_all_employed_female_se,field_asiana_total_number,field_asiana_total_se,field_asiana_male_number,field_asiana_male_se,field_asiana_female_number,field_asiana_female_se,field_other_minorityb_total_number,field_other_minorityb_total_se,field_other_minorityb_male_number,field_other_minorityb_male_se,field_other_minorityb_female_number,field_other_minorityb_female_se,field_whitec_total_number,field_whitec_total_se,field_whitec_male_number,field_whitec_male_se,field_whitec_female_number,field_whitec_female_se
8221,r001,All occupations,All occupations,,,,1,872100,2425,543550,2350,328500,1250,219800,1600,148600,1550,71200,1125,89300,875,47700,725,41600,600,562950,2075,347250,1925,215700,1325
8221,r002,All occupations -> Science occupations,All occupations,Science occupations,,,2,502250,2725,301700,2300,200550,1575,118200,1525,74900,1250,43300,1075,50850,875,26450,600,24400,600,333150,2375,200350,1900,132800,1375
8221,r003,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists",,3,160850,1700,90550,1400,70300,1000,41000,1050,22350,775,18650,700,16050,550,8100,375,7950,325,103800,1450,60100,1200,43700,850
8221,r004,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Agricultural, food scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Agricultural, food scientists",4,10650,550,7150,450,3500,275,2500,225,1450,175,1050,175,1550,125,1050,100,500,75,6600,475,4650,400,1950,225
8221,r005,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Biochemists, biophysicists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Biochemists, biophysicists",4,18000,750,12100,675,5850,350,6700,450,4150,400,2550,300,1300,150,800,150,500,100,10000,575,7200,500,2800,250
8221,r006,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Biological scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Biological scientists,4,26050,850,14550,725,11500,500,5850,475,2950,375,2900,300,2800,225,1350,175,1450,175,17350,700,10250,625,7150,350
8221,r007,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Forestry, conservation scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Forestry, conservation scientists",4,2400,225,1700,225,700,100,100,50,50,25,50,25,200,75,100,50,100,50,2150,225,1550,200,600,100
8221,r008,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Medical scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Medical scientists,4,41550,975,21250,700,20250,675,12100,600,6550,450,5550,450,3950,300,1750,175,2200,200,25500,825,13000,600,12550,575
8221,r009,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers, agricultural, other natural sciences",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Postsecondary teachers, agricultural, other natural sciences",4,5200,350,3300,275,1900,225,900,175,600,175,350,100,600,100,400,75,200,50,3700,300,2350,250,1350,200
8221,r010,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers, biological sciences",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Postsecondary teachers, biological sciences",4,34400,975,19250,775,15200,625,4850,425,2950,325,1900,275,3200,200,1550,175,1650,150,26400,850,14800,725,11600,525
