table_id,row_id,degree_level_and_field_full_path,degree_level_and_field_level_1,degree_level_and_field_level_2,degree_level_and_field_level_3,degree_level_and_field_level_4,degree_level_and_field_hierarchy_depth,field_all_institutions,field_doctoral_universities,field_master_s_colleges_and_universities,field_baccalaureate_colleges,field_mixed_baccalaureate_associate_s_colleges,field_special_focus_4_year_institutions,field_associate_s_colleges,field_special_focus_2_year_institutions,field_other_or_not_applicable
5775,r001,Awards of less than 1 academic year,Awards of less than 1 academic year,,,,1,444461,25579,9527,3166,69700,2878,310586,17977,5048
5775,r002,Awards of less than 1 academic year -> S&E,Awards of less than 1 academic year,S&E,,,2,40829,7272,1574,304,6786,43,23368,179,1303
5775,r003,Awards of less than 1 academic year -> Non-S&E,Awards of less than 1 academic year,Non-S&E,,,2,403632,18307,7953,2862,62914,2835,287218,17798,3745
5775,r004,Awards of less than 1 academic year -> Non-S&E -> S&E technologies,Awards of less than 1 academic year,Non-S&E,S&E technologies,,3,147009,1902,1843,1424,17338,1545,109200,11781,1976
5775,r005,Awards of less than 1 academic year -> Non-S&E -> S&E technologies -> Engineering technologies,Awards of less than 1 academic year,Non-S&E,S&E technologies,Engineering technologies,4,45507,491,803,111,4344,100,37224,2092,342
5775,r006,Awards of less than 1 academic year -> Non-S&E -> S&E technologies -> Health technologies,Awards of less than 1 academic year,Non-S&E,S&E technologies,Health technologies,4,99679,1385,1020,1305,11697,1445,71517,9676,1634
5775,r007,Awards of less than 1 academic year -> Non-S&E -> S&E technologies -> Science technologies,Awards of less than 1 academic year,Non-S&E,S&E technologies,Science technologies,4,1767,0,4,0,1297,0,453,13,0
5775,r008,Awards of less than 1 academic year -> Non-S&E -> S&E technologies -> Other S&E technologies,Awards of less than 1 academic year,Non-S&E,S&E technologies,Other S&E technologies,4,56,26,16,8,0,0,6,0,0
5775,r009,Awards of at least 1 academic year but less than 2 academic years,Awards of at least 1 academic year but less than 2 academic years,,,,1,312489,4366,5481,2330,36875,8291,213879,32652,8615
5775,r010,Awards of at least 1 academic year but less than 2 academic years -> S&E,Awards of at least 1 academic year but less than 2 academic years,S&E,,,2,9534,864,422,67,1429,91,6398,195,68
5775,r011,Awards of at least 1 academic year but less than 2 academic years -> Non-S&E,Awards of at least 1 academic year but less than 2 academic years,Non-S&E,,,2,302955,3502,5059,2263,35446,8200,207481,32457,8547
5775,r012,Awards of at least 1 academic year but less than 2 academic years -> Non-S&E -> S&E technologies,Awards of at least 1 academic year but less than 2 academic years,Non-S&E,S&E technologies,,3,110773,769,2716,1419,13491,6048,58848,22546,4936
5775,r013,Awards of at least 1 academic year but less than 2 academic years -> Non-S&E -> S&E technologies -> Engineering technologies,Awards of at least 1 academic year but less than 2 academic years,Non-S&E,S&E technologies,Engineering technologies,4,19987,76,157,86,1652,427,14617,2533,439
5775,r014,Awards of at least 1 academic year but less than 2 academic years -> Non-S&E -> S&E technologies -> Health technologies,Awards of at least 1 academic year but less than 2 academic years,Non-S&E,S&E technologies,Health technologies,4,89321,693,2558,1333,11600,5621,43044,19975,4497
5775,r015,Awards of at least 1 academic year but less than 2 academic years -> Non-S&E -> S&E technologies -> Science technologies,Awards of at least 1 academic year but less than 2 academic years,Non-S&E,S&E technologies,Science technologies,4,1464,0,0,0,239,0,1187,38,0
5775,r016,Awards of at least 1 academic year but less than 2 academic years -> Non-S&E -> S&E technologies -> Other S&E technologies,Awards of at least 1 academic year but less than 2 academic years,Non-S&E,S&E technologies,Other S&E technologies,4,1,0,1,0,0,0,0,0,0
