table_id,row_id,country_of_citizenship_full_path,country_of_citizenship_level_1,country_of_citizenship_level_2,country_of_citizenship_level_3,country_of_citizenship_hierarchy_depth,field_total_2013_19_number,field_total_2013_19_staying,field_2013_number,field_2013_staying,field_2014_number,field_2014_staying,field_2015_number,field_2015_staying,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying,field_2019_number,field_2019_staying
2837,r001,All temporary visa holders,All temporary visa holders,,,1,116341,71.8,15674,70.1,15839,71.1,16129,71.3,16477,72.5,16287,74.3,17584,71.9,18351,71.2
2837,r002,All temporary visa holders -> Africa,All temporary visa holders,Africa,,2,4736,69.1,610,65.2,648,66.8,649,66.4,653,70.8,700,70.9,739,70.6,737,71.9
2837,r003,All temporary visa holders -> Africa -> Egypt,All temporary visa holders,Africa,Egypt,3,996,68.9,140,61.4,135,70.4,129,62.8,117,66.7,156,69.9,156,73.7,163,74.8
2837,r004,All temporary visa holders -> Africa -> Ghana,All temporary visa holders,Africa,Ghana,3,563,70.0,58,70.7,62,77.4,83,65.1,87,70.1,85,71.8,103,66.0,85,71.8
2837,r005,All temporary visa holders -> Africa -> Kenya,All temporary visa holders,Africa,Kenya,3,414,68.8,79,68.4,72,70.8,57,68.4,60,66.7,57,63.2,50,68.0,39,79.5
2837,r006,All temporary visa holders -> Africa -> Nigeria,All temporary visa holders,Africa,Nigeria,3,751,80.2,65,87.7,87,82.8,83,75.9,112,83.9,113,77.9,146,75.3,145,81.4
2837,r007,All temporary visa holders -> Africa -> Other,All temporary visa holders,Africa,Other,3,2012,64.9,268,59.7,292,57.2,297,65.3,277,68.2,289,69.9,284,68.7,305,64.9
2837,r008,All temporary visa holders -> Americas,All temporary visa holders,Americas,,2,10444,57.6,1482,56.3,1542,55.6,1480,55.7,1503,57.5,1443,56.6,1466,60.2,1528,60.9
2837,r009,All temporary visa holders -> Americas -> Argentina,All temporary visa holders,Americas,Argentina,3,441,60.1,81,49.4,67,64.2,64,53.1,65,61.5,52,69.2,60,66.7,52,61.5
2837,r010,All temporary visa holders -> Americas -> Brazil,All temporary visa holders,Americas,Brazil,3,1183,56.7,142,46.5,139,50.4,149,50.3,156,56.4,167,61.7,178,61.2,252,63.5
2837,r011,All temporary visa holders -> Americas -> Canada,All temporary visa holders,Americas,Canada,3,3089,58.3,485,55.5,488,55.1,454,56.6,408,56.6,408,59.3,424,63.0,422,62.8
