table_id,row_id,time_period,_b_all_full_time_graduate_students_b_level_1,_b_all_full_time_graduate_students_b_level_2,_b_all_full_time_graduate_students_b_level_3,_b_all_full_time_graduate_students_b_hierarchy_depth,value
6065,r001,1975,All full-time graduate students,Total,,2,219648
6065,r002,1975,All full-time graduate students,First time,Number,3,76686
6065,r003,1975,All full-time graduate students,First time,Percent,3,34.9
6065,r004,1975,Full-time master's students,Total,,2,na
6065,r005,1975,Full-time master's students,First time,Number,3,na
6065,r006,1975,Full-time master's students,First time,Percent,3,na
6065,r007,1975,Full-time doctoral students,Total,,2,na
6065,r008,1975,Full-time doctoral students,First time,Number,3,na
6065,r009,1975,Full-time doctoral students,First time,Percent,3,na
6065,r010,1976,All full-time graduate students,Total,,2,223412
6065,r011,1976,All full-time graduate students,First time,Number,3,90811
6065,r012,1976,All full-time graduate students,First time,Percent,3,40.6
6065,r013,1976,Full-time master's students,Total,,2,na
6065,r014,1976,Full-time master's students,First time,Number,3,na
6065,r015,1976,Full-time master's students,First time,Percent,3,na
6065,r016,1976,Full-time doctoral students,Total,,2,na
6065,r017,1976,Full-time doctoral students,First time,Number,3,na
6065,r018,1976,Full-time doctoral students,First time,Percent,3,na
6065,r019,1977,All full-time graduate students,Total,,2,226738
6065,r020,1977,All full-time graduate students,First time,Number,3,93116
6065,r021,1977,All full-time graduate students,First time,Percent,3,41.1
6065,r022,1977,Full-time master's students,Total,,2,na
6065,r023,1977,Full-time master's students,First time,Number,3,na
6065,r024,1977,Full-time master's students,First time,Percent,3,na
6065,r025,1977,Full-time doctoral students,Total,,2,na
6065,r026,1977,Full-time doctoral students,First time,Number,3,na
6065,r027,1977,Full-time doctoral students,First time,Percent,3,na
6065,r028,1978<sup>a</sup>,All full-time graduate students,Total,,2,223030
6065,r029,1978<sup>a</sup>,All full-time graduate students,First time,Number,3,70578
6065,r030,1978<sup>a</sup>,All full-time graduate students,First time,Percent,3,31.6
6065,r031,1978<sup>a</sup>,Full-time master's students,Total,,2,na
6065,r032,1978<sup>a</sup>,Full-time master's students,First time,Number,3,na
6065,r033,1978<sup>a</sup>,Full-time master's students,First time,Percent,3,na
6065,r034,1978<sup>a</sup>,Full-time doctoral students,Total,,2,na
6065,r035,1978<sup>a</sup>,Full-time doctoral students,First time,Number,3,na
6065,r036,1978<sup>a</sup>,Full-time doctoral students,First time,Percent,3,na
6065,r037,1979,All full-time graduate students,Total,,2,231760
6065,r038,1979,All full-time graduate students,First time,Number,3,76788
6065,r039,1979,All full-time graduate students,First time,Percent,3,33.1
6065,r040,1979,Full-time master's students,Total,,2,na
6065,r041,1979,Full-time master's students,First time,Number,3,na
6065,r042,1979,Full-time master's students,First time,Percent,3,na
6065,r043,1979,Full-time doctoral students,Total,,2,na
6065,r044,1979,Full-time doctoral students,First time,Number,3,na
6065,r045,1979,Full-time doctoral students,First time,Percent,3,na
6065,r046,1980,All full-time graduate students,Total,,2,238416
6065,r047,1980,All full-time graduate students,First time,Number,3,81259
6065,r048,1980,All full-time graduate students,First time,Percent,3,34.1
6065,r049,1980,Full-time master's students,Total,,2,na
6065,r050,1980,Full-time master's students,First time,Number,3,na
6065,r051,1980,Full-time master's students,First time,Percent,3,na
6065,r052,1980,Full-time doctoral students,Total,,2,na
6065,r053,1980,Full-time doctoral students,First time,Number,3,na
6065,r054,1980,Full-time doctoral students,First time,Percent,3,na
6065,r055,1981,All full-time graduate students,Total,,2,242049
6065,r056,1981,All full-time graduate students,First time,Number,3,80003
6065,r057,1981,All full-time graduate students,First time,Percent,3,33.1
6065,r058,1981,Full-time master's students,Total,,2,na
6065,r059,1981,Full-time master's students,First time,Number,3,na
6065,r060,1981,Full-time master's students,First time,Percent,3,na
6065,r061,1981,Full-time doctoral students,Total,,2,na
6065,r062,1981,Full-time doctoral students,First time,Number,3,na
6065,r063,1981,Full-time doctoral students,First time,Percent,3,na
6065,r064,1982,All full-time graduate students,Total,,2,244757
6065,r065,1982,All full-time graduate students,First time,Number,3,80257
6065,r066,1982,All full-time graduate students,First time,Percent,3,32.8
6065,r067,1982,Full-time master's students,Total,,2,na
6065,r068,1982,Full-time master's students,First time,Number,3,na
6065,r069,1982,Full-time master's students,First time,Percent,3,na
6065,r070,1982,Full-time doctoral students,Total,,2,na
6065,r071,1982,Full-time doctoral students,First time,Number,3,na
6065,r072,1982,Full-time doctoral students,First time,Percent,3,na
6065,r073,1983,All full-time graduate students,Total,,2,252017
6065,r074,1983,All full-time graduate students,First time,Number,3,81606
6065,r075,1983,All full-time graduate students,First time,Percent,3,32.4
6065,r076,1983,Full-time master's students,Total,,2,na
6065,r077,1983,Full-time master's students,First time,Number,3,na
6065,r078,1983,Full-time master's students,First time,Percent,3,na
6065,r079,1983,Full-time doctoral students,Total,,2,na
6065,r080,1983,Full-time doctoral students,First time,Number,3,na
6065,r081,1983,Full-time doctoral students,First time,Percent,3,na
6065,r082,1984,All full-time graduate students,Total,,2,253922
6065,r083,1984,All full-time graduate students,First time,Number,3,80186
6065,r084,1984,All full-time graduate students,First time,Percent,3,31.6
6065,r085,1984,Full-time master's students,Total,,2,na
6065,r086,1984,Full-time master's students,First time,Number,3,na
6065,r087,1984,Full-time master's students,First time,Percent,3,na
6065,r088,1984,Full-time doctoral students,Total,,2,na
6065,r089,1984,Full-time doctoral students,First time,Number,3,na
6065,r090,1984,Full-time doctoral students,First time,Percent,3,na
6065,r091,1985,All full-time graduate students,Total,,2,257287
6065,r092,1985,All full-time graduate students,First time,Number,3,80678
6065,r093,1985,All full-time graduate students,First time,Percent,3,31.4
6065,r094,1985,Full-time master's students,Total,,2,na
6065,r095,1985,Full-time master's students,First time,Number,3,na
6065,r096,1985,Full-time master's students,First time,Percent,3,na
6065,r097,1985,Full-time doctoral students,Total,,2,na
6065,r098,1985,Full-time doctoral students,First time,Number,3,na
6065,r099,1985,Full-time doctoral students,First time,Percent,3,na
6065,r100,1986,All full-time graduate students,Total,,2,266168
6065,r101,1986,All full-time graduate students,First time,Number,3,82548
6065,r102,1986,All full-time graduate students,First time,Percent,3,31.0
6065,r103,1986,Full-time master's students,Total,,2,na
6065,r104,1986,Full-time master's students,First time,Number,3,na
6065,r105,1986,Full-time master's students,First time,Percent,3,na
6065,r106,1986,Full-time doctoral students,Total,,2,na
6065,r107,1986,Full-time doctoral students,First time,Number,3,na
6065,r108,1986,Full-time doctoral students,First time,Percent,3,na
6065,r109,1987,All full-time graduate students,Total,,2,271056
6065,r110,1987,All full-time graduate students,First time,Number,3,80843
6065,r111,1987,All full-time graduate students,First time,Percent,3,29.8
6065,r112,1987,Full-time master's students,Total,,2,na
6065,r113,1987,Full-time master's students,First time,Number,3,na
6065,r114,1987,Full-time master's students,First time,Percent,3,na
