table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7697,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,278804902,337554442,NA,544768301,666474213,715619606,671902599,657514410,582262610,585025545,604530902,636036132,628288241,657808336,691921461,673691209
7697,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,4339426,5786160,NA,9138896,9749394,14250319,8612718,9160769,4589652,6167637,11438924,13806194,11465666,7412961,13704571,17295499
7697,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,5356472,7541700,NA,6387016,7885200,9004800,5346296,5963195,9399991,9464543,7791729,6608776,7376047,8920501,10745451,13677498
7697,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,8576436,6833220,NA,6869506,7545171,7410362,13303829,16141770,8953596,8268168,5938520,3742746,1618025,761096,1562435,3522494
7697,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,1073285,420340,NA,467767,5406407,6077854,3006648,2992079,708544,660969,576503,747577,202770,66099,189018,170429
7697,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,35104016,29987603,NA,48407683,59744655,69864773,59490293,57262060,53984295,55223244,68155837,77743824,78250013,73081146,81087677,81309690
7697,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,6594969,7004927,NA,9395554,7108498,6942978,8170313,8248707,8178672,8467517,7733398,9193948,9119788,11900858,12047699,11957421
7697,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,14519731,13979139,NA,12571612,22561170,23573706,24039989,25612853,20533902,21885609,20919179,21181282,22502799,24679641,25868030,27217883
7697,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,1207011,2011600,NA,1021115,1968736,2049018,2181693,2514545,1888698,1709791,1671853,1867003,2532597,2558634,2312965,1894419
7697,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,302000,2009000,NA,0,189691,220886,354612,435813,1444007,1541038,1379944,1525542,2021912,1888642,2510818,3705656
7697,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,10013516,9073670,NA,10356355,50546200,48327623,48910954,47372831,44017593,45015557,44254939,44546892,51598115,50604692,52430371,50793339
7697,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,861231,60551,NA,3500000,3200000,3600000,4145859,2041101,1766014,1709229,2303714,2608350,2345600,3539835,2648196,2016590
7697,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,2329186,7617547,NA,3268044,3049593,3667047,4267994,4320992,1038877,1659573,2412169,1406938,213163,257625,6531042,2311413
7697,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,257926,1127217,NA,4397225,4616645,4430450,7179818,7836031,6783779,6469463,6576466,6591001,6172889,6709727,7967885,7124769
7697,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,17617332,18022400,NA,1304428,1948263,2049697,1618580,1663080,1678403,1550890,1251225,1251225,1171225,1171225,626262,554067
7697,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,2364046,36349207,NA,941982,975000,975000,870605,1022370,675629,657583,619999,809062,243160,167703,92268,470344
7697,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,5754032,363153,NA,953909,625480,1260999,4376976,5603029,3884026,3696335,3796688,3590701,2897292,3279267,2959513,3091936
7697,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,2137741,1636784,NA,1598127,1448133,1501433,1484948,1577722,1427786,1333800,2817975,2210187,2089000,998463,999734,1294643
7697,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,3702849,998840,NA,6241919,1635906,2137354,2893270,2962965,454669,734444,1547014,4414627,2135186,2038186,1752643,1946017
7697,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,7530897,4259147,NA,5014571,6523169,7493894,4884739,5081221,8785247,9325390,12536416,10944624,13442234,10974134,10774371,9555840
7697,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,0,330000,NA,1566832,1542846,1883123,1071798,1154177,2048918,2911504,2970210,2999641,2802497,3051263,4038999,10370488
7697,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,6086183,16726066,NA,5683023,1962000,1928700,513661,572247,906472,846300,327732,1077744,2744392,989368,659436,878718
