table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
12659,r001,All R&D fields,All R&D fields,,,,1,23809028,24506142,25586784,27531635,29200310,30673160,32949212,34901335,37165593,39030069,40199236,40583040,43694680,49077015
12659,r002,All R&D fields -> Science,All R&D fields,Science,,,2,18270250,18582380,19417860,20844018,22361727,23526510,25143575,26732736,28499390,29869255,30815305,31241854,33420344,37359704
12659,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,462704,448206,461891,515569,536901,542399,636070,694681,767608,842691,924840,958748,1041114,1199410
12659,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,977987,971968,969612,1100260,1177643,1180177,1090992,1105499,1111253,1118707,1172737,1150821,1212471,1338643
12659,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,90667,97535,87634,95765,112147,120219,113396,120136,122304,129922,141786,140314,140760,140566
12659,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,348875,342724,350160,395597,418477,414470,393193,398417,433951,444695,462414,470125,496043,566818
12659,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,354927,343778,351584,389199,408321,402440,432812,441820,412192,402370,423683,395047,425635,473898
12659,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,183518,187931,180234,219699,238698,243048,151591,145126,142806,141720,144854,145335,150033,157361
12659,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,13282124,13674114,14446569,15329592,16668389,17605229,19064205,20348980,21741368,22790900,23384989,23901573,25516867,28308125
12659,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,2053440,2074100,2162369,2236681,2296963,2382663,2310418,2296280,2356617,2437010,2551683,2452709,2668630,2826821
