table_id,row_id,field_full_path,field_level_1,field_level_2,field_hierarchy_depth,field_fy_2013,field_fy_2015,field_fy_2017,field_fy_2019,field_fy_2021,field_fy_2023
12823,r001,All research space,All research space,,1,211.8,214.5,221.2,226.9,236.1,240.2
12823,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,30.5,28.3,29.0,28.4,32.4,31.5
12823,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,57.2,55.9,57.7,58.3,60.0,61.2
12823,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,4.3,4.3,4.2,4.6,4.6,5.0
12823,r005,All research space -> Engineering,All research space,Engineering,2,33.4,34.2,35.2,38.3,40.5,42.0
12823,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,7.8,8.1,8.5,8.6,9.0,9.2
12823,r007,All research space -> Health sciences,All research space,Health sciences,2,38.0,39.2,39.8,41.1,40.3,40.0
12823,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,1.7,1.8,1.8,1.8,1.8,1.9
12823,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,na,3.5,4.3,4.7,4.9,5.1
12823,r010,All research space -> Physical sciences,All research space,Physical sciences,2,22.9,22.7,23.2,23.5,23.9,24.7
12823,r011,All research space -> Psychology,All research space,Psychology,2,5.5,5.5,5.6,5.9,5.8,6.1
12823,r012,All research space -> Social sciences,All research space,Social sciences,2,5.7,6.0,6.1,6.4,6.7,6.7
12823,r013,All research space -> Other fields of S&E,All research space,Other fields of S&E,2,4.8,4.9,5.8,5.3,6.2,6.8
12823,r014,All research space -> Medical school space<sup>a</sup>,All research space,Medical school space<sup>a</sup>,2,48.6,48.6,47.5,49.7,51.5,52.2
