table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_rank,field_2019,field_2020,field_2021,field__change_2020_21
7882,r001,All institutions,All institutions,,1, - ,83487,86300,89723,4.0
7882,r002,Leading 30 institutions,Leading 30 institutions,,1, - ,35404,36646,38126,4.0
7882,r003,Leading 30 institutions -> Johns Hopkins U.<sup>a</sup>,Leading 30 institutions,Johns Hopkins U.<sup>a</sup>,2,1,2917,3110,3181,2.3
7882,r004,"Leading 30 institutions -> U. California, San Francisco",Leading 30 institutions,"U. California, San Francisco",2,2,1595,1651,1710,3.6
7882,r005,"Leading 30 institutions -> U. Michigan, Ann Arbor",Leading 30 institutions,"U. Michigan, Ann Arbor",2,3,1676,1674,1640,-2.0
7882,r006,Leading 30 institutions -> U. Pennsylvania,Leading 30 institutions,U. Pennsylvania,2,4,1506,1579,1632,3.4
7882,r007,"Leading 30 institutions -> U. Washington, Seattle",Leading 30 institutions,"U. Washington, Seattle",2,5,1426,1457,1489,2.2
7882,r008,"Leading 30 institutions -> U. California, Los Angeles",Leading 30 institutions,"U. California, Los Angeles",2,6,1306,1393,1455,4.5
7882,r009,"Leading 30 institutions -> U. California, San Diego",Leading 30 institutions,"U. California, San Diego",2,7,1354,1404,1425,1.5
7882,r010,Leading 30 institutions -> U. Wisconsin-Madison,Leading 30 institutions,U. Wisconsin-Madison,2,8,1297,1364,1380,1.2
7882,r011,Leading 30 institutions -> Stanford U.,Leading 30 institutions,Stanford U.,2,9,1204,1204,1274,5.8
7882,r012,Leading 30 institutions -> Harvard U.,Leading 30 institutions,Harvard U.,2,10,1240,1240,1254,1.1
7882,r013,Leading 30 institutions -> Duke U.,Leading 30 institutions,Duke U.,2,11,1227,1197,1238,3.4
7882,r014,Leading 30 institutions -> Ohio State U.,Leading 30 institutions,Ohio State U.,2,12,929,968,1236,27.7
7882,r015,"Leading 30 institutions -> U. North Carolina, Chapel Hill",Leading 30 institutions,"U. North Carolina, Chapel Hill",2,13,1154,1160,1206,4.0
7882,r016,Leading 30 institutions -> Cornell U.,Leading 30 institutions,Cornell U.,2,14,1145,1190,1184,-0.5
7882,r017,Leading 30 institutions -> Yale U.,Leading 30 institutions,Yale U.,2,15,1072,1094,1165,6.5
7882,r018,"Leading 30 institutions -> Texas A&M U., College Station and Health Science Center",Leading 30 institutions,"Texas A&M U., College Station and Health Science Center",2,16,952,1131,1148,1.5
7882,r019,Leading 30 institutions -> U. Maryland<sup>b</sup>,Leading 30 institutions,U. Maryland<sup>b</sup>,2,17,1097,1103,1142,3.5
7882,r020,"Leading 30 institutions -> U. Pittsburgh, Pittsburgh",Leading 30 institutions,"U. Pittsburgh, Pittsburgh",2,18,1081,1106,1135,2.6
7882,r021,Leading 30 institutions -> U. Texas M. D. Anderson Cancer Center,Leading 30 institutions,U. Texas M. D. Anderson Cancer Center,2,19,969,1051,1125,7.0
7882,r022,Leading 30 institutions -> Georgia Institute of Technology,Leading 30 institutions,Georgia Institute of Technology,2,20,960,1049,1114,6.2
7882,r023,Leading 30 institutions -> Columbia U. in the City of New York,Leading 30 institutions,Columbia U. in the City of New York,2,21,1004,1033,1099,6.4
7882,r024,"Leading 30 institutions -> U. Minnesota, Twin Cities",Leading 30 institutions,"U. Minnesota, Twin Cities",2,22,1013,1042,1073,3.0
7882,r025,Leading 30 institutions -> New York U.,Leading 30 institutions,New York U.,2,23,935,947,1064,12.4
7882,r026,Leading 30 institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,Leading 30 institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,24,777,825,1019,23.5
7882,r027,"Leading 30 institutions -> Washington U., Saint Louis",Leading 30 institutions,"Washington U., Saint Louis",2,25,887,920,989,7.5
7882,r028,"Leading 30 institutions -> Pennsylvania State U., University Park and Hershey Medical Center",Leading 30 institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,26,950,992,971,-2.1
7882,r029,Leading 30 institutions -> U. Florida,Leading 30 institutions,U. Florida,2,27,929,942,960,1.9
7882,r030,Leading 30 institutions -> U. Southern California,Leading 30 institutions,U. Southern California,2,28,910,941,956,1.6
7882,r031,Leading 30 institutions -> Massachusetts Institute of Technology,Leading 30 institutions,Massachusetts Institute of Technology,2,29,1009,988,949,-3.9
7882,r032,Leading 30 institutions -> Northwestern U.,Leading 30 institutions,Northwestern U.,2,30,857,875,913,4.3
