table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_hierarchy_depth,field_workers_employed_all_occupations,field_workers_employed_stw,field_stw_as_a_percent_of_all_occupations_
1601,r001,U.S. total &#8212; all industries,U.S. total &#8212; all industries,,1,135348542,17002829,12.6
1601,r002,U.S. total &#8212; all industries -> Construction,U.S. total &#8212; all industries,Construction,2,9348965,3389527,36.3
1601,r003,"U.S. total &#8212; all industries -> Mining, quarrying, and oil and gas extraction",U.S. total &#8212; all industries,"Mining, quarrying, and oil and gas extraction",2,678302,240037,35.4
1601,r004,U.S. total &#8212; all industries -> Utilities,U.S. total &#8212; all industries,Utilities,2,1231070,356987,29.0
1601,r005,U.S. total &#8212; all industries -> Manufacturing,U.S. total &#8212; all industries,Manufacturing,2,14393604,3325677,23.1
1601,r006,U.S. total &#8212; all industries -> Military,U.S. total &#8212; all industries,Military,2,315564,70949,22.5
1601,r007,U.S. total &#8212; all industries -> Medical,U.S. total &#8212; all industries,Medical,2,16507728,3354391,20.3
1601,r008,U.S. total &#8212; all industries -> Information,U.S. total &#8212; all industries,Information,2,2800784,368782,13.2
1601,r009,"U.S. total &#8212; all industries -> Other services, except public administration",U.S. total &#8212; all industries,"Other services, except public administration",2,6725564,850137,12.6
1601,r010,U.S. total &#8212; all industries -> Public administration,U.S. total &#8212; all industries,Public administration,2,6752910,729062,10.8
1601,r011,U.S. total &#8212; all industries -> Wholesale trade,U.S. total &#8212; all industries,Wholesale trade,2,3698339,297082,8.0
1601,r012,"U.S. total &#8212; all industries -> Professional, scientific, and management, and administrative, and waste management services",U.S. total &#8212; all industries,"Professional, scientific, and management, and administrative, and waste management services",2,16316563,1309555,8.0
1601,r013,U.S. total &#8212; all industries -> Transportation and warehousing and utilities,U.S. total &#8212; all industries,Transportation and warehousing and utilities,2,6527537,445869,6.8
1601,r014,U.S. total &#8212; all industries -> Retail trade,U.S. total &#8212; all industries,Retail trade,2,13219102,901438,6.8
1601,r015,"U.S. total &#8212; all industries -> Arts, entertainment, and recreation, and accommodation and food services",U.S. total &#8212; all industries,"Arts, entertainment, and recreation, and accommodation and food services",2,9901617,495309,5.0
1601,r016,"U.S. total &#8212; all industries -> Finance and insurance, and real estate, and rental and leasing",U.S. total &#8212; all industries,"Finance and insurance, and real estate, and rental and leasing",2,9556066,439018,4.6
1601,r017,"U.S. total &#8212; all industries -> Agriculture, forestry, fishing, and hunting",U.S. total &#8212; all industries,"Agriculture, forestry, fishing, and hunting",2,1669255,56783,3.4
1601,r018,U.S. total &#8212; all industries -> Social assistance,U.S. total &#8212; all industries,Social assistance,2,3082982,76243,2.5
1601,r019,U.S. total &#8212; all industries -> Educational services,U.S. total &#8212; all industries,Educational services,2,12622590,295983,2.3
