table_id,row_id,institution,rank,totala,male,female
9499,r001,"U. Michigan, Ann Arbor",1,861,503,358
9499,r002,Stanford U.,2,836,519,317
9499,r003,"U. California, Berkeley",3,830,484,346
9499,r004,Walden U.,4,829,249,580
9499,r005,"U. Illinois, Urbana-Champaign",5,824,495,329
9499,r006,"Purdue U., West Lafayette",6,798,508,290
9499,r007,"Texas A&M U., College Station",7,793,467,326
9499,r008,"U. California, Los Angeles",8,786,458,328
9499,r009,U. Florida,9,771,408,363
9499,r010,"Ohio State U., Columbus",10,767,445,322
9499,r011,Harvard U.,11,753,389,364
9499,r012,U. Wisconsin-Madison,11,753,394,359
9499,r013,"U. Texas, Austin",13,741,442,299
9499,r014,Massachusetts Institute of Technology,14,735,496,239
9499,r015,Pennsylvania State U.,15,710,397,313
9499,r016,"U. Minnesota, Twin Cities",16,693,336,357
9499,r017,"U. Washington, Seattle",17,615,316,299
9499,r018,"U. California, Davis",18,587,294,292
9499,r019,Columbia U. in the City of New York,19,577,303,274
9499,r020,"U. Maryland, College Park",20,565,328,237
9499,r021,Georgia Institute of Technology,21,560,392,168
9499,r022,"U. California, San Diego",22,545,339,206
9499,r023,North Carolina State U.,23,540,297,243
9499,r024,Michigan State U.,24,519,279,240
9499,r025,U. Pennsylvania,25,516,268,248
9499,r026,"U. California, Irvine",26,514,298,216
9499,r027,U. Georgia,27,511,244,267
9499,r028,Cornell U.,28,509,293,216
9499,r029,Johns Hopkins U.,29,507,263,244
9499,r030,"Arizona State U., Tempe",30,506,289,217
9499,r031,Northwestern U.,31,491,258,233
9499,r032,U. Southern California,32,479,278,201
9499,r033,"U. North Carolina, Chapel Hill",33,474,212,262
9499,r034,U. Chicago,34,462,263,199
9499,r035,Virginia Polytechnic Institute and State U.,35,459,288,171
9499,r036,U. Utah,36,448,273,175
9499,r037,Princeton U.,37,447,299,148
9499,r038,U. Colorado Boulder,38,426,253,173
9499,r039,Yale U.,39,424,234,190
9499,r040,Duke U.,40,417,234,183
9499,r041,New York U.,41,414,207,207
9499,r042,"U. Pittsburgh, Pittsburgh",42,396,205,191
9499,r043,Texas Tech U.,43,384,178,206
9499,r044,Carnegie Mellon U.,44,383,264,119
9499,r045,"Rutgers, State U. New Jersey, New Brunswick",45,375,202,173
9499,r046,U. Arizona,46,374,193,181
9499,r047,"Indiana U., Bloomington",47,373,180,193
9499,r048,Boston U.,48,370,194,176
9499,r049,Iowa State U.,49,367,211,156
9499,r050,Florida State U.,50,366,180,186
