table_id,row_id,citizenship_status_race_and_ethnicity_full_path,citizenship_status_race_and_ethnicity_level_1,citizenship_status_race_and_ethnicity_level_2,citizenship_status_race_and_ethnicity_hierarchy_depth,field_biological_sciences,field_earth_atmospheric_and_ocean_sciences,field_engineering,field_mathematics_and_computer_sciences,field_physical_sciences,field_psychology,field_social_sciences
5776,r001,U.S. citizen or permanent resident,U.S. citizen or permanent resident,,1,64,42,23,25,41,79,56
5776,r002,U.S. citizen or permanent resident -> Hispanic,U.S. citizen or permanent resident,Hispanic,2,64,44,23,25,40,79,63
5776,r003,U.S. citizen or permanent resident -> American Indian or Alaska Native,U.S. citizen or permanent resident,American Indian or Alaska Native,2,62,41,26,26,33,78,67
5776,r004,U.S. citizen or permanent resident -> Asian,U.S. citizen or permanent resident,Asian,2,61,55,27,29,47,74,56
5776,r005,U.S. citizen or permanent resident -> Black or African American,U.S. citizen or permanent resident,Black or African American,2,72,44,27,29,57,80,65
5776,r006,U.S. citizen or permanent resident -> Native Hawaiian or Other Pacific Islander,U.S. citizen or permanent resident,Native Hawaiian or Other Pacific Islander,2,61,36,23,25,33,74,59
5776,r007,U.S. citizen or permanent resident -> White,U.S. citizen or permanent resident,White,2,63,41,22,22,38,80,52
5776,r008,U.S. citizen or permanent resident -> More than one race,U.S. citizen or permanent resident,More than one race,2,65,47,28,28,45,79,60
5776,r009,U.S. citizen or permanent resident -> Other or unknown race or ethnicity ,U.S. citizen or permanent resident,Other or unknown race or ethnicity ,2,64,43,23,24,40,77,57
