table_id,row_id,_b_r_d_expenditures_and_type_of_institution_b_full_path,_b_r_d_expenditures_and_type_of_institution_b_level_1,_b_r_d_expenditures_and_type_of_institution_b_level_2,_b_r_d_expenditures_and_type_of_institution_b_level_3,_b_r_d_expenditures_and_type_of_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_r_d_expenditures_received_as_a_subrecipient_total,field_r_d_expenditures_received_as_a_subrecipient_from_higher_education_pass_through_entities,field_r_d_expenditures_received_as_a_subrecipient_from_businesses,field_r_d_expenditures_received_as_a_subrecipient_from_nonprofit_organizations,field_r_d_expenditures_received_as_a_subrecipient_from_other_pass_through_entities
12721,r001,"Total R&D, all institutions","Total R&D, all institutions",,,1,108681008,10626607,5276187,1528445,2173477,1648498
12721,r002,"Total R&D, all institutions -> Doctorate","Total R&D, all institutions",Doctorate,,2,107813315,10544990,5224427,1524839,2164759,1630965
12721,r003,"Total R&D, all institutions -> Nondoctorate","Total R&D, all institutions",Nondoctorate,,2,867693,81617,51760,3606,8718,17533
12721,r004,"Total R&D, all institutions -> Public","Total R&D, all institutions",Public,,2,71001044,7136333,3266450,1070988,1394348,1404547
12721,r005,"Total R&D, all institutions -> Private","Total R&D, all institutions",Private,,2,37679964,3490274,2009737,457457,779129,243951
12721,r006,"Total R&D, all institutions -> Federally financed R&D, all institutions","Total R&D, all institutions","Federally financed R&D, all institutions",,2,59603993,9292657,4818870,1269034,1750269,1454484
12721,r007,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Doctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Doctorate,3,59120821,9226948,4773568,1266733,1742898,1443749
12721,r008,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Nondoctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Nondoctorate,3,483172,65709,45302,2301,7371,10735
12721,r009,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Public","Total R&D, all institutions","Federally financed R&D, all institutions",Public,3,37015780,6252502,3010022,883597,1104285,1254598
12721,r010,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Private","Total R&D, all institutions","Federally financed R&D, all institutions",Private,3,22588213,3040155,1808848,385437,645984,199886
