table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_unaffiliated_companies,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
1406,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['56,954', '  ']","['14,239', '  ']","['14,766', '  ']","['2,926', '  ']","['23,772', '  ']","['171', '  ']","['127', '  ']","['851', '  ']","['100', ' ']"
1406,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['38,893', '  ']","['4,812', '  ']","['12,264', '  ']","['1,930', '  ']","['19,217', '  ']","['14', '  ']","['116', '  ']","['453', '  ']","['87', ' ']"
1406,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['217', '  ']","['7', 'i ']","['205', '  ']","['*', 'i ']","['2', '  ']","['*', 'i ']","['0', '  ']","['3', '  ']","['0', ' ']"
1406,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['D', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['9', '  ']","['3', '  ']","['D', '&nbsp;']","['D', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['7', 'i ']","['D', '&nbsp;']","['7', 'i ']","['D', '&nbsp;']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['*', '  ']","['*', '  ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['*', 'i ']","['D', '&nbsp;']","['*', 'i ']","['D', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i']"
1406,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['14', '  ']","['3', '  ']","['10', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,410', '  ']","['1,484', 'i ']","['6,184', '  ']","['1,421', '  ']","['212', '  ']","['5', '  ']","['D', '  ']","['D', '  ']","['45', ' ']"
1406,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['261', '  ']","['D', '  ']","['145', '  ']","['D', '&nbsp;']","['46', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['0', ' ']"
1406,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['18', '  ']","['D', '&nbsp;']","['D', '  ']","['*', 'i ']","['1', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,"['D', '  ']","['D', '  ']","['D', '  ']","['D', '&nbsp;']","['2', '  ']","['0', '  ']","['0', '  ']","['1', 'i ']","['0', ' ']"
1406,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['8,644', '  ']","['1,414', 'i ']","['5,613', '  ']","['1,363', '  ']","['147', '  ']","['5', '  ']","['D', '  ']","['D', '  ']","['45', ' ']"
1406,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['141', '  ']","['10', '  ']","['131', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['0', '  ']","['16', 'i ']","['*', '  ']","['0', '  ']","['*', 'i ']","['0', ' ']"
1406,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['169', '  ']","['140', '  ']","['25', 'i ']","['*', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['0', ' ']"
