table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_all_employed_10_number,field_all_employed_10_se,field_full_professor_number,field_full_professor_se,field_full_professor_10_number,field_full_professor_10_se,field_associate_professor_number,field_associate_professor_se,field_associate_professor_10_number,field_associate_professor_10_se,field_assistant_professor_number,field_assistant_professor_se,field_assistant_professor_10_number,field_assistant_professor_10_se,field_instructor_or_lecturer_number,field_instructor_or_lecturer_se,field_instructor_or_lecturer_10_number,field_instructor_or_lecturer_10_se,field_all_other_faculty_number,field_all_other_faculty_se,field_all_other_faculty_10_number,field_all_other_faculty_10_se,field_rank_not_applicable_number,field_rank_not_applicable_se,field_rank_not_applicable_10_number,field_rank_not_applicable_10_se
3686,r001,All fields,All fields,,,,1,108100,1200,236250,2075,1250,175,111950,1525,12550,525,63650,1075,48950,1025,19950,725,10000,425,11850,525,500,125,1050,125,34800,875,27800,750
3686,r002,All fields -> Male,All fields,Male,,,2,58550,975,153300,1825,550,125,80750,1350,7300,450,39100,900,27050,725,11050,575,5150,375,6350,400,300,100,750,150,18250,675,15350,550
3686,r003,All fields -> Female,All fields,Female,,,2,49550,825,82950,1225,700,125,31200,850,5300,275,24500,675,21900,625,8900,450,4850,250,5550,350,250,75,300,100,16550,575,12450,575
3686,r004,All fields -> Science,All fields,Science,,,2,84150,1075,193700,1850,850,125,90150,1325,9050,425,51950,950,36500,900,16750,650,8300,375,10300,500,400,100,750,125,29050,825,23800,750
3686,r005,All fields -> Science -> Male,All fields,Science,Male,,3,44400,850,123850,1575,450,100,64100,1175,5350,350,31600,800,19650,625,9400,500,4150,300,5450,375,200,100,500,125,14600,625,12800,550
3686,r006,All fields -> Science -> Female,All fields,Science,Female,,3,39750,800,69850,1075,400,100,26050,775,3700,250,20350,550,16850,575,7350,400,4150,250,4850,325,200,75,250,75,14450,525,11000,550
3686,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,31050,675,65200,1025,250,75,26550,725,1500,200,16450,625,9700,400,8500,450,2700,225,2900,275,200,75,250,75,16700,575,10550,475
3686,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,4,15500,575,40150,975,200,75,18800,675,900,175,10100,525,4800,300,4650,375,1550,175,1450,225,100,50,S,S,8000,450,5050,400
3686,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,4,15550,450,25050,625,100,50,7750,425,600,100,6350,375,4850,275,3850,275,1150,125,1500,175,100,50,100,75,8700,375,5500,375
3686,r010,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,4250,250,6500,400,100,50,3350,300,650,150,2100,250,2600,250,300,75,250,75,300,75,,,,,650,125,500,150
