table_id,row_id,_b_country_of_citizenship_b_full_path,_b_country_of_citizenship_b_level_1,_b_country_of_citizenship_b_level_2,_b_country_of_citizenship_b_level_3,_b_country_of_citizenship_b_hierarchy_depth,field_total_2014_20_number,field_total_2014_20_staying,field_2014_number,field_2014_staying,field_2015_number,field_2015_staying,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying,field_2019_number,field_2019_staying,field_2020_number,field_2020_staying
4690,r001,All temporary visa holders,All temporary visa holders,,,1,119125,72.2,15839,71.1,16129,71.3,16477,72.5,16288,74.3,17586,72.0,18324,71.2,18482,73.0
4690,r002,All temporary visa holders -> Africa,All temporary visa holders,Africa,,2,4926,70.1,648,66.8,649,66.4,653,70.8,700,70.9,745,70.6,743,72.0,788,72.6
4690,r003,All temporary visa holders -> Africa -> Egypt,All temporary visa holders,Africa,Egypt,3,983,71.5,135,70.4,129,62.8,117,66.7,156,69.9,156,73.7,163,74.8,127,81.1
4690,r004,All temporary visa holders -> Africa -> Nigeria,All temporary visa holders,Africa,Nigeria,3,848,79.5,87,82.8,83,75.9,112,83.9,113,77.9,147,75.5,145,81.4,161,79.5
4690,r005,All temporary visa holders -> Africa -> Ghana,All temporary visa holders,Africa,Ghana,3,615,70.6,62,77.4,83,65.1,87,70.1,85,71.8,103,66.0,88,72.7,107,72.9
4690,r006,All temporary visa holders -> Africa -> Libya,All temporary visa holders,Africa,Libya,3,411,67.2,58,36.2,60,71.7,67,65.7,48,75.0,56,76.8,61,68.9,61,77.0
4690,r007,All temporary visa holders -> Africa -> Kenya,All temporary visa holders,Africa,Kenya,3,390,69.2,72,70.8,57,68.4,60,66.7,57,63.2,50,68.0,38,78.9,56,71.4
4690,r008,All temporary visa holders -> Africa -> South Africa,All temporary visa holders,Africa,South Africa,3,176,52.8,32,53.1,25,52.0,20,60.0,20,45.0,26,53.8,29,51.7,24,54.2
4690,r009,All temporary visa holders -> Africa -> Uganda,All temporary visa holders,Africa,Uganda,3,155,51.0,27,44.4,23,60.9,16,56.3,19,47.4,20,50.0,20,45.0,30,53.3
4690,r010,All temporary visa holders -> Africa -> Other,All temporary visa holders,Africa,Other,3,1348,68.7,175,66.9,189,65.6,174,71.3,202,73.3,187,70.1,199,67.8,222,66.2
4690,r011,All temporary visa holders -> Americas,All temporary visa holders,Americas,,2,10642,58.1,1542,55.6,1480,55.7,1503,57.5,1445,56.5,1474,60.0,1534,60.8,1664,60.3
4690,r012,All temporary visa holders -> Americas -> Canada,All temporary visa holders,Americas,Canada,3,3015,58.5,488,55.1,454,56.6,408,56.6,409,59.2,431,62.2,427,62.3,398,57.8
4690,r013,All temporary visa holders -> Americas -> Mexico,All temporary visa holders,Americas,Mexico,3,1396,62.5,193,54.9,194,53.1,221,61.1,180,69.4,185,71.4,187,64.2,236,64.0
4690,r014,All temporary visa holders -> Americas -> Colombia,All temporary visa holders,Americas,Colombia,3,1374,58.0,216,56.9,183,68.3,187,61.5,190,48.4,205,52.7,202,58.9,191,60.2
4690,r015,All temporary visa holders -> Americas -> Brazil,All temporary visa holders,Americas,Brazil,3,1361,58.7,139,50.4,149,50.3,156,56.4,168,61.3,178,61.2,253,63.6,318,60.7
4690,r016,All temporary visa holders -> Americas -> Chile,All temporary visa holders,Americas,Chile,3,757,34.3,99,35.4,103,32.0,130,32.3,128,25.8,91,39.6,100,35.0,106,43.4
4690,r017,All temporary visa holders -> Americas -> Argentina,All temporary visa holders,Americas,Argentina,3,424,63.4,67,64.2,64,53.1,65,61.5,52,69.2,60,66.7,52,61.5,64,68.8
4690,r018,All temporary visa holders -> Americas -> Peru,All temporary visa holders,Americas,Peru,3,370,65.7,58,53.4,53,66.0,56,69.6,50,70.0,46,50.0,51,76.5,56,73.2
4690,r019,All temporary visa holders -> Americas -> Ecuador,All temporary visa holders,Americas,Ecuador,3,310,43.9,34,47.1,42,38.1,42,40.5,49,36.7,44,38.6,50,42.0,49,63.3
4690,r020,All temporary visa holders -> Americas -> Jamaica,All temporary visa holders,Americas,Jamaica,3,230,68.7,25,68.0,36,69.4,34,76.5,29,69.0,44,54.5,32,68.8,30,80.0
4690,r021,All temporary visa holders -> Americas -> Venezuela,All temporary visa holders,Americas,Venezuela,3,213,80.3,40,82.5,29,75.9,27,,31,67.7,26,76.9,28,82.1,32,
4690,r022,All temporary visa holders -> Americas -> Costa Rica,All temporary visa holders,Americas,Costa Rica,3,201,44.8,28,57.1,31,38.7,33,42.4,24,45.8,28,50.0,26,38.5,31,41.9
4690,r023,All temporary visa holders -> Americas -> Other,All temporary visa holders,Americas,Other,3,991,63.0,155,63.9,142,61.3,144,,135,60.0,136,68.4,126,66.7,153,
4690,r024,All temporary visa holders -> Asia,All temporary visa holders,Asia,,2,78061,77.7,10752,75.8,10885,76.0,11016,78.1,10640,80.0,11324,77.5,11621,77.2,11823,79.0
