table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_communication_and_networking_technologies_number_yes,field_communication_and_networking_technologies_number_no,field_communication_and_networking_technologies_percent_yes,field_communication_and_networking_technologies_percent_no
11528,r001,All companies,All companies,,,1,"['4,874,928', '&nbsp;']","['54,405', '&nbsp;']","['4,820,523', '&nbsp;']","['1.1', '&nbsp;']","['98.9', '&nbsp;']"
11528,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11528,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,734,191', '&nbsp;']","['26,539', '&nbsp;']","['2,707,652', '&nbsp;']","['1.0', '&nbsp;']","['99.0', '&nbsp;']"
11528,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['950,548', '&nbsp;']","['10,172', '&nbsp;']","['940,376', '&nbsp;']","['1.1', '&nbsp;']","['98.9', '&nbsp;']"
11528,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11528,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['577,397', '&nbsp;']","['6,868', '&nbsp;']","['570,529', '&nbsp;']","['1.2', '&nbsp;']","['98.8', '&nbsp;']"
11528,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['399,566', '&nbsp;']","['5,783', '&nbsp;']","['393,783', '&nbsp;']","['1.4', '&nbsp;']","['98.6', '&nbsp;']"
11528,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11528,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['115,591', '&nbsp;']","['2,436', '&nbsp;']","['113,155', '&nbsp;']","['2.1', '&nbsp;']","['97.9', '&nbsp;']"
11528,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['63,969', '&nbsp;']","['1,341', '&nbsp;']","['62,628', '&nbsp;']","['2.1', '&nbsp;']","['97.9', '&nbsp;']"
11528,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11528,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['18,124', '&nbsp;']","['439', '&nbsp;']","['17,685', '&nbsp;']","['2.4', '&nbsp;']","['97.6', '&nbsp;']"
11528,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,668', '&nbsp;']","['249', '&nbsp;']","['7,419', '&nbsp;']","['3.2', 'r']","['96.8', '&nbsp;']"
11528,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,010', '&nbsp;']","['311', '&nbsp;']","['5,699', '&nbsp;']","['5.2', '&nbsp;']","['94.8', '&nbsp;']"
11528,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['982', '&nbsp;']","['159', '&nbsp;']","['823', '&nbsp;']","['16.2', 'r']","['83.8', '&nbsp;']"
11528,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['516', '&nbsp;']","['63', '&nbsp;']","['453', '&nbsp;']","['12.2', '&nbsp;']","['87.8', '&nbsp;']"
11528,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['372', '&nbsp;']","['67', '&nbsp;']","['305', '&nbsp;']","['18.1', '&nbsp;']","['81.9', '&nbsp;']"
