table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_by_others_and_performed_by_the_company,field_depreciation,field_capital_expenditures_related_to_r_da,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
12322,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['83,489', '  ']","['2,325', '  ']","['0', '&nbsp;']","['81,164', '  ']","['-2,325', '  ']","['-2.8', '  ']"
12322,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['45,461', '  ']","['1,079', '  ']","['0', '&nbsp;']","['44,382', '  ']","['-1,079', '  ']","['-2.4', '  ']"
12322,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['D', '  ']","['D', '  ']","['0', '&nbsp;']","['336', '  ']","['D', '  ']","['D', '  ']"
12322,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['107', '  ']","['7', '  ']","['0', '&nbsp;']","['100', '  ']","['-7', '  ']","['-6.2', '  ']"
12322,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['D', '  ']","['D', '&nbsp;']","['0', '&nbsp;']","['13', '  ']","['D', '  ']","['D', '  ']"
12322,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['5', '  ']","['*', '  ']","['0', '&nbsp;']","['5', '  ']","['*', '  ']","['-0.8', '  ']"
12322,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', '  ']","['0', '  ']","['0', '&nbsp;']","['*', '  ']","['0', '  ']","['0.0', '  ']"
12322,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1', '  ']","['*', 'r ']","['0', '&nbsp;']","['1', '  ']","['*', '  ']","['-4.8', '  ']"
12322,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['4', '  ']","['0', '  ']","['0', '&nbsp;']","['4', '  ']","['0', '  ']","['0.0', '  ']"
12322,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['12,210', '  ']","['513', '  ']","['0', '&nbsp;']","['11,697', '  ']","['-513', '  ']","['-4.2', '  ']"
12322,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['D', '  ']","['D', '  ']","['0', '&nbsp;']","['190', '  ']","['D', '  ']","['D', '  ']"
12322,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['80', 'i ']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']"
12322,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['D', '  ']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']"
12322,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['11,353', '  ']","['456', '  ']","['0', '&nbsp;']","['10,897', '  ']","['-456', '  ']","['-4.0', '  ']"
12322,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['D', '  ']","['D', '  ']","['0', '&nbsp;']","['221', '  ']","['D', '  ']","['D', '  ']"
12322,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['29', '  ']","['*', '  ']","['0', '&nbsp;']","['28', '  ']","['*', '  ']","['-1.5', '  ']"
12322,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['219', '  ']","['6', '  ']","['0', '&nbsp;']","['213', '  ']","['-6', '  ']","['-2.9', '  ']"
12322,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['29', '  ']","['1', '  ']","['0', '&nbsp;']","['28', '  ']","['-1', '  ']","['-3.8', '  ']"
12322,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['20', 'r ']","['*', '  ']","['0', '&nbsp;']","['20', 'r ']","['*', '  ']","['-0.1', '  ']"
12322,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['222', 'i ']","['10', 'i ']","['0', '&nbsp;']","['212', 'i ']","['-10', 'i ']","['-4.3', '  ']"
12322,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,218', '  ']","['70', 'r ']","['0', '&nbsp;']","['1,147', '  ']","['-70', '  ']","['-5.8', '  ']"
12322,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['D', '  ']","['D', '  ']","['0', '&nbsp;']","['128', '  ']","['D', '  ']","['D', '  ']"
12322,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['48', '  ']","['2', '  ']","['0', '&nbsp;']","['46', '  ']","['-2', '  ']","['-4.9', '  ']"
12322,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['D', '  ']","['D', '&nbsp;']","['0', '&nbsp;']","['299', '  ']","['D', '&nbsp;']","['D', '  ']"
12322,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['725', '  ']","['51', 'r ']","['0', '&nbsp;']","['674', '  ']","['-51', '  ']","['-7.0', '  ']"
12322,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['5,483', '  ']","['162', '  ']","['0', '&nbsp;']","['5,321', '  ']","['-162', '  ']","['-2.9', '  ']"
12322,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['795', 'i ']","['11', 'i ']","['0', '&nbsp;']","['784', 'i ']","['-11', 'i ']","['-1.4', '  ']"
12322,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['1,950', '  ']","['84', '  ']","['0', '&nbsp;']","['1,865', '  ']","['-84', '  ']","['-4.3', '  ']"
12322,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['2,671', '  ']","['62', '  ']","['0', '&nbsp;']","['2,609', '  ']","['-62', '  ']","['-2.3', '  ']"
12322,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['619', 'i ']","['8', 'i ']","['0', '&nbsp;']","['611', 'i ']","['-8', 'i ']","['-1.2', '  ']"
12322,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['1,976', '  ']","['53', '  ']","['0', '&nbsp;']","['1,923', '  ']","['-53', '  ']","['-2.7', '  ']"
12322,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['77', '  ']","['1', '  ']","['0', '&nbsp;']","['76', '  ']","['-1', '  ']","['-1.7', '  ']"
12322,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['67', '  ']","['5', '  ']","['0', '&nbsp;']","['62', '  ']","['-5', '  ']","['-7.0', '  ']"
12322,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['429', 'i ']","['13', 'i ']","['0', '&nbsp;']","['417', 'i ']","['-13', 'i ']","['-3.0', '  ']"
12322,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['24,790', '  ']","['276', '  ']","['0', '&nbsp;']","['24,514', '  ']","['-276', '  ']","['-1.1', '  ']"
