table_id,row_id,field_of_research_full_path,field_of_research_level_1,field_of_research_level_2,field_of_research_level_3,field_of_research_level_4,field_of_research_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents,field_temporary_visa_holders
1261,r001,All postdocs,All postdocs,,,,1,2975,1341,1634
1261,r002,All postdocs -> Science and engineering,All postdocs,Science and engineering,,,2,2359,1124,1235
1261,r003,All postdocs -> Science and engineering -> Science,All postdocs,Science and engineering,Science,,3,1697,791,906
1261,r004,All postdocs -> Science and engineering -> Science -> Agricultural sciences,All postdocs,Science and engineering,Science,Agricultural sciences,4,0,0,0
1261,r005,All postdocs -> Science and engineering -> Science -> Biological and biomedical sciences,All postdocs,Science and engineering,Science,Biological and biomedical sciences,4,144,77,67
1261,r006,All postdocs -> Science and engineering -> Science -> Chemistry,All postdocs,Science and engineering,Science,Chemistry,4,338,185,153
1261,r007,All postdocs -> Science and engineering -> Science -> Computer and information sciences,All postdocs,Science and engineering,Science,Computer and information sciences,4,128,56,72
1261,r008,"All postdocs -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences ",All postdocs,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences ",4,239,122,117
1261,r009,All postdocs -> Science and engineering -> Science -> Mathematics and statistics,All postdocs,Science and engineering,Science,Mathematics and statistics,4,55,30,25
1261,r010,All postdocs -> Science and engineering -> Science -> Natural resources and conservation,All postdocs,Science and engineering,Science,Natural resources and conservation,4,2,0,2
1261,r011,All postdocs -> Science and engineering -> Science -> Physics and astronomy,All postdocs,Science and engineering,Science,Physics and astronomy,4,718,296,422
1261,r012,All postdocs -> Science and engineering -> Science -> Psychology,All postdocs,Science and engineering,Science,Psychology,4,1,1,0
1261,r013,All postdocs -> Science and engineering -> Science -> Social sciences,All postdocs,Science and engineering,Science,Social sciences,4,5,3,2
1261,r014,All postdocs -> Science and engineering -> Science -> Other sciences,All postdocs,Science and engineering,Science,Other sciences,4,67,21,46
1261,r015,All postdocs -> Science and engineering -> Engineering,All postdocs,Science and engineering,Engineering,,3,662,333,329
1261,r016,"All postdocs -> Science and engineering -> Engineering -> Aerospace, aeronautical and astronautical engineering",All postdocs,Science and engineering,Engineering,"Aerospace, aeronautical and astronautical engineering",4,22,14,8
1261,r017,All postdocs -> Science and engineering -> Engineering -> Agricultural engineering,All postdocs,Science and engineering,Engineering,Agricultural engineering,4,2,1,1
1261,r018,All postdocs -> Science and engineering -> Engineering -> Bioengineering and biomedical engineering,All postdocs,Science and engineering,Engineering,Bioengineering and biomedical engineering,4,23,15,8
1261,r019,All postdocs -> Science and engineering -> Engineering -> Chemical engineering,All postdocs,Science and engineering,Engineering,Chemical engineering,4,80,46,34
1261,r020,All postdocs -> Science and engineering -> Engineering -> Civil engineering,All postdocs,Science and engineering,Engineering,Civil engineering,4,18,8,10
1261,r021,"All postdocs -> Science and engineering -> Engineering -> Electrical, electronics and communications engineering",All postdocs,Science and engineering,Engineering,"Electrical, electronics and communications engineering",4,52,31,21
1261,r022,"All postdocs -> Science and engineering -> Engineering -> Engineering mechanics, physics and science",All postdocs,Science and engineering,Engineering,"Engineering mechanics, physics and science",4,44,22,22
1261,r023,All postdocs -> Science and engineering -> Engineering -> Industrial and manufacturing engineering,All postdocs,Science and engineering,Engineering,Industrial and manufacturing engineering,4,0,0,0
1261,r024,All postdocs -> Science and engineering -> Engineering -> Mechanical engineering,All postdocs,Science and engineering,Engineering,Mechanical engineering,4,100,51,49
1261,r025,All postdocs -> Science and engineering -> Engineering -> Metallurgical and materials engineering,All postdocs,Science and engineering,Engineering,Metallurgical and materials engineering,4,244,95,149
1261,r026,All postdocs -> Science and engineering -> Engineering -> Nuclear engineering,All postdocs,Science and engineering,Engineering,Nuclear engineering,4,58,45,13
1261,r027,All postdocs -> Science and engineering -> Engineering -> Petroleum engineering,All postdocs,Science and engineering,Engineering,Petroleum engineering,4,2,1,1
1261,r028,All postdocs -> Science and engineering -> Engineering -> Other engineering fields,All postdocs,Science and engineering,Engineering,Other engineering fields,4,17,4,13
1261,r029,All postdocs -> Health ,All postdocs,Health ,,,2,0,0,0
1261,r030,All postdocs -> Multidisciplinary ,All postdocs,Multidisciplinary ,,,2,47,18,29
1261,r031,All postdocs -> Non-science or engineering ,All postdocs,Non-science or engineering ,,,2,39,15,24
1261,r032,All postdocs -> Field of research not known,All postdocs,Field of research not known,,,2,530,184,346
