table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
7394,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['36,460,060,758', '&nbsp;']","['2,379,345,578', '&nbsp;']","['3,828,438,009', '&nbsp;']","['4,227,972,136', '&nbsp;']","['26,024,305,035', '&nbsp;']"
7394,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['7,771,132,007', '&nbsp;']","['84,271,529', '&nbsp;']","['304,417,130', '&nbsp;']","['484,041,920', '&nbsp;']","['6,898,401,427', '&nbsp;']"
7394,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['956,789,182', '&nbsp;']","['6,116,681', '&nbsp;']","['25,492,840', '&nbsp;']","['71,027,813', '&nbsp;']","['854,151,848', '&nbsp;']"
7394,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['209,244,991', '&nbsp;']","['2,028,166', '&nbsp;']","['13,032,557', '&nbsp;']","['10,110,480', '&nbsp;']","['184,073,788', '&nbsp;']"
7394,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['61,837,538', '&nbsp;']","['3,436,172', '&nbsp;']","['14,639,098', '&nbsp;']","['7,318,164', '&nbsp;']","['36,444,104', '&nbsp;']"
7394,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['126,184,818', '&nbsp;']","['6,408,840', '&nbsp;']","['15,330,956', '&nbsp;']","['19,860,888', '&nbsp;']","['84,584,134', '&nbsp;']"
7394,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['406,103,090', '&nbsp;']","['379,838', '&nbsp;']","['4,851,939', '&nbsp;']","['14,447,730', '&nbsp;']","['386,423,583', '&nbsp;']"
7394,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['78,636,781', '&nbsp;']","['7,173,152', '&nbsp;']","['14,726,883', '&nbsp;']","['13,679,812', '&nbsp;']","['43,056,934', '&nbsp;']"
7394,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,188,290,180', '&nbsp;']","['821,657', '&nbsp;']","['2,249,647', '&nbsp;']","['2,575,319', '&nbsp;']","['1,182,643,556', '&nbsp;']"
7394,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['766,496,576', '&nbsp;']","['4,045,625', '&nbsp;']","['21,211,445', '&nbsp;']","['39,269,117', '&nbsp;']","['701,970,389', '&nbsp;']"
7394,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemical ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemical ",,4,3253,"['17,505,827', '&nbsp;']","['175,952', '&nbsp;']","['1,471,922', '&nbsp;']","['7,117,596', '&nbsp;']","['8,740,357', '&nbsp;']"
7394,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['362,684,799', '&nbsp;']","['807,774', '&nbsp;']","['2,067,419', '&nbsp;']","['7,761,264', '&nbsp;']","['352,048,341', '&nbsp;']"
