table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1318,r001,R&D and R&D plant,R&D and R&D plant,,,,1,11289,11337,11456,0.4,1.0
1318,r002,R&D and R&D plant -> Department of Energy,R&D and R&D plant,Department of Energy,,,2,,,,,
1318,r003,"R&D and R&D plant -> Department of Energy -> Office of Science<sup>c,d</sup>",R&D and R&D plant,Department of Energy,"Office of Science<sup>c,d</sup>",,3,5342,5307,5335,-0.7,0.5
1318,r004,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup>",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",,,2,5946,6030,6121,1.4,1.5
1318,r005,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Arctic Research Commission",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",Arctic Research Commission,,3,1,NA,1,NA,NA
1318,r006,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Biological Sciences",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",Biological Sciences,,3,742,NA,738,NA,NA
1318,r007,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Computer and Information Science and Engineering",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",Computer and Information Science and Engineering,,3,936,NA,925,NA,NA
1318,r008,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Education and Human Resources",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",Education and Human Resources,,3,873,874,873,0.1,-0.1
1318,r009,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Engineering",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",Engineering,,3,931,NA,921,NA,NA
1318,r010,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Geosciences",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",Geosciences,,3,826,NA,853,NA,NA
