table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_hierarchy_depth,field_all_agencies,field_doc,field_dod,field_dot,field_hhs,field_nsf,field_usda
11220,r001,All states and outlying areas,All states and outlying areas,,1,1942928,33430,853,1582,1136253,630984,139826
11220,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,2,42009,0,0,0,12739,19545,9726
11220,r003,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,2,4445,0,0,0,2033,983,1430
11220,r004,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,2,28514,0,0,0,9147,16636,2732
11220,r005,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,2,6454,0,0,0,854,3930,1670
11220,r006,All states and outlying areas -> California,All states and outlying areas,California,2,205005,0,120,404,133418,59894,11170
11220,r007,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,2,47731,16324,0,0,18875,11522,1010
11220,r008,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,2,41101,0,0,0,32372,7477,1252
11220,r009,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,2,7681,0,0,0,1217,3874,2590
11220,r010,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,2,23492,4363,0,0,12567,6563,0
11220,r011,All states and outlying areas -> Florida,All states and outlying areas,Florida,2,49308,80,0,0,17813,26124,5291
11220,r012,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,2,51525,0,0,0,27551,22087,1887
11220,r013,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,2,10641,0,0,0,2418,6067,2155
11220,r014,All states and outlying areas -> Idaho,All states and outlying areas,Idaho,2,12663,0,0,0,4574,6924,1165
11220,r015,All states and outlying areas -> Illinois,All states and outlying areas,Illinois,2,69547,0,0,0,49717,18550,1281
11220,r016,All states and outlying areas -> Indiana,All states and outlying areas,Indiana,2,18208,0,15,0,8731,7807,1654
11220,r017,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,2,22478,0,0,0,12738,8191,1549
11220,r018,All states and outlying areas -> Kansas,All states and outlying areas,Kansas,2,14488,0,0,0,7012,6565,911
11220,r019,All states and outlying areas -> Kentucky,All states and outlying areas,Kentucky,2,22835,0,0,0,13817,6385,2633
11220,r020,All states and outlying areas -> Louisiana,All states and outlying areas,Louisiana,2,17366,0,0,0,9032,5100,3234
11220,r021,All states and outlying areas -> Maine,All states and outlying areas,Maine,2,6423,0,0,224,2481,2554,1164
11220,r022,All states and outlying areas -> Maryland,All states and outlying areas,Maryland,2,73772,11972,0,0,46177,10464,5160
11220,r023,All states and outlying areas -> Massachusetts,All states and outlying areas,Massachusetts,2,71517,0,0,128,51129,17506,2754
11220,r024,All states and outlying areas -> Michigan,All states and outlying areas,Michigan,2,54657,0,100,32,34988,17916,1621
11220,r025,All states and outlying areas -> Minnesota,All states and outlying areas,Minnesota,2,37024,0,0,0,20582,12076,4366
11220,r026,All states and outlying areas -> Mississippi,All states and outlying areas,Mississippi,2,7029,0,0,0,1242,2884,2902
11220,r027,All states and outlying areas -> Missouri,All states and outlying areas,Missouri,2,56606,0,0,0,40937,12764,2904
11220,r028,All states and outlying areas -> Montana,All states and outlying areas,Montana,2,23002,0,0,0,11737,7067,4198
11220,r029,All states and outlying areas -> Nebraska,All states and outlying areas,Nebraska,2,18850,0,0,0,10944,6150,1755
11220,r030,All states and outlying areas -> Nevada,All states and outlying areas,Nevada,2,4379,0,0,0,129,3948,302
11220,r031,All states and outlying areas -> New Hampshire,All states and outlying areas,New Hampshire,2,6234,0,0,0,4683,1501,50
11220,r032,All states and outlying areas -> New Jersey,All states and outlying areas,New Jersey,2,19664,0,0,0,9387,9756,521
11220,r033,All states and outlying areas -> New Mexico,All states and outlying areas,New Mexico,2,21507,0,0,0,14151,3914,3442
11220,r034,All states and outlying areas -> New York,All states and outlying areas,New York,2,130314,0,0,640,83304,44284,2085
11220,r035,All states and outlying areas -> North Carolina,All states and outlying areas,North Carolina,2,83643,298,0,0,60431,17020,5894
11220,r036,All states and outlying areas -> North Dakota,All states and outlying areas,North Dakota,2,6839,0,0,0,352,4852,1635
11220,r037,All states and outlying areas -> Ohio,All states and outlying areas,Ohio,2,44895,0,502,0,24693,13309,6392
11220,r038,All states and outlying areas -> Oklahoma,All states and outlying areas,Oklahoma,2,16892,0,0,0,9597,4036,3259
11220,r039,All states and outlying areas -> Oregon,All states and outlying areas,Oregon,2,22956,0,0,0,10043,11833,1079
11220,r040,All states and outlying areas -> Pennsylvania,All states and outlying areas,Pennsylvania,2,102731,0,0,0,64333,36020,2378
11220,r041,All states and outlying areas -> Rhode Island,All states and outlying areas,Rhode Island,2,9387,393,0,0,7765,731,497
11220,r042,All states and outlying areas -> South Carolina,All states and outlying areas,South Carolina,2,32251,0,0,0,14612,15316,2323
11220,r043,All states and outlying areas -> South Dakota,All states and outlying areas,South Dakota,2,10070,0,0,0,2460,5573,2037
11220,r044,All states and outlying areas -> Tennessee,All states and outlying areas,Tennessee,2,63478,0,0,0,46963,11167,5348
11220,r045,All states and outlying areas -> Texas,All states and outlying areas,Texas,2,125829,0,0,154,66084,52227,7364
11220,r046,All states and outlying areas -> Utah,All states and outlying areas,Utah,2,24348,0,0,0,20016,4195,137
11220,r047,All states and outlying areas -> Vermont,All states and outlying areas,Vermont,2,3310,0,0,0,1866,1112,332
11220,r048,All states and outlying areas -> Virginia,All states and outlying areas,Virginia,2,36564,0,116,0,18740,14808,2900
11220,r049,All states and outlying areas -> Washington,All states and outlying areas,Washington,2,61913,0,0,0,46950,11725,3238
11220,r050,All states and outlying areas -> West Virginia,All states and outlying areas,West Virginia,2,6047,0,0,0,1608,1552,2886
11220,r051,All states and outlying areas -> Wisconsin,All states and outlying areas,Wisconsin,2,46735,0,0,0,19666,24846,2224
11220,r052,All states and outlying areas -> Wyoming,All states and outlying areas,Wyoming,2,4993,0,0,0,4704,280,9
11220,r053,All states and outlying areas -> American Samoa,All states and outlying areas,American Samoa,2,300,0,0,0,0,0,300
11220,r054,All states and outlying areas -> Guam,All states and outlying areas,Guam,2,340,0,0,0,0,0,340
11220,r055,All states and outlying areas -> Puerto Rico,All states and outlying areas,Puerto Rico,2,11835,0,0,0,6872,2437,2526
11220,r056,All states and outlying areas -> Trust Territory of the Pacific Islands,All states and outlying areas,Trust Territory of the Pacific Islands,2,165,0,0,0,0,0,165
11220,r057,All states and outlying areas -> U.S. Virgin Islands,All states and outlying areas,U.S. Virgin Islands,2,939,0,0,0,0,939,0
