table_id,row_id,time_period,_b_graduate_students_b_level_1,_b_graduate_students_b_level_2,_b_graduate_students_b_hierarchy_depth,value
6051,r001,1975,Graduate students,All fields,2,328510
6051,r002,1975,Graduate students,Science,2,234649
6051,r003,1975,Graduate students,Engineering,2,68332
6051,r004,1975,Graduate students,Health,2,25529
6051,r005,1975,Postdoctoral appointees,All fields,2,na
6051,r006,1975,Postdoctoral appointees,Science,2,na
6051,r007,1975,Postdoctoral appointees,Engineering,2,na
6051,r008,1975,Postdoctoral appointees,Health,2,na
6051,r009,1975,Nonfaculty researchers,All fields,2,na
6051,r010,1975,Nonfaculty researchers,Science,2,na
6051,r011,1975,Nonfaculty researchers,Engineering,2,na
6051,r012,1975,Nonfaculty researchers,Health,2,na
6051,r013,1976,Graduate students,All fields,2,333716
6051,r014,1976,Graduate students,Science,2,238675
6051,r015,1976,Graduate students,Engineering,2,66723
6051,r016,1976,Graduate students,Health,2,28318
6051,r017,1976,Postdoctoral appointees,All fields,2,na
6051,r018,1976,Postdoctoral appointees,Science,2,na
6051,r019,1976,Postdoctoral appointees,Engineering,2,na
6051,r020,1976,Postdoctoral appointees,Health,2,na
6051,r021,1976,Nonfaculty researchers,All fields,2,na
6051,r022,1976,Nonfaculty researchers,Science,2,na
6051,r023,1976,Nonfaculty researchers,Engineering,2,na
6051,r024,1976,Nonfaculty researchers,Health,2,na
6051,r025,1977,Graduate students,All fields,2,345374
6051,r026,1977,Graduate students,Science,2,242932
6051,r027,1977,Graduate students,Engineering,2,68757
6051,r028,1977,Graduate students,Health,2,33685
6051,r029,1977,Postdoctoral appointees,All fields,2,na
6051,r030,1977,Postdoctoral appointees,Science,2,na
6051,r031,1977,Postdoctoral appointees,Engineering,2,na
6051,r032,1977,Postdoctoral appointees,Health,2,na
6051,r033,1977,Nonfaculty researchers,All fields,2,na
6051,r034,1977,Nonfaculty researchers,Science,2,na
6051,r035,1977,Nonfaculty researchers,Engineering,2,na
6051,r036,1977,Nonfaculty researchers,Health,2,na
6051,r037,1978<sup>a</sup>,Graduate students,All fields,2,339912
6051,r038,1978<sup>a</sup>,Graduate students,Science,2,236465
6051,r039,1978<sup>a</sup>,Graduate students,Engineering,2,67787
6051,r040,1978<sup>a</sup>,Graduate students,Health,2,35660
6051,r041,1978<sup>a</sup>,Postdoctoral appointees,All fields,2,na
6051,r042,1978<sup>a</sup>,Postdoctoral appointees,Science,2,na
6051,r043,1978<sup>a</sup>,Postdoctoral appointees,Engineering,2,na
6051,r044,1978<sup>a</sup>,Postdoctoral appointees,Health,2,na
6051,r045,1978<sup>a</sup>,Nonfaculty researchers,All fields,2,na
6051,r046,1978<sup>a</sup>,Nonfaculty researchers,Science,2,na
6051,r047,1978<sup>a</sup>,Nonfaculty researchers,Engineering,2,na
6051,r048,1978<sup>a</sup>,Nonfaculty researchers,Health,2,na
6051,r049,1979,Graduate students,All fields,2,357578
6051,r050,1979,Graduate students,Science,2,247235
6051,r051,1979,Graduate students,Engineering,2,71808
6051,r052,1979,Graduate students,Health,2,38535
6051,r053,1979,Postdoctoral appointees,All fields,2,18101
6051,r054,1979,Postdoctoral appointees,Science,2,12519
6051,r055,1979,Postdoctoral appointees,Engineering,2,1067
6051,r056,1979,Postdoctoral appointees,Health,2,4515
6051,r057,1979,Nonfaculty researchers,All fields,2,2687
6051,r058,1979,Nonfaculty researchers,Science,2,1915
6051,r059,1979,Nonfaculty researchers,Engineering,2,273
6051,r060,1979,Nonfaculty researchers,Health,2,499
6051,r061,1980,Graduate students,All fields,2,367078
6051,r062,1980,Graduate students,Science,2,251265
6051,r063,1980,Graduate students,Engineering,2,74335
6051,r064,1980,Graduate students,Health,2,41478
6051,r065,1980,Postdoctoral appointees,All fields,2,18399
6051,r066,1980,Postdoctoral appointees,Science,2,13042
6051,r067,1980,Postdoctoral appointees,Engineering,2,981
6051,r068,1980,Postdoctoral appointees,Health,2,4376
6051,r069,1980,Nonfaculty researchers,All fields,2,3260
6051,r070,1980,Nonfaculty researchers,Science,2,2184
6051,r071,1980,Nonfaculty researchers,Engineering,2,423
6051,r072,1980,Nonfaculty researchers,Health,2,653
