table_id,row_id,adult_characteristic_full_path,adult_characteristic_level_1,adult_characteristic_level_2,adult_characteristic_hierarchy_depth,field_7_12_may_2020_computer_or_digital_device_provided_by_children_s_school_or_school_district_to_use_outside_of_school,field_7_12_may_2020_computer_or_digital_device_provided_by_someone_in_household_or_family_or_it_is_the_child_s,field_7_12_may_2020_computer_or_digital_device_provided_by_another_source,field_7_12_may_2020_internet_services_paid_for_by_children_s_school_or_school_district,field_7_12_may_2020_internet_services_paid_for_by_someone_in_household_or_family,field_7_12_may_2020_internet_services_paid_for_by_another_source,field_16_28_september_2020_computer_or_digital_device_provided_by_children_s_school_or_school_district_to_use_outside_of_school,field_16_28_september_2020_computer_or_digital_device_provided_by_someone_in_household_or_family_or_it_is_the_child_s,field_16_28_september_2020_computer_or_digital_device_provided_by_another_source,field_16_28_september_2020_internet_services_paid_for_by_children_s_school_or_school_district,field_16_28_september_2020_internet_services_paid_for_by_someone_in_household_or_family,field_16_28_september_2020_internet_services_paid_for_by_another_source
4126,r001,Total,Total,,1,39,73,2,2,97,1,61,56,2,4,97,1
4126,r002,Race or ethnicity,Race or ethnicity,,1,,,,,,,,,,,,
4126,r003,Race or ethnicity -> White,Race or ethnicity,White,2,42,67,4,3,96,2,59,60,2,3,98,1
4126,r004,Race or ethnicity -> Black,Race or ethnicity,Black,2,37,76,1,1,98,1,64,48,3,8,93,2
4126,r005,Race or ethnicity -> Hispanic<sup>a</sup>,Race or ethnicity,Hispanic<sup>a</sup>,2,42,67,3,5,94,2,65,47,2,6,96,2
4126,r006,Race or ethnicity -> Asian,Race or ethnicity,Asian,2,34,79,1,1,98,1,52,69,2,4,98,1
4126,r007,Race or ethnicity -> Other or Two or more races,Race or ethnicity,Other or Two or more races,2,37,75,2,3,97,1,62,58,3,6,94,2
4126,r008,Education attainment,Education attainment,,1,,,,,,,,,,,,
4126,r009,Education attainment -> Less than high school,Education attainment,Less than high school,2,38,68,6,5,97,1,71,31,4,11,89,3
4126,r010,Education attainment -> High school,Education attainment,High school,2,43,66,2,3,95,2,62,49,2,4,96,1
4126,r011,Education attainment -> Some college or associate's degree,Education attainment,Some college or associate's degree,2,40,73,2,2,97,2,61,58,2,4,97,1
4126,r012,Education attainment -> Bachelor's or higher degree,Education attainment,Bachelor's or higher degree,2,32,82,1,1,99,1,56,67,1,3,99,1
4126,r013,Household income ,Household income ,,1,,,,,,,,,,,,
4126,r014,"Household income  -> Below $25,000",Household income ,"Below $25,000",2,44,60,6,6,90,4,68,38,5,9,90,4
4126,r015,"Household income  -> $25,000&#8722;$34,999",Household income ,"$25,000&#8722;$34,999",2,39,67,3,3,96,1,68,44,3,5,95,2
4126,r016,"Household income  -> $35,000&#8722;$49,999",Household income ,"$35,000&#8722;$49,999",2,49,66,2,2,98,2,66,48,2,5,97,1
4126,r017,"Household income  -> $50,000&#8722;$74,999",Household income ,"$50,000&#8722;$74,999",2,37,75,2,2,99,1,62,53,2,4,98,0
4126,r018,"Household income  -> $75,000&#8722;$99,999",Household income ,"$75,000&#8722;$99,999",2,43,74,1,1,99,0,59,60,2,5,97,0
4126,r019,"Household income  -> $100,000&#8722;$149,999",Household income ,"$100,000&#8722;$149,999",2,34,79,1,0,99,1,60,63,1,3,98,1
4126,r020,"Household income  -> $150,000&#8722;$199,999",Household income ,"$150,000&#8722;$199,999",2,31,81,0,1,100,0,53,69,0,3,99,1
4126,r021,"Household income  -> $200,000 and above",Household income ,"$200,000 and above",2,27,88,0,0,100,1,51,74,1,1,99,0
