table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees
12475,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['36,324', '&nbsp;']","['14,938', '&nbsp;']","['21,386', '&nbsp;']"
12475,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['3,934', '&nbsp;']","['1,371', '&nbsp;']","['2,562', '&nbsp;']"
12475,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['74', '&nbsp;']","['31', 'r']","['42', 'r']"
12475,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['43', 'r']","['13', 'r']","['30', 'r']"
12475,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12475,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['13', 'r']","['0', '&nbsp;']","['13', 'r']"
12475,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12475,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['2', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']"
12475,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['690', '&nbsp;']","['247', '&nbsp;']","['442', '&nbsp;']"
12475,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['438', '&nbsp;']","['157', '&nbsp;']","['281', '&nbsp;']"
12475,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['251', '&nbsp;']","['90', '&nbsp;']","['161', '&nbsp;']"
12475,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['138', '&nbsp;']","['57', '&nbsp;']","['81', '&nbsp;']"
12475,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['20', '&nbsp;']","['2', '&nbsp;']","['18', '&nbsp;']"
12475,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['16', '&nbsp;']","['7', '&nbsp;']","['9', '&nbsp;']"
12475,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['166', '&nbsp;']","['76', 'r']","['90', 'r']"
12475,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['284', '&nbsp;']","['121', '&nbsp;']","['163', '&nbsp;']"
12475,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['1,496', '&nbsp;']","['508', '&nbsp;']","['987', '&nbsp;']"
12475,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['348', '&nbsp;']","['131', '&nbsp;']","['217', '&nbsp;']"
12475,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['963', '&nbsp;']","['312', '&nbsp;']","['651', '&nbsp;']"
12475,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['185', '&nbsp;']","['65', '&nbsp;']","['120', '&nbsp;']"
12475,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['162', '&nbsp;']","['61', '&nbsp;']","['102', '&nbsp;']"
12475,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['271', '&nbsp;']","['53', '&nbsp;']","['218', '&nbsp;']"
12475,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['158', '&nbsp;']","['35', '&nbsp;']","['123', '&nbsp;']"
12475,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['113', '&nbsp;']","['18', 'r']","['95', 'r']"
12475,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['2', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']"
12475,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['557', '&nbsp;']","['193', '&nbsp;']","['364', '&nbsp;']"
12475,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['32,390', '&nbsp;']","['13,566', '&nbsp;']","['18,824', '&nbsp;']"
12475,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['1,686', '&nbsp;']","['615', '&nbsp;']","['1,071', '&nbsp;']"
12475,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['5,079', '&nbsp;']","['1,811', '&nbsp;']","['3,268', '&nbsp;']"
