table_id,row_id,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_tenured,field_not_tenured_on_tenure_track,field_not_tenured_not_on_tenure_track,field_tenure_not_applicable
1269,r001,All occupations,All occupations,,,,,,1,319400,142350,48950,45700,82350
1269,r002,All occupations -> Female,All occupations,Female,,,,,2,120650,44450,19650,20500,36050
1269,r003,All occupations -> Female -> Less than 10,All occupations,Female,Less than 10,,,,3,48650,4450,15350,9450,19450
1269,r004,All occupations -> Female -> 10&#8211;19,All occupations,Female,10&#8211;19,,,,3,37800,18450,3900,6300,9100
1269,r005,All occupations -> Female -> 20&#8211;29,All occupations,Female,20&#8211;29,,,,3,22050,13450,300,3200,5050
1269,r006,All occupations -> Female -> 30 or more,All occupations,Female,30 or more,,,,3,12200,8100,100,1600,2400
1269,r007,All occupations -> Male,All occupations,Male,,,,,2,198750,97900,29350,25200,46300
1269,r008,All occupations -> Male -> Less than 10,All occupations,Male,Less than 10,,,,3,58250,5800,21450,9350,21650
1269,r009,All occupations -> Male -> 10&#8211;19,All occupations,Male,10&#8211;19,,,,3,52700,29250,6700,6900,9800
1269,r010,All occupations -> Male -> 20&#8211;29,All occupations,Male,20&#8211;29,,,,3,42800,30350,800,4200,7500
1269,r011,All occupations -> Male -> 30 or more,All occupations,Male,30 or more,,,,3,45000,32450,400,4800,7350
1269,r012,All occupations -> S&E occupations<sup>a</sup>,All occupations,S&E occupations<sup>a</sup>,,,,,2,245250,112000,40300,32300,60650
1269,r013,All occupations -> S&E occupations<sup>a</sup> -> Female,All occupations,S&E occupations<sup>a</sup>,Female,,,,3,84750,31550,14850,13650,24700
1269,r014,All occupations -> S&E occupations<sup>a</sup> -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Female,Less than 10,,,4,36000,2900,11700,6500,14950
1269,r015,All occupations -> S&E occupations<sup>a</sup> -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Female,10&#8211;19,,,4,26300,13450,3000,4200,5650
1269,r016,All occupations -> S&E occupations<sup>a</sup> -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Female,20&#8211;29,,,4,14350,9550,200,1950,2700
1269,r017,All occupations -> S&E occupations<sup>a</sup> -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Female,30 or more,,,4,8100,5650,,1050,1400
1269,r018,All occupations -> S&E occupations<sup>a</sup> -> Male,All occupations,S&E occupations<sup>a</sup>,Male,,,,3,160500,80450,25450,18650,35950
1269,r019,All occupations -> S&E occupations<sup>a</sup> -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Male,Less than 10,,,4,49800,5000,19050,7150,18650
1269,r020,All occupations -> S&E occupations<sup>a</sup> -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Male,10&#8211;19,,,4,43000,25000,5500,5250,7250
1269,r021,All occupations -> S&E occupations<sup>a</sup> -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Male,20&#8211;29,,,4,32700,24600,600,2750,4800
1269,r022,All occupations -> S&E occupations<sup>a</sup> -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Male,30 or more,,,4,34950,25850,300,3550,5250
1269,r023,All occupations -> S&E occupations<sup>a</sup> -> Scientist,All occupations,S&E occupations<sup>a</sup>,Scientist,,,,3,214200,95650,34350,29450,54750
1269,r024,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Female,All occupations,S&E occupations<sup>a</sup>,Scientist,Female,,,4,79350,29200,13650,13050,23500
1269,r025,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Female,Less than 10,,5,33650,2700,10650,6200,14150
1269,r026,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Female,10&#8211;19,,5,24600,12350,2800,4000,5450
1269,r027,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Female,20&#8211;29,,5,13250,8750,200,1800,2500
1269,r028,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Female,30 or more,,5,7850,5400,,1000,1400
1269,r029,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Male,All occupations,S&E occupations<sup>a</sup>,Scientist,Male,,,4,134800,66450,20700,16400,31250
1269,r030,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Male,Less than 10,,5,41800,4200,15150,6300,16150
1269,r031,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Male,10&#8211;19,,5,36500,20800,4750,4550,6400
1269,r032,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Male,20&#8211;29,,5,26600,19400,500,2450,4250
1269,r033,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Male,30 or more,,5,29900,22050,300,3100,4450
1269,r034,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,,,4,73600,24150,10300,11850,27300
1269,r035,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Female,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Female,,5,28850,6850,3850,5650,12450
1269,r036,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Female,Less than 10,6,13850,350,2300,2550,8600
1269,r037,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Female,10&#8211;19,6,8300,2650,1500,1950,2150
1269,r038,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Female,20&#8211;29,6,4300,2300,50,750,1200
1269,r039,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Female,30 or more,6,2400,1550,,400,450
1269,r040,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Male,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Male,,5,44750,17300,6450,6200,14850
1269,r041,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Male,Less than 10,6,15350,700,3500,2200,9000
1269,r042,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Male,10&#8211;19,6,12750,4700,2650,2150,3250
1269,r043,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Male,20&#8211;29,6,7650,5150,200,1000,1300
1269,r044,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Male,30 or more,6,8950,6750,100,850,1300
1269,r045,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,,,4,11200,5050,1850,1400,2900
1269,r046,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Female,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Female,,5,2100,800,400,250,650
1269,r047,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Female,Less than 10,6,850,100,350,150,250
1269,r048,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Female,10&#8211;19,6,700,400,,,250
1269,r049,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Female,20&#8211;29,6,350,200,,100,50
1269,r050,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Female,30 or more,6,200,100,,,100
1269,r051,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Male,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Male,,5,9100,4250,1450,1150,2250
1269,r052,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Male,Less than 10,6,3350,500,1350,450,1050
1269,r053,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Male,10&#8211;19,6,2100,1500,100,200,250
