table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2021_actuala,field_2022_preliminaryb,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8444,r001,All functions conducting R&D,All functions conducting R&D,,1,42883,42590,48877,-0.7,14.8
8444,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,2698,2454,2595,-9.0,5.7
8444,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,21051,20951,24246,-0.5,15.7
8444,r004,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,5162,5490,6086,6.4,10.9
8444,r005,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,11423,11079,12912,-3.0,16.5
8444,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,19,50,69,163.2,38.0
8444,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,118,128,191,8.5,49.2
8444,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,1163,1176,1337,1.1,13.7
8444,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,16,16,16,0.0,0.0
8444,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,566,560,645,-1.1,15.2
8444,r011,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,260,260,334,0.0,28.5
8444,r012,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,340,336,359,-1.2,6.8
8444,r013,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,63,83,85,31.7,2.4
8444,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,4,7,2,75.0,-71.4
8444,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0,0,0,-,-
8444,r016,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0,0,0,-,-
8444,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0,0,0,-,-
