table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
5622,r001,All states,All states,,1,"['    12,541 ', '&nbsp;']","['    4,526,838 ', '&nbsp;']","['    7,545 ', '&nbsp;']","['    1,890,728 ', '&nbsp;']","['    4,997 ', '&nbsp;']","['    2,636,110 ', '&nbsp;']"
5622,r002,All states -> Alabama,All states,Alabama,2,"['    89 ', 'r']","['    27,715 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5622,r003,All states -> Alaska,All states,Alaska,2,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5622,r004,All states -> Arizona,All states,Arizona,2,"['    241 ', '&nbsp;']","['    83,639 ', '&nbsp;']","['    121 ', '&nbsp;']","['    20,760 ', '&nbsp;']","['    118 ', '&nbsp;']","['    62,879 ', '&nbsp;']"
5622,r005,All states -> Arkansas,All states,Arkansas,2,"['    62 ', '&nbsp;']","['    18,212 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5622,r006,All states -> California,All states,California,2,"['    3,405 ', '&nbsp;']","['    1,506,256 ', '&nbsp;']","['    1,853 ', '&nbsp;']","['    453,196 ', '&nbsp;']","['    1,551 ', '&nbsp;']","['    1,053,060 ', '&nbsp;']"
5622,r007,All states -> Colorado,All states,Colorado,2,"['    401 ', '&nbsp;']","['    106,763 ', '&nbsp;']","['    327 ', '&nbsp;']","['    64,383 ', '&nbsp;']","['    73 ', '&nbsp;']","['    42,380 ', '&nbsp;']"
5622,r008,All states -> Connecticut,All states,Connecticut,2,"['    119 ', '&nbsp;']","['    44,829 ', '&nbsp;']","['    73 ', '&nbsp;']","['    23,798 ', '&nbsp;']","['    45 ', '&nbsp;']","['    21,030 ', '&nbsp;']"
5622,r009,All states -> Delaware,All states,Delaware,2,"['    96 ', '&nbsp;']","['    48,667 ', '&nbsp;']","['    69 ', '&nbsp;']","['    24,376 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5622,r010,All states -> District of Columbia,All states,District of Columbia,2,"['    36 ', '&nbsp;']","['    8,648 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
