table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_1993_extremely_dangerous_or_very_dangerous,field_1993_somewhat_dangerous,field_1993_not_very_dangerous_or_not_dangerous,field_1993_don_t_know,field_1994_extremely_dangerous_or_very_dangerous,field_1994_somewhat_dangerous,field_1994_not_very_dangerous_or_not_dangerous,field_1994_don_t_know,field_2010_extremely_dangerous_or_very_dangerous,field_2010_somewhat_dangerous,field_2010_not_very_dangerous_or_not_dangerous,field_2010_don_t_know,field_2016_extremely_dangerous_or_very_dangerous,field_2016_somewhat_dangerous,field_2016_not_very_dangerous_or_not_dangerous,field_2016_don_t_know,field_2018_extremely_dangerous_or_very_dangerous,field_2018_somewhat_dangerous,field_2018_not_very_dangerous_or_not_dangerous,field_2018_don_t_know
2264,r001,"All adults (<i>n</i> = 1,557; 1,386; 1,430; 911; 785)","All adults (<i>n</i> = 1,557; 1,386; 1,430; 911; 785)",,1,40,34,16,9,41,35,15,9,45,30,19,7,55,30,13,2,56,32,10,2
2264,r002,Sex,Sex,,1,,,,,,,,,,,,,,,,,,,,
2264,r003,Sex -> Male (<i>n</i> = 663; 617; 607; 399; 340),Sex,Male (<i>n</i> = 663; 617; 607; 399; 340),2,33,35,24,8,33,35,24,8,35,32,28,4,43,33,22,1,50,35,14,1
2264,r004,Sex -> Female (<i>n</i> = 894; 769; 823; 512; 445),Sex,Female (<i>n</i> = 894; 769; 823; 512; 445),2,46,34,9,10,48,35,8,10,52,28,11,9,65,27,6,2,61,29,7,3
2264,r005,Formal education<sup>a</sup>,Formal education<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,
2264,r006,Formal education<sup>a</sup> -> Less than high school diploma (<i>n</i> = 283; 225; 220; 112; 86),Formal education<sup>a</sup>,Less than high school diploma (<i>n</i> = 283; 225; 220; 112; 86),2,48,29,8,15,45,28,11,16,53,20,10,16,67,23,8,2,57,26,8,8
2264,r007,Formal education<sup>a</sup> -> High school diploma (<i>n</i> = 496; 466; 412; 260; 253),Formal education<sup>a</sup>,High school diploma (<i>n</i> = 496; 466; 412; 260; 253),2,44,32,15,9,43,37,11,9,54,27,13,6,54,31,13,2,65,29,4,1
2264,r008,Formal education<sup>a</sup> -> Some college (<i>n</i> = 410; 346; 390; 258; 211),Formal education<sup>a</sup>,Some college (<i>n</i> = 410; 346; 390; 258; 211),2,41,35,16,8,38,37,16,9,43,35,17,6,58,28,13,0.05,64,28,7,1
2264,r009,Formal education<sup>a</sup> -> Bachelor's degree (<i>n</i> = 249; 242; 266; 175; 157),Formal education<sup>a</sup>,Bachelor's degree (<i>n</i> = 249; 242; 266; 175; 157),2,31,40,22,8,37,35,23,5,37,28,33,2,47,34,16,3,38,41,19,2
2264,r010,Formal education<sup>a</sup> -> Graduate or professional degree (<i>n</i> = 114; 102; 89; 104; 78),Formal education<sup>a</sup>,Graduate or professional degree (<i>n</i> = 114; 102; 89; 104; 78),2,25,45,28,2,40,33,25,2,22,43,31,4,53,34,13,0,40,39,18,3
