table_id,row_id,time_period,_millions_level_1,_millions_level_2,_millions_hierarchy_depth,value
10450,r001,R&D obligations -> 1955,$millions,Total,2,2533
10450,r002,R&D obligations -> 1955,$millions,National defense,2,2151
10450,r003,R&D obligations -> 1955,$millions,Civilian functions,2,382
10450,r004,R&D obligations -> 1955,% distribution,Total,2,100.0
10450,r005,R&D obligations -> 1955,% distribution,National defense,2,84.9
10450,r006,R&D obligations -> 1955,% distribution,Civilian functions,2,15.1
10450,r007,R&D obligations -> 1956,$millions,Total,2,2988
10450,r008,R&D obligations -> 1956,$millions,National defense,2,2535
10450,r009,R&D obligations -> 1956,$millions,Civilian functions,2,453
10450,r010,R&D obligations -> 1956,% distribution,Total,2,100.0
10450,r011,R&D obligations -> 1956,% distribution,National defense,2,84.8
10450,r012,R&D obligations -> 1956,% distribution,Civilian functions,2,15.2
10450,r013,R&D obligations -> 1957,$millions,Total,2,3932
10450,r014,R&D obligations -> 1957,$millions,National defense,2,3327
10450,r015,R&D obligations -> 1957,$millions,Civilian functions,2,605
10450,r016,R&D obligations -> 1957,% distribution,Total,2,100.0
10450,r017,R&D obligations -> 1957,% distribution,National defense,2,84.6
10450,r018,R&D obligations -> 1957,% distribution,Civilian functions,2,15.4
10450,r019,R&D obligations -> 1958,$millions,Total,2,4570
10450,r020,R&D obligations -> 1958,$millions,National defense,2,3801
10450,r021,R&D obligations -> 1958,$millions,Civilian functions,2,769
10450,r022,R&D obligations -> 1958,% distribution,Total,2,100.0
10450,r023,R&D obligations -> 1958,% distribution,National defense,2,83.2
10450,r024,R&D obligations -> 1958,% distribution,Civilian functions,2,16.8
10450,r025,R&D obligations -> 1959,$millions,Total,2,6694
10450,r026,R&D obligations -> 1959,$millions,National defense,2,5556
10450,r027,R&D obligations -> 1959,$millions,Civilian functions,2,1138
10450,r028,R&D obligations -> 1959,% distribution,Total,2,100.0
10450,r029,R&D obligations -> 1959,% distribution,National defense,2,83.0
10450,r030,R&D obligations -> 1959,% distribution,Civilian functions,2,17.0
10450,r031,R&D obligations -> 1960,$millions,Total,2,7552
10450,r032,R&D obligations -> 1960,$millions,National defense,2,6107
10450,r033,R&D obligations -> 1960,$millions,Civilian functions,2,1445
10450,r034,R&D obligations -> 1960,% distribution,Total,2,100.0
10450,r035,R&D obligations -> 1960,% distribution,National defense,2,80.9
10450,r036,R&D obligations -> 1960,% distribution,Civilian functions,2,19.1
10450,r037,R&D obligations -> 1961,$millions,Total,2,9059
10450,r038,R&D obligations -> 1961,$millions,National defense,2,7005
10450,r039,R&D obligations -> 1961,$millions,Civilian functions,2,2054
10450,r040,R&D obligations -> 1961,% distribution,Total,2,100.0
10450,r041,R&D obligations -> 1961,% distribution,National defense,2,77.3
10450,r042,R&D obligations -> 1961,% distribution,Civilian functions,2,22.7
10450,r043,R&D obligations -> 1962,$millions,Total,2,10290
10450,r044,R&D obligations -> 1962,$millions,National defense,2,7238
10450,r045,R&D obligations -> 1962,$millions,Civilian functions,2,3052
10450,r046,R&D obligations -> 1962,% distribution,Total,2,100.0
