table_id,row_id,_b_capitalization_thresholds_b_full_path,_b_capitalization_thresholds_b_level_1,_b_capitalization_thresholds_b_level_2,_b_capitalization_thresholds_b_hierarchy_depth,field_all_institutions,field_highest_degree_granted_doctorate,field_highest_degree_granted_nondoctorate,field_institutional_control_public,field_institutional_control_private
5368,r001,Equipment,Equipment,,1,,,,,
5368,r002,Equipment -> Do not capitalize,Equipment,Do not capitalize,2,9,4,5,4,5
5368,r003,Equipment -> 500,Equipment,500,2,2,2,0,0,2
5368,r004,"Equipment -> 1,000",Equipment,"1,000",2,13,8,5,3,10
5368,r005,"Equipment -> 1,500",Equipment,"1,500",2,2,1,1,0,2
5368,r006,"Equipment -> 2,000",Equipment,"2,000",2,11,4,7,1,10
5368,r007,"Equipment -> 2,500",Equipment,"2,500",2,9,6,3,1,8
5368,r008,"Equipment -> 3,000",Equipment,"3,000",2,16,14,2,2,14
5368,r009,"Equipment -> 3,500",Equipment,"3,500",2,1,1,0,1,0
5368,r010,"Equipment -> 5,000",Equipment,"5,000",2,531,404,127,378,153
5368,r011,"Equipment -> 10,000",Equipment,"10,000",2,15,10,5,3,12
5368,r012,"Equipment -> 15,000",Equipment,"15,000",2,1,0,1,0,1
5368,r013,"Equipment -> 25,000",Equipment,"25,000",2,6,1,5,0,6
5368,r014,"Equipment -> 50,000",Equipment,"50,000",2,1,1,0,0,1
5368,r015,"Equipment -> 100,000",Equipment,"100,000",2,1,0,1,1,0
5368,r016,"Equipment -> 250,000",Equipment,"250,000",2,4,2,2,4,0
5368,r017,"Equipment -> 1,000,000",Equipment,"1,000,000",2,1,0,1,1,0
5368,r018,Software,Software,,1,,,,,
5368,r019,Software -> Do not capitalize,Software,Do not capitalize,2,100,65,35,58,42
5368,r020,Software -> 500,Software,500,2,2,1,1,0,2
5368,r021,"Software -> 1,000",Software,"1,000",2,11,6,5,4,7
5368,r022,"Software -> 1,500",Software,"1,500",2,2,1,1,0,2
5368,r023,"Software -> 2,000",Software,"2,000",2,6,3,3,0,6
5368,r024,"Software -> 2,500",Software,"2,500",2,5,4,1,0,5
5368,r025,"Software -> 3,000",Software,"3,000",2,13,10,3,4,9
5368,r026,"Software -> 5,000",Software,"5,000",2,273,195,78,166,107
5368,r027,"Software -> 10,000",Software,"10,000",2,19,11,8,6,13
5368,r028,"Software -> 15,000",Software,"15,000",2,1,0,1,0,1
5368,r029,"Software -> 20,000",Software,"20,000",2,1,0,1,0,1
5368,r030,"Software -> 25,000",Software,"25,000",2,11,7,4,3,8
5368,r031,"Software -> 50,000",Software,"50,000",2,11,11,0,6,5
5368,r032,"Software -> 75,000",Software,"75,000",2,2,2,0,1,1
5368,r033,"Software -> 100,000",Software,"100,000",2,96,81,15,90,6
5368,r034,"Software -> 140,000",Software,"140,000",2,1,1,0,1,0
5368,r035,"Software -> 200,000",Software,"200,000",2,3,3,0,3,0
5368,r036,"Software -> 250,000",Software,"250,000",2,17,15,2,14,3
5368,r037,"Software -> 300,000",Software,"300,000",2,1,1,0,0,1
5368,r038,"Software -> 400,000",Software,"400,000",2,3,3,0,3,0
5368,r039,"Software -> 500,000",Software,"500,000",2,18,17,1,16,2
5368,r040,"Software -> 1,000,000",Software,"1,000,000",2,22,16,6,21,1
5368,r041,"Software -> 4,000,000",Software,"4,000,000",2,2,2,0,2,0
5368,r042,"Software -> 5,000,000",Software,"5,000,000",2,1,1,0,1,0
