table_id,row_id,activity,2018,2019,2020a
6031,r001,Units at start of data collection,18745,19592,20249
6031,r002,Units added,5512,4493,6328
6031,r003,Units deleted,4665,3836,5421
6031,r004,Units at end of data collection,19592,20249,21156
6031,r005,Net difference,847,657,907
