table_id,row_id,institution,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
10576,r001,Administrative Office of the U.S. Courts,na,na,na,na,1,na,2,13,4,4,3
10576,r002,Agency for International Development,na,na,na,na,1,1,3,1,1,7,9
10576,r003,Appalachian Regional Commission,na,na,na,na,na,na,na,na,na,na,1
10576,r004,Department of Agriculture,na,na,na,na,4,4,3,38,15,20,20
10576,r005,Department of Commerce,4,6,4,14,17,58,63,110,156,181,210
10576,r006,Department of Defense,na,na,2,1,8,16,50,42,56,58,88
10576,r007,Department of Education,na,na,na,na,1,na,na,2,2,na,na
10576,r008,Department of Energy,42,51,98,157,418,914,1267,1608,2000,2281,2362
10576,r009,Department of Health and Human Services,na,2,4,16,27,42,67,92,187,197,229
10576,r010,Department of Homeland Security,na,na,na,na,na,1,1,6,18,23,17
10576,r011,Department of Justice,na,na,na,na,na,na,1,na,na,na,2
10576,r012,Department of Labor,na,na,na, na ,2,na,4,na,11,3,4
10576,r013,Department of State,na,na,na,na,na,7,4,na,na,1,na
10576,r014,Department of the Interior,na,na,1,1,17,47,50,55,99,149,118
10576,r015,Department of the Treasury,na,na,na,na,na,1,na,na,na,1,2
10576,r016,Department of Transportation,na,na,na,1,1,4,5,3,10,10,11
10576,r017,Department of Veterans Affairs,na,na,na,16,1,13,5,16,12,8,5
10576,r018,Environmental Protection Agency,na,na,na,na,3,3,3,12,10,12,17
10576,r019,Federal Communications Commission,na,na,na,1,3,na,na,na,na,1,na
10576,r020,General Services Administration,na,na,na,na,na,27,54,82,61,53,42
10576,r021,Library of Congress,na,na,1,1,1,4,1,4,3,6,1
10576,r022,National Aeronautics and Space Administration,4,3,8,12,40,90,135,134,196,221,263
10576,r023,Office of Personnel Management,na,na,na,na,na,na,na,1,na,na,na
10576,r024,Office of Science and Technology Policy,na,na,na,na,na,na,na,1,na,na,na
10576,r025,Small Business Administration,na,na,na,na,na,na,na,1,1,7,4
10576,r026,Smithsonian Institution,na,na,na,na,4,24,11,6,11,23,28
10576,r027,Microsoft,2,7,31,270,173,520,1722,3138,5842,6817,6845
10576,r028,RedHat,123,161,225,410,913,1325,1955,2673,4678,7422,5005
10576,r029,"University of California, Berkeley",9,15,27,55,211,405,676,951,1531,1651,1630
