table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_all_graduate_students_total_number,field_all_graduate_students_total_percent,field_all_graduate_students_full_time_all_full_time_number,field_all_graduate_students_full_time_all_full_time_percent,field_all_graduate_students_full_time_first_time_full_time_number,field_all_graduate_students_full_time_first_time_full_time_percent,field_all_graduate_students_part_time_number,field_all_graduate_students_part_time_percent,field_master_s_students_total_number,field_master_s_students_total_percent,field_master_s_students_full_time_all_full_time_number,field_master_s_students_full_time_all_full_time_percent,field_master_s_students_full_time_first_time_full_time_number,field_master_s_students_full_time_first_time_full_time_percent,field_master_s_students_part_time_number,field_master_s_students_part_time_percent,field_doctoral_students_total_number,field_doctoral_students_total_percent,field_doctoral_students_full_time_all_full_time_number,field_doctoral_students_full_time_all_full_time_percent,field_doctoral_students_full_time_first_time_full_time_number,field_doctoral_students_full_time_first_time_full_time_percent,field_doctoral_students_part_time_number,field_doctoral_students_part_time_percent
3520,r001,All detailed fields,All detailed fields,,,,1,690117,100.0,502442,100.0,163032,100.0,187675,100.0,408228,100.0,254532,100.0,116507,100.0,153696,100.0,281889,100.0,247910,100.0,46525,100.0,33979,100.0
3520,r002,All detailed fields -> Science,All detailed fields,Science,,,2,453691,65.7,331673,66.0,105525,64.7,122018,65.0,259795,63.6,158704,62.4,72625,62.3,101091,65.8,193896,68.8,172969,69.8,32900,70.7,20927,61.6
3520,r003,All detailed fields -> Science -> Agricultural sciences,All detailed fields,Science,Agricultural sciences,,3,9518,1.4,6749,1.3,1699,1.0,2769,1.5,5629,1.4,3504,1.4,1230,1.1,2125,1.4,3889,1.4,3245,1.3,469,1.0,644,1.9
3520,r004,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,91993,13.3,76233,15.2,23071,14.2,15760,8.4,38078,9.3,25757,10.1,13522,11.6,12321,8.0,53915,19.1,50476,20.4,9549,20.5,3439,10.1
3520,r005,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5342,0.8,4797,1.0,1061,0.7,545,0.3,808,0.2,554,0.2,310,0.3,254,0.2,4534,1.6,4243,1.7,751,1.6,291,0.9
3520,r006,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15801,2.3,11264,2.2,3143,1.9,4537,2.4,8635,2.1,4723,1.9,1995,1.7,3912,2.5,7166,2.5,6541,2.6,1148,2.5,625,1.8
3520,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,9820,1.4,8876,1.8,4385,2.7,944,0.5,5241,1.3,4559,1.8,3187,2.7,682,0.4,4579,1.6,4317,1.7,1198,2.6,262,0.8
3520,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,897,0.1,881,0.2,159,0.1,16,0.05,7,0.05,3,0.05,0,0.0,4,0.05,890,0.3,878,0.4,159,0.3,12,0.05
3520,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,6228,0.9,5200,1.0,1780,1.1,1028,0.5,3036,0.7,2281,0.9,1193,1.0,755,0.5,3192,1.1,2919,1.2,587,1.3,273,0.8
3520,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3255,0.5,1421,0.3,684,0.4,1834,1.0,3157,0.8,1332,0.5,673,0.6,1825,1.2,98,0.05,89,0.05,11,0.05,9,0.05
