table_id,row_id,_b_type_of_r_d_b_full_path,_b_type_of_r_d_b_level_1,_b_type_of_r_d_b_level_2,_b_type_of_r_d_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
5360,r001,All types of R&D,All types of R&D,,1,86296178,120807,0.1,46143829,64135,0.1
5360,r002,All types of R&D -> Basic research,All types of R&D,Basic research,2,54132952,9818485,18.1,29311388,6310513,21.5
5360,r003,All types of R&D -> Applied research,All types of R&D,Applied research,2,24118269,4160213,17.2,13074455,2604537,19.9
5360,r004,All types of R&D -> Experimental development,All types of R&D,Experimental development,2,8044957,1175433,14.6,3757986,655502,17.4
