table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total,field_s_e_fields_total,field_s_e_fields_biological_agricultural_and_environmental_life_sciences,field_s_e_fields_computer_and_mathematical_sciences,field_s_e_fields_physical_and_related_sciences,field_s_e_fields_social_and_related_sciences,field_s_e_fields_engineering,field_s_e_related_fields,field_non_s_e_fields
7769,r001,All college graduates,All college graduates,,,,1,51764000,16408000,2570000,3147000,906000,5774000,4011000,7822000,27535000
7769,r002,All college graduates -> S&E occupations,All college graduates,S&E occupations,,,2,7894000,6059000,768000,1795000,461000,758000,2277000,439000,1396000
7769,r003,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",,3,794000,651000,537000,7000,54000,22000,31000,99000,44000
7769,r004,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,4,74000,71000,62000,,6000,1000,1000,1000,2000
7769,r005,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,4,572000,457000,361000,6000,44000,16000,30000,90000,25000
7769,r006,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,4,45000,32000,29000,,S,1000,,,S
7769,r007,"All college graduates -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All college graduates,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,4,103000,91000,85000,,3000,3000,S,7000,4000
7769,r008,All college graduates -> S&E occupations -> Computer and mathematical scientists,All college graduates,S&E occupations,Computer and mathematical scientists,,3,4031000,2848000,103000,1724000,91000,239000,692000,189000,995000
7769,r009,All college graduates -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All college graduates,S&E occupations,Computer and mathematical scientists,Computer and information scientists,4,3627000,2585000,83000,1572000,78000,191000,661000,165000,877000
7769,r010,All college graduates -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All college graduates,S&E occupations,Computer and mathematical scientists,Mathematical scientists,4,293000,173000,18000,75000,10000,46000,23000,16000,104000
7769,r011,All college graduates -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All college graduates,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,4,111000,91000,2000,77000,S,2000,8000,8000,13000
