table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_hierarchy_depth,field_total_r_d,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments,field_extramural_non_u_s_performers
10348,r001,All agencies,All agencies,,1,190151,71665,14791,50225,39766,11985,966,753
10348,r002,All agencies -> Department of Commerce,All agencies,Department of Commerce,2,1813,1310,21,59,398,21,3,1
10348,r003,All agencies -> Department of Defense,All agencies,Department of Defense,2,70707,24434,3502,36306,4626,1531,12,296
10348,r004,All agencies -> Department of Education,All agencies,Department of Education,2,364,0,0,31,182,105,45,0
10348,r005,All agencies -> Department of Energy,All agencies,Department of Energy,2,13453,965,7905,2724,1599,195,63,2
10348,r006,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,2,76651,38207,729,4949,24559,7326,570,311
10348,r007,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,2,529,182,71,221,36,8,3,7
10348,r008,All agencies -> Department of Transportation,All agencies,Department of Transportation,2,1108,177,87,412,162,55,212,3
10348,r009,All agencies -> Department of the Treasury,All agencies,Department of the Treasury,2,54,3,9,26,* ,0,0,17
10348,r010,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,2,1698,1609,89,0,0,0,0,0
10348,r011,All agencies -> Administrative Office of the U.S. Courts,All agencies,Administrative Office of the U.S. Courts,2,4,0,4,0,0,0,0,0
10348,r012,All agencies -> National Aeronautics and Space Administration,All agencies,National Aeronautics and Space Administration,2,11753,1749,2051,4654,1396,1837,3,62
10348,r013,All agencies -> National Science Foundation,All agencies,National Science Foundation,2,6705,8,298,510,5536,313,20,20
10348,r014,All agencies -> Nuclear Regulatory Commission,All agencies,Nuclear Regulatory Commission,2,80,36,24,7,10,1,0,2
10348,r015,All agencies -> All other departments and agencies,All agencies,All other departments and agencies,2,5232,2985,1,326,1262,593,35,32
