table_id,row_id,_b_source_of_support_and_citizenship_b_full_path,_b_source_of_support_and_citizenship_b_level_1,_b_source_of_support_and_citizenship_b_level_2,_b_source_of_support_and_citizenship_b_level_3,_b_source_of_support_and_citizenship_b_hierarchy_depth,field_total,field_university_administered,field_nonprofit_administered,field_industry_administered
11636,r001,All postdocs,All postdocs,,,1,3629,1428,1059,1142
11636,r002,All postdocs -> Federal support,All postdocs,Federal support,,2,3227,1326,794,1107
11636,r003,All postdocs -> Federal support -> U.S. citizens and permanent residents,All postdocs,Federal support,U.S. citizens and permanent residents,3,1436,478,310,648
11636,r004,All postdocs -> Federal support -> Temporary visa holders,All postdocs,Federal support,Temporary visa holders,3,1791,848,484,459
11636,r005,All postdocs -> Nonfederal support,All postdocs,Nonfederal support,,2,402,102,265,35
11636,r006,All postdocs -> Nonfederal support -> U.S. citizens and permanent residents,All postdocs,Nonfederal support,U.S. citizens and permanent residents,3,183,34,130,19
11636,r007,All postdocs -> Nonfederal support -> Temporary visa holders,All postdocs,Nonfederal support,Temporary visa holders,3,219,68,135,16
11636,r008,All postdocs -> Unknown support,All postdocs,Unknown support,,2,0,0,0,0
