table_id,row_id,country_and_field_full_path,country_and_field_level_1,country_and_field_level_2,country_and_field_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
2807,r001,China<sup>a</sup>,China<sup>a</sup>,,1,3744,3988,4222,4796,4982,5374,5527,5553,6176,6305
2807,r002,China<sup>a</sup> -> Science and engineering,China<sup>a</sup>,Science and engineering,2,3457,3652,3906,4443,4650,4970,5141,5147,5683,5742
2807,r003,China<sup>a</sup> -> Non-science and engineering,China<sup>a</sup>,Non-science and engineering,2,287,336,316,353,332,404,386,406,493,563
2807,r004,India ,India ,,1,2142,2165,2248,2204,2316,2229,2195,1969,2038,2050
2807,r005,India  -> Science and engineering,India ,Science and engineering,2,1994,2036,2142,2074,2208,2119,2085,1883,1917,1905
2807,r006,India  -> Non-science and engineering,India ,Non-science and engineering,2,148,129,106,130,108,110,110,86,121,145
2807,r007,South Korea ,South Korea ,,1,1381,1445,1472,1383,1284,1234,1229,1127,1035,1164
2807,r008,South Korea  -> Science and engineering,South Korea ,Science and engineering,2,1076,1085,1132,1012,928,920,891,814,725,822
2807,r009,South Korea  -> Non-science and engineering,South Korea ,Non-science and engineering,2,305,360,340,371,356,314,338,313,310,342
2807,r010,Taiwan ,Taiwan ,,1,650,693,719,699,668,614,592,520,513,491
2807,r011,Taiwan  -> Science and engineering,Taiwan ,Science and engineering,2,501,570,581,571,558,514,499,435,444,425
2807,r012,Taiwan  -> Non-science and engineering,Taiwan ,Non-science and engineering,2,149,123,138,128,110,100,93,85,69,66
2807,r013,Iran ,Iran ,,1,147,198,287,409,483,629,695,767,932,959
2807,r014,Iran  -> Science and engineering,Iran ,Science and engineering,2,,193,278,380,463,608,664,728,866,877
2807,r015,Iran  -> Non-science and engineering,Iran ,Non-science and engineering,2,,5,9,29,20,21,31,39,66,82
2807,r016,Turkey ,Turkey ,,1,477,493,439,478,426,469,472,496,451,405
2807,r017,Turkey  -> Science and engineering,Turkey ,Science and engineering,2,405,422,352,391,360,386,380,392,361,323
2807,r018,Turkey  -> Non-science and engineering,Turkey ,Non-science and engineering,2,72,71,87,87,66,83,92,104,90,82
2807,r019,Canada ,Canada ,,1,469,455,423,485,488,454,408,408,424,422
2807,r020,Canada  -> Science and engineering,Canada ,Science and engineering,2,339,307,299,332,321,318,272,288,301,309
2807,r021,Canada  -> Non-science and engineering,Canada ,Non-science and engineering,2,130,148,124,153,167,136,136,120,123,113
2807,r022,Thailand ,Thailand ,,1,222,266,260,264,231,220,185,171,177,159
2807,r023,Thailand  -> Science and engineering,Thailand ,Science and engineering,2,182,235,240,227,200,193,168,153,155,139
2807,r024,Thailand  -> Non-science and engineering,Thailand ,Non-science and engineering,2,40,31,20,37,31,27,17,18,22,20
2807,r025,Saudi Arabia ,Saudi Arabia ,,1,40,49,57,73,105,134,238,339,403,553
2807,r026,Saudi Arabia  -> Science and engineering,Saudi Arabia ,Science and engineering,2,26,34,41,53,76,98,175,232,294,431
2807,r027,Saudi Arabia  -> Non-science and engineering,Saudi Arabia ,Non-science and engineering,2,14,15,16,20,29,36,63,107,109,122
2807,r028,Mexico ,Mexico ,,1,201,185,213,177,193,194,221,180,185,188
2807,r029,Mexico  -> Science and engineering,Mexico ,Science and engineering,2,169,159,185,146,161,155,191,145,156,163
2807,r030,Mexico  -> Non-science and engineering,Mexico ,Non-science and engineering,2,32,26,28,31,32,39,30,35,29,25
