table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_patenting_companies,field_patents_pending,field_patents_owned
2658,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['    3,500,973 ', '&nbsp;']","['    40,550 ', '&nbsp;']","['    54,491 ', '&nbsp;']","['    126,077 ', '&nbsp;']"
2658,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['    139,012 ', '&nbsp;']","['    8,169 ', '&nbsp;']","['    8,879 ', '&nbsp;']","['    22,989 ', '&nbsp;']"
2658,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['    11,753 ', '&nbsp;']","['    241 ', '&nbsp;']","['    366 ', 'r']","['    455 ', '&nbsp;']"
2658,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['    4,655 ', '&nbsp;']","['    97 ', '&nbsp;']","['    112 ', '&nbsp;']","['    316 ', '&nbsp;']"
2658,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['    7,452 ', '&nbsp;']","['    296 ', '&nbsp;']","['    226 ', '&nbsp;']","['    714 ', '&nbsp;']"
2658,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['    6,263 ', '&nbsp;']","['    108 ', '&nbsp;']","['    47 ', '&nbsp;']","['    127 ', '&nbsp;']"
2658,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['    862 ', '&nbsp;']","['    52 ', '&nbsp;']","['    19 ', 'r']","['    85 ', '&nbsp;']"
2658,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['    16,565 ', '&nbsp;']","['    63 ', '&nbsp;']","['    35 ', 'r']","['    36 ', 'r']"
2658,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['    336 ', '&nbsp;']","['    20 ', '&nbsp;']","['    65 ', 'r']","['    71 ', 'r']"
2658,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['    4,513 ', '&nbsp;']","['    642 ', '&nbsp;']","['    842 ', '&nbsp;']","['    2,605 ', '&nbsp;']"
2658,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['    343 ', '&nbsp;']","['    66 ', '&nbsp;']","['    61 ', '&nbsp;']","['    154 ', '&nbsp;']"
2658,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['    818 ', '&nbsp;']","['    186 ', '&nbsp;']","['    410 ', '&nbsp;']","['    613 ', '&nbsp;']"
2658,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['    997 ', '&nbsp;']","['    117 ', '&nbsp;']","['    108 ', '&nbsp;']","['    523 ', '&nbsp;']"
2658,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['    2,355 ', '&nbsp;']","['    273 ', '&nbsp;']","['    263 ', '&nbsp;']","['    1,315 ', '&nbsp;']"
2658,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['    4,249 ', '&nbsp;']","['    401 ', '&nbsp;']","['    303 ', '&nbsp;']","['    875 ', '&nbsp;']"
2658,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['    4,519 ', '&nbsp;']","['    145 ', '&nbsp;']","['    90 ', '&nbsp;']","['    243 ', '&nbsp;']"
2658,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['    1,187 ', '&nbsp;']","['    113 ', '&nbsp;']","['    63 ', '&nbsp;']","['    745 ', 'r']"
2658,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['    27,953 ', '&nbsp;']","['    1,283 ', '&nbsp;']","['    678 ', '&nbsp;']","['    2,778 ', '&nbsp;']"
2658,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['    10,529 ', '&nbsp;']","['    1,399 ', '&nbsp;']","['    1,286 ', '&nbsp;']","['    3,729 ', '&nbsp;']"
