table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others,field_research_basic_and_applied_total,field_research_basic_and_applied_paid_for_by_the_company,field_research_basic_and_applied_paid_for_by_others,field_development_total,field_development_paid_for_by_the_company,field_development_paid_for_by_others
8815,r001,Total domestic R&D performance,Total domestic R&D performance,,,,1,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8815,r002,All industries,All industries,,,,1,"21–23, 31–33, 42–81","['401,052', '  ']","['360,199', '  ']","['40,853', '  ']","['70,378', '  ']","['59,636', '  ']","['10,742', '  ']","['330,674', '  ']","['300,563', '  ']","['30,111', 'i ']"
8815,r003,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,2,31–33,"['229,008', '  ']","['203,609', '  ']","['25,400', '  ']","['47,693', '  ']","['41,898', '  ']","['5,796', '  ']","['181,315', '  ']","['161,711', '  ']","['19,604', '  ']"
8815,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,3,325,"['65,168', '  ']","['62,192', '  ']","['2,976', '  ']","['22,501', '  ']","['20,901', '  ']","['1,600', '  ']","['42,667', '  ']","['41,291', '  ']","['1,376', '  ']"
8815,r005,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['59,065', '  ']","['56,420', '  ']","['2,644', '  ']","['20,422', '  ']","['19,124', '  ']","['1,298', '  ']","['38,643', '  ']","['37,297', '  ']","['1,346', '  ']"
8815,r006,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,4,other 325,"['6,104', '  ']","['5,772', '  ']","['332', '  ']","['2,079', '  ']","['1,777', '  ']","['302', '  ']","['4,024', '  ']","['3,994', '  ']","['30', '  ']"
8815,r007,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,3,334,"['91,026', '  ']","['82,355', '  ']","['8,671', 'i ']","['12,321', '  ']","['9,985', '  ']","['2,336', 'i ']","['78,705', '  ']","['72,371', '  ']","['6,335', 'i ']"
8815,r008,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['40,215', '  ']","['39,280', '  ']","['935', '  ']","['4,195', 'i ']","['3,441', 'i ']","['754', '  ']","['36,020', 'i ']","['35,839', 'i ']","['181', '  ']"
8815,r009,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['50,811', '  ']","['43,075', '  ']","['7,736', 'i ']","['8,126', '  ']","['6,544', '  ']","['1,582', 'i ']","['42,685', '  ']","['36,531', '  ']","['6,154', 'i ']"
8815,r010,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,2,"21–23, 42–81","['172,044', '  ']","['156,590', '  ']","['15,453', 'i ']","['22,684', '  ']","['17,738', '  ']","['4,946', '  ']","['149,359', '  ']","['138,852', '  ']","['10,507', 'i ']"
8815,r011,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,3,51,"['113,256', '  ']","['112,811', '  ']","['445', '  ']","['8,400', '  ']","['8,268', '  ']","['132', '  ']","['104,856', '  ']","['104,543', '  ']","['313', '  ']"
8815,r012,All industries -> Nonmanufacturing industries -> Information -> Software publishers,All industries,Nonmanufacturing industries,Information,Software publishers,4,5112,"['31,098', '  ']","['30,681', '  ']","['417', '  ']","['2,362 - 2,378', '  ']","['2,260', '  ']","['103 - 117', '  ']","['28,720 - 28,735', '  ']","['28,421', '  ']","['299 - 314', '  ']"
8815,r013,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,4,other 51,"['82,158', '  ']","['82,130', '  ']","['29', '  ']","['6,022 - 6,037', '  ']","['6,008', '  ']","['14 - 29', '  ']","['76,121 - 76,137', '  ']","['76,122', '  ']","['0 - 14', '  ']"
8815,r014,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,3,54,"['27,190', '  ']","['12,257', '  ']","['14,933', 'i ']","['7,693', '  ']","['2,882 - 2,922', '  ']","['4,772 - 4,811', '  ']","['19,497', 'i ']","['9,335 - 9,376', '  ']","['10,122 - 10,162', 'i ']"
8815,r015,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,4,5417,"['14,611', 'i ']","['715', '  ']","['13,897', 'i ']","['4,465', '  ']","['257', '  ']","['4,208', '  ']","['10,147', 'i ']","['458', '  ']","['9,689', 'i ']"
8815,r016,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",4,other 54,"['12,578', '  ']","['11,542', '  ']","['1,036', '  ']","['3,228', '  ']","['2,624 - 2,665', '  ']","['563 - 603', '  ']","['9,350', '  ']","['8,876 - 8,918', '  ']","['432 - 473', 'i ']"
8815,r017,Total foreign R&D performance,Total foreign R&D performance,,,,1,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8815,r018,All industries,All industries,,,,1,"21–23, 31–33, 42–81","['109,705', '  ']","['98,187', '  ']","['11,518', 'i ']","['17,011', '  ']","['13,872', '  ']","['3,138', 'i ']","['92,694', '  ']","['84,315', '  ']","['8,380', 'i ']"
8815,r019,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,2,31–33,"['66,243', '  ']","['64,829', '  ']","['1,414', '  ']","['11,111', '  ']","['10,880', '  ']","['231', '  ']","['55,132', '  ']","['53,949', '  ']","['1,183', '  ']"
8815,r020,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,3,325,"['19,362', '  ']","['19,118', '  ']","['244', '  ']","['4,810', '  ']","['4,743', '  ']","['67', '  ']","['14,552', '  ']","['14,375', '  ']","['177', '  ']"
8815,r021,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['16,761', '  ']","['16,548', '  ']","['213', '  ']","['4,012', '  ']","['3,968', '  ']","['43', '  ']","['12,749', '  ']","['12,579', '  ']","['170', '  ']"
8815,r022,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,4,other 325,"['2,601', '  ']","['2,570', '  ']","['30', '  ']","['798', '  ']","['775', '  ']","['24', '  ']","['1,802', '  ']","['1,796', '  ']","['7', '  ']"
8815,r023,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,3,334,"['26,567', '  ']","['26,222', '  ']","['346', '  ']","['2,769', 'i ']","['2,734', 'i ']","['36', '  ']","['23,798', '  ']","['23,488', '  ']","['310', '  ']"
8815,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['13,023', '  ']","['12,868', '  ']","['155', 'i ']","['1,450', 'i ']","['1,448', 'i ']","['2', '  ']","['11,573', 'i ']","['11,419', 'i ']","['153', 'i ']"
8815,r025,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['13,544', '  ']","['13,354', '  ']","['190', '  ']","['1,319', '  ']","['1,285', '  ']","['34', '  ']","['12,225', '  ']","['12,069', '  ']","['156', '  ']"
8815,r026,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,2,"21–23, 42–81","['43,462', '  ']","['33,359', '  ']","['10,104', 'i ']","['5,900', '  ']","['2,993', '  ']","['2,907', 'i ']","['37,563', 'i ']","['30,366', 'i ']","['7,197', 'i ']"
8815,r027,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,3,51,"['22,900', '  ']","['22,869', '  ']","['31', '  ']","['1,999', '  ']","['1,995', '  ']","['3', '  ']","['20,901', '  ']","['20,874', '  ']","['28', '  ']"
8815,r028,All industries -> Nonmanufacturing industries -> Information -> Software publishers,All industries,Nonmanufacturing industries,Information,Software publishers,4,5112,"['7,683', '  ']","['7,654', '  ']","['29', '  ']","['696', '  ']","['693', '  ']","['3', '  ']","['6,987', '  ']","['6,961', '  ']","['26', '  ']"
8815,r029,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,4,other 51,"['15,217', '  ']","['15,215', '  ']","['1', 'i ']","['1,303', '  ']","['1,303', '  ']","['* ', 'i ']","['13,914', '  ']","['13,913', '  ']","['1', 'i ']"
8815,r030,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,3,54,"['13,744', 'i ']","['3,731', '  ']","['10,013', 'i ']","['3,581', 'i ']","['719', 'i ']","['2,863', 'i ']","['10,163', 'i ']","['3,012', 'i ']","['7,151', 'i ']"
8815,r031,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,4,5417,"['10,070', 'i ']","['196', '  ']","['9,874', 'i ']","['2,863', 'i ']","['77', '  ']","['2,786', 'i ']","['7,207', 'i ']","['119', '  ']","['7,087', 'i ']"
8815,r032,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",4,other 54,"['3,675', '  ']","['3,535', '  ']","['140', '  ']","['718', 'i ']","['642', 'i ']","['76', 'i ']","['2,956', 'i ']","['2,893', 'i ']","['63', 'i ']"
