table_id,row_id,region_country_or_economy,algeria,argentina,australia,austria,bangladesh,belgium,brazil,bulgaria,canada,chile,china,colombia,czechia,denmark,egypt,finland,france,germany,greece,hungary,india,indonesia,iran,iraq,ireland,israel,italy,japan,jordan,malaysia,mexico,morocco,netherlands,new_zealand,norway,pakistan,philippines,poland,portugal,romania,russia,saudi_arabia,serbia,singapore,slovakia,south_africa,south_korea,spain,sri_lanka,sweden,switzerland,taiwan,thailand,tunisia,turkey,united_kingdom,ukraine,united_arab_emirates,united_states,vietnam
10060,r001,Algeria,0,0,15,0,0,20,3,0,96,1,55,6,1,12,45,18,833,13,15,0,37,3,17,5,7,1,34,9,22,12,9,23,1,1,17,24,0,6,5,9,6,105,0,1,0,5,10,47,0,6,6,3,1,44,44,96,1,56,62,3
10060,r002,Argentina,0,0,26,8,0,13,68,1,22,34,8,34,10,4,0,1,70,45,0,1,8,0,1,0,5,0,67,4,1,0,44,0,16,0,1,0,0,3,6,2,1,1,0,2,6,7,0,190,0,4,5,1,0,1,2,47,0,4,92,0
10060,r003,Australia,15,26,0,117,204,104,149,20,473,71,5273,18,39,89,83,98,439,600,69,34,616,106,353,106,76,54,405,419,47,375,50,4,232,210,83,186,14,198,70,19,68,229,10,588,19,48,263,332,89,181,185,200,42,11,90,1192,3,138,2053,179
10060,r004,Austria,0,8,117,0,0,75,36,4,65,8,130,1,128,49,6,100,183,816,49,78,29,18,32,1,28,24,346,74,1,9,12,1,139,20,37,16,0,63,51,42,34,6,15,54,76,5,16,201,1,84,145,15,6,7,37,404,3,17,426,9
10060,r005,Bangladesh,0,0,204,0,0,9,4,0,80,1,104,0,2,12,11,16,20,28,2,1,135,4,7,3,7,0,25,193,0,146,0,2,1,3,8,8,1,1,11,2,2,99,1,6,0,2,60,10,2,22,0,2,23,2,11,113,0,12,270,8
10060,r006,Belgium,20,13,104,75,9,0,75,20,100,28,245,26,62,58,11,68,393,414,91,23,33,3,33,1,58,33,349,69,4,5,16,16,479,12,28,8,0,61,78,80,20,18,5,32,25,12,22,326,0,98,191,18,2,16,55,587,16,14,483,21
10060,r007,Brazil,3,68,149,36,4,75,0,3,374,93,114,73,22,23,11,47,460,294,25,8,93,1,29,3,49,21,217,97,8,22,50,5,100,34,36,18,1,30,496,6,23,29,3,17,25,16,29,380,0,58,63,11,5,1,4,519,0,26,767,6
10060,r008,Bulgaria,0,1,20,4,0,20,3,0,6,1,25,0,7,11,3,6,27,53,29,3,25,0,2,1,35,1,20,8,0,0,4,1,10,2,2,1,0,36,18,17,31,1,5,4,9,1,7,27,0,13,3,2,0,0,7,86,20,1,47,1
10060,r009,Canada,96,22,473,65,80,100,374,6,0,61,3602,29,75,80,170,68,662,490,61,50,393,5,578,23,66,160,374,411,28,74,83,58,207,49,125,94,3,597,70,144,60,434,27,230,12,61,275,206,20,100,203,135,34,90,216,920,12,223,3009,76
10060,r010,Chile,1,34,71,8,1,28,93,1,61,0,38,66,12,8,2,2,85,82,5,0,28,0,11,0,10,7,38,30,1,2,76,3,27,15,8,1,0,15,11,1,2,9,1,2,5,0,5,266,0,9,13,3,0,1,2,125,0,0,153,0
10060,r011,China,55,8,5273,130,104,245,114,25,3602,38,0,11,137,275,236,405,1107,1357,114,48,797,71,333,73,189,57,670,3676,57,363,108,12,491,410,297,779,68,386,212,53,245,950,81,3427,97,117,1138,609,11,333,299,1391,120,38,192,6485,40,268,13631,227
10060,r012,Colombia,6,34,18,1,0,26,73,0,29,66,11,0,7,7,4,5,70,41,1,1,22,7,5,5,8,1,27,2,3,2,89,1,13,3,3,5,1,7,17,1,8,5,0,0,0,0,5,262,0,3,19,2,0,4,3,68,0,2,139,0
10060,r013,Czechia,1,10,39,128,2,62,22,7,75,12,137,7,0,33,24,49,140,187,12,28,121,8,75,6,33,35,150,72,6,81,21,3,66,2,28,4,0,86,20,14,58,18,24,12,442,2,16,182,0,44,58,9,9,23,39,199,23,11,363,53
10060,r014,Denmark,12,4,89,49,12,58,23,11,80,8,275,7,33,0,5,76,92,321,51,9,90,2,80,2,21,36,169,60,0,10,5,5,136,12,96,18,2,44,36,13,17,20,6,45,0,9,19,131,2,132,55,7,20,4,28,285,5,7,382,3
10060,r015,Egypt,45,0,83,6,11,11,11,3,170,2,236,4,24,5,0,4,48,118,13,10,200,20,17,21,14,0,22,179,41,59,22,14,22,4,15,43,0,18,23,32,36,534,1,16,3,6,38,86,1,13,2,19,0,33,23,154,3,122,280,20
10060,r016,Finland,18,1,98,100,16,68,47,6,68,2,405,5,49,76,4,0,167,302,75,39,83,3,77,0,51,12,138,131,3,10,21,1,89,16,64,21,1,29,70,24,76,11,9,29,7,16,24,170,12,204,52,8,4,2,29,288,7,17,378,10
10060,r017,France,833,70,439,183,20,393,460,27,662,85,1107,70,140,92,48,167,0,1041,257,64,268,35,131,14,158,127,1218,611,12,60,319,366,406,68,115,83,3,190,178,243,132,134,44,165,27,51,119,890,4,201,436,66,75,851,99,1310,36,100,1759,164
10060,r018,Germany,13,45,600,816,28,414,294,53,490,82,1357,41,187,321,118,302,1041,0,270,116,266,45,154,30,173,195,1189,625,32,54,87,12,1079,135,189,84,4,294,244,171,271,41,57,205,46,65,227,852,13,492,912,74,55,64,161,2166,52,43,2870,60
