table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
5783,r091,2019 -> Total  -> Canada,S&E,Engineering,2,880
5783,r092,2019 -> Total  -> Canada,S&E,Agricultural sciences,2,110
5783,r093,2019 -> Total  -> Canada,S&E,Biological sciences,2,960
5783,r094,2019 -> Total  -> Canada,S&E,Computer sciences,2,500
5783,r095,2019 -> Total  -> Canada,S&E,Mathematics and statistics,2,150
5783,r096,2019 -> Total  -> Canada,S&E,Physical sciences,2,160
5783,r097,2019 -> Total  -> Canada,S&E,Psychology,2,430
5783,r098,2019 -> Total  -> Canada,S&E,Social sciences,2,860
5783,r099,2019 -> Total  -> Canada,Non-S&E,,1,9720
5783,r100,2019 -> Total  -> Nigeria,All fields,,1,6030
5783,r101,2019 -> Total  -> Nigeria,S&E,All S&E fields,2,2960
5783,r102,2019 -> Total  -> Nigeria,S&E,Engineering,2,1090
5783,r103,2019 -> Total  -> Nigeria,S&E,Agricultural sciences,2,10
5783,r104,2019 -> Total  -> Nigeria,S&E,Biological sciences,2,620
5783,r105,2019 -> Total  -> Nigeria,S&E,Computer sciences,2,760
5783,r106,2019 -> Total  -> Nigeria,S&E,Mathematics and statistics,2,40
5783,r107,2019 -> Total  -> Nigeria,S&E,Physical sciences,2,70
5783,r108,2019 -> Total  -> Nigeria,S&E,Psychology,2,100
5783,r109,2019 -> Total  -> Nigeria,S&E,Social sciences,2,260
5783,r110,2019 -> Total  -> Nigeria,Non-S&E,,1,3070
5783,r111,2019 -> Total  -> Brazil,All fields,,1,10020
5783,r112,2019 -> Total  -> Brazil,S&E,All S&E fields,2,2650
5783,r113,2019 -> Total  -> Brazil,S&E,Engineering,2,860
5783,r114,2019 -> Total  -> Brazil,S&E,Agricultural sciences,2,40
5783,r115,2019 -> Total  -> Brazil,S&E,Biological sciences,2,340
5783,r116,2019 -> Total  -> Brazil,S&E,Computer sciences,2,470
5783,r117,2019 -> Total  -> Brazil,S&E,Mathematics and statistics,2,70
5783,r118,2019 -> Total  -> Brazil,S&E,Physical sciences,2,90
5783,r119,2019 -> Total  -> Brazil,S&E,Psychology,2,270
5783,r120,2019 -> Total  -> Brazil,S&E,Social sciences,2,520
5783,r121,2019 -> Total  -> Brazil,Non-S&E,,1,7370
5783,r122,2019 -> Total  -> Malaysia,All fields,,1,4030
5783,r123,2019 -> Total  -> Malaysia,S&E,All S&E fields,2,2420
5783,r124,2019 -> Total  -> Malaysia,S&E,Engineering,2,1000
5783,r125,2019 -> Total  -> Malaysia,S&E,Agricultural sciences,2,50
5783,r126,2019 -> Total  -> Malaysia,S&E,Biological sciences,2,260
5783,r127,2019 -> Total  -> Malaysia,S&E,Computer sciences,2,370
5783,r128,2019 -> Total  -> Malaysia,S&E,Mathematics and statistics,2,200
5783,r129,2019 -> Total  -> Malaysia,S&E,Physical sciences,2,150
5783,r130,2019 -> Total  -> Malaysia,S&E,Psychology,2,170
5783,r131,2019 -> Total  -> Malaysia,S&E,Social sciences,2,230
5783,r132,2019 -> Total  -> Malaysia,Non-S&E,,1,1600
5783,r133,2019 -> Total  -> Taiwan,All fields,,1,7130
5783,r134,2019 -> Total  -> Taiwan,S&E,All S&E fields,2,2360
5783,r135,2019 -> Total  -> Taiwan,S&E,Engineering,2,570
5783,r136,2019 -> Total  -> Taiwan,S&E,Agricultural sciences,2,60
5783,r137,2019 -> Total  -> Taiwan,S&E,Biological sciences,2,290
5783,r138,2019 -> Total  -> Taiwan,S&E,Computer sciences,2,560
5783,r139,2019 -> Total  -> Taiwan,S&E,Mathematics and statistics,2,140
5783,r140,2019 -> Total  -> Taiwan,S&E,Physical sciences,2,100
5783,r141,2019 -> Total  -> Taiwan,S&E,Psychology,2,220
5783,r142,2019 -> Total  -> Taiwan,S&E,Social sciences,2,410
5783,r143,2019 -> Total  -> Taiwan,Non-S&E,,1,4780
5783,r144,2019 -> Total  -> Japan,All fields,,1,8900
5783,r145,2019 -> Total  -> Japan,S&E,All S&E fields,2,2260
5783,r146,2019 -> Total  -> Japan,S&E,Engineering,2,270
5783,r147,2019 -> Total  -> Japan,S&E,Agricultural sciences,2,60
5783,r148,2019 -> Total  -> Japan,S&E,Biological sciences,2,220
5783,r149,2019 -> Total  -> Japan,S&E,Computer sciences,2,430
5783,r150,2019 -> Total  -> Japan,S&E,Mathematics and statistics,2,100
5783,r151,2019 -> Total  -> Japan,S&E,Physical sciences,2,100
5783,r152,2019 -> Total  -> Japan,S&E,Psychology,2,260
5783,r153,2019 -> Total  -> Japan,S&E,Social sciences,2,820
5783,r154,2019 -> Total  -> Japan,Non-S&E,,1,6640
5783,r155,2019 -> Total  -> Mexico,All fields,,1,5800
5783,r156,2019 -> Total  -> Mexico,S&E,All S&E fields,2,2080
5783,r157,2019 -> Total  -> Mexico,S&E,Engineering,2,930
5783,r158,2019 -> Total  -> Mexico,S&E,Agricultural sciences,2,50
5783,r159,2019 -> Total  -> Mexico,S&E,Biological sciences,2,230
5783,r160,2019 -> Total  -> Mexico,S&E,Computer sciences,2,290
5783,r161,2019 -> Total  -> Mexico,S&E,Mathematics and statistics,2,60
5783,r162,2019 -> Total  -> Mexico,S&E,Physical sciences,2,100
5783,r163,2019 -> Total  -> Mexico,S&E,Psychology,2,140
5783,r164,2019 -> Total  -> Mexico,S&E,Social sciences,2,300
5783,r165,2019 -> Total  -> Mexico,Non-S&E,,1,3720
5783,r166,2019 -> Total  -> Indonesia,All fields,,1,4570
5783,r167,2019 -> Total  -> Indonesia,S&E,All S&E fields,2,1870
5783,r168,2019 -> Total  -> Indonesia,S&E,Engineering,2,670
5783,r169,2019 -> Total  -> Indonesia,S&E,Agricultural sciences,2,80
