table_id,row_id,occupation_group_full_path,occupation_group_level_1,occupation_group_level_2,occupation_group_level_3,occupation_group_hierarchy_depth,field_white,field_hispanic_or_latino,field_black_or_african_american,field_asian,field_american_indian_or_alaska_native,field_some_other_race_or_more_than_one_race
10228,r001,All workers,All workers,,,1,59.8,18.2,11.0,6.3,0.4,4.3
10228,r002,All workers -> STEM,All workers,STEM,,2,62.9,14.8,8.2,9.5,0.3,4.3
10228,r003,All workers -> STEM -> S&E,All workers,STEM,S&E,3,60.9,9.5,6.8,18.0,0.2,4.6
10228,r004,All workers -> STEM -> S&E-related,All workers,STEM,S&E-related,3,65.3,10.6,9.6,9.9,0.3,4.3
10228,r005,All workers -> STEM -> Middle-skill,All workers,STEM,Middle-skill,3,62.0,22.5,7.7,3.4,0.5,4.0
10228,r006,All workers -> Non-STEM,All workers,Non-STEM,,2,58.8,19.3,11.9,5.2,0.4,4.4
