table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_sciences,field_mathematics,field_other_computer_sciences_and_mathematics
3894,r001,All agencies,All agencies,,,,,1,2305943.3,1150707.7,1038831.0,116404.6
3894,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,
3894,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,885.4,870.4,15.0,0.0
3894,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,840.0,840.0,0.0,0.0
3894,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,45.3,30.3,15.0,0.0
3894,r006,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,13035.1,1882.0,1766.4,9386.7
3894,r007,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,13035.1,1882.0,1766.4,9386.7
3894,r008,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,576390.3,387976.1,85515.0,102899.2
3894,r009,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,251682.5,194320.0,3701.6,53660.9
3894,r010,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,92935.5,21517.1,34316.1,37102.4
3894,r011,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,74728.7,64284.9,10443.8,0.0
3894,r012,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,78125.4,60363.7,17303.3,458.3
3894,r013,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,78918.2,47490.4,19750.3,11677.6
3894,r014,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,687098.1,52382.0,630597.4,4118.7
3894,r015,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,4118.7,0.0,0.0,4118.7
3894,r016,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,4118.7,0.0,0.0,4118.7
3894,r017,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,682979.4,52382.0,630597.4,0.0
3894,r018,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,88869.5,0.0,88869.5,0.0
3894,r019,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,88869.5,0.0,88869.5,0.0
3894,r020,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,435.5,435.5,0.0,0.0
3894,r021,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,435.5,435.5,0.0,0.0
3894,r022,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,
3894,r023,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,939229.3,707161.8,232067.6,0.0
