table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_performed_by_the_company_total,field_performed_by_the_company_paid_for_by_the_company,field_performed_by_the_company_paid_for_by_others,field_performed_by_others_total,field_performed_by_others_paid_for_by_the_company,field_performed_by_others_paid_for_by_others
12302,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['691,547', '  ']","['608,058', '  ']","['83,489', '  ']","['54,152', '  ']","['45,489', '  ']","['8,663', '  ']"
12302,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['372,459', '  ']","['326,998', '  ']","['45,461', '  ']","['45,181', '  ']","['39,499', '  ']","['5,682', '  ']"
12302,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['7,143', '  ']","['D', '  ']","['D', '  ']","['224', '  ']","['D', '  ']","['D', '  ']"
12302,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['767', '  ']","['660', '  ']","['107', '  ']","['131', '  ']","['128', '  ']","['3', '  ']"
12302,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['635', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['*', '  ']"
12302,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['259', '  ']","['254', '  ']","['5', '  ']","['22', '  ']","['22', '  ']","['0', '  ']"
12302,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,005', '  ']","['1,004', '  ']","['*', '  ']","['6', '  ']","['6', '  ']","['0', '  ']"
12302,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['165', '  ']","['164', '  ']","['1', '  ']","['4', '  ']","['3', '  ']","['*', '  ']"
12302,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['860', '  ']","['856', '  ']","['4', '  ']","['195', '  ']","['194', '  ']","['1', '  ']"
12302,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['125,728', '  ']","['113,518', '  ']","['12,210', '  ']","['32,297', '  ']","['28,847', '  ']","['3,450', '  ']"
12302,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,860', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['3', '  ']"
