table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_atmospheric_sciences,field_geological_sciences,field_oceanography,field_other_environmental_sciences
6357,r001,All agencies,All agencies,,,,,1,5039457.8,908063.5,306030.2,946188.4,2879175.7
6357,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,
6357,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,17878.8,13683.4,128.1,0.0,4067.3
6357,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,5637.2,5509.1,128.1,0.0,0.0
6357,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,7144.3,3077.0,0.0,0.0,4067.3
6357,r006,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,5097.4,5097.4,0.0,0.0,0.0
6357,r007,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,484136.8,216602.8,961.0,251546.3,15026.6
6357,r008,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,8966.7,8471.7,495.0,0.0,0.0
6357,r009,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,475170.1,208131.1,466.0,251546.3,15026.6
6357,r010,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,386015.7,65174.6,2182.0,263267.0,55392.1
6357,r011,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,58543.9,12830.6,0.0,13905.9,31807.4
6357,r012,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,823.0,0.0,0.0,0.0,823.0
6357,r013,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,5104.6,3525.6,13.1,0.0,1565.9
6357,r014,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,13480.1,1420.0,763.6,0.0,11296.5
6357,r015,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,299125.3,45102.8,0.0,245087.8,8934.6
6357,r016,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,8938.8,2295.6,1405.3,4273.3,964.7
6357,r017,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,436246.8,252981.4,26735.9,955.6,155574.0
6357,r018,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,955.6,0.0,0.0,955.6,0.0
6357,r019,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,7319.2,0.0,0.0,0.0,7319.2
6357,r020,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,61135.0,0.0,0.0,0.0,61135.0
