table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
2063,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['61,065', '  ']","['36,047', '  ']","['591', '  ']","['1,879', '  ']","['375', '  ']","['6,341', '  ']","['1,113', '  ']","['1,578', '  ']","['332', '  ']","['2,825', 'i ']","['9,986', 'i ']"
2063,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['41,072', '  ']","['24,363', 'i ']","['435', '  ']","['1,127', '  ']","['226', '  ']","['5,076', '  ']","['657', 'i ']","['1,055', '  ']","['304', '  ']","['1,200', 'i ']","['6,627', 'i ']"
2063,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['244', '  ']","['136', '  ']","['1', '  ']","['10', '  ']","['*', '  ']","['16', '  ']","['16', '  ']","['10', '  ']","['0', '  ']","['26', '  ']","['31', '  ']"
2063,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['107', '  ']","['67', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['8', '  ']","['4', '  ']","['9', '  ']","['0', '  ']","['9', '  ']","['7', '  ']"
2063,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['1', '  ']","['1', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i ']"
2063,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['5', '  ']","['3', '  ']","['*', 'i ']","['*', 'i ']","['*', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['*', 'i ']","['1', '  ']"
2063,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['29', '  ']","['11', '  ']","['*', 'i ']","['3', '  ']","['*', '  ']","['10', '  ']","['*', 'i ']","['1', '  ']","['0', '  ']","['1', '  ']","['3', '  ']"
2063,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['11', '  ']","['9', '  ']","['*', 'i ']","['1', '  ']","['*', 'i ']","['1', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['1', 'i ']"
2063,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['15', '  ']","['10', '  ']","['0', '  ']","['0 - 5', '  ']","['*', '  ']","['1', '  ']","['0 - 5', '  ']","['0 - 5', '  ']","['0', '  ']","['0', '  ']","['0 - 5', '  ']"
2063,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['11,692', '  ']","['5,816', '  ']","['386', '  ']","['478', '  ']","['64', '  ']","['612', '  ']","['347', '  ']","['551', '  ']","['20', 'i ']","['659', 'i ']","['2,759', 'i ']"
2063,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['181', '  ']","['121', '  ']","['0', '  ']","['0 - 16', '  ']","['6', '  ']","['12', '  ']","['5', '  ']","['10', '  ']","['*', '  ']","['14', '  ']","['0 - 16', '  ']"
2063,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['16', '  ']","['7', '  ']","['*', 'i ']","['0 - 9', 'i ']","['*', 'i ']","['1', '  ']","['*', 'i ']","['1', '  ']","['*', 'i ']","['*', 'i ']","['0 - 9', '  ']"
2063,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['284 - 383', '  ']","['146 - 174', '  ']","['*', 'i ']","['68 - 119', '  ']","['*', 'i ']","['0 - 19', '  ']","['4', '  ']","['0 - 25', '  ']","['*', 'i ']","['*', 'i ']","['0 - 88', '  ']"
2063,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['10,973', '  ']","['5,430', '  ']","['386', '  ']","['352', '  ']","['57', '  ']","['578', '  ']","['330', '  ']","['510', '  ']","['20', 'i ']","['640', 'i ']","['2,672', 'i ']"
2063,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['118 - 213', '  ']","['87', '  ']","['*', 'i ']","['8', '  ']","['*', 'i ']","['5', '  ']","['8', '  ']","['8', '  ']","['*', 'i ']","['4', '  ']","['0 - 88', '  ']"
2063,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['23', '  ']","['0 - 23', '  ']","['0', '  ']","['0 - 23', '  ']","['1', 'i ']","['0 - 19', '  ']","['*', '  ']","['0 - 23', '  ']","['0', '  ']","['*', '  ']","['0 - 23', '  ']"
2063,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['117', '  ']","['34', '  ']","['0', '  ']","['*', '  ']","['3', '  ']","['70', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['3', '  ']","['5', '  ']"
2063,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['30', 'i ']","['16', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['2', 'i ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['12', 'i ']"
2063,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['8', '  ']","['5', '  ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['3', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
2063,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['107', '  ']","['60', '  ']","['0', '  ']","['*', 'i ']","['2', '  ']","['35', 'i ']","['*', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['9', 'i ']"
2063,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['940', '  ']","['672', '  ']","['2', 'i ']","['24', '  ']","['4', '  ']","['131', '  ']","['7', '  ']","['44', '  ']","['1', 'i ']","['4', '  ']","['51', '  ']"
2063,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement ,All industries,Manufacturing industries,Machinery,Agricultural implement ,,4,33311,"['59', 'i ']","['43', 'i ']","['0', '  ']","['2', 'i ']","['*', 'i ']","['5', 'i ']","['*', 'i ']","['4', 'i ']","['0', '  ']","['0', '  ']","['5', 'i ']"
2063,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['465', '  ']","['374', '  ']","['*', '  ']","['2', '  ']","['*', '  ']","['38', '  ']","['0', '  ']","['35', '  ']","['0', '  ']","['2', '  ']","['14', '  ']"
2063,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment ",,4,3336,"['159', '  ']","['104', '  ']","['*', '  ']","['*', '  ']","['2', '  ']","['37', '  ']","['1', '  ']","['*', '  ']","['0', '  ']","['1', '  ']","['14', '  ']"
2063,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['257', '  ']","['151', '  ']","['2', 'i ']","['20', '  ']","['2', '  ']","['52', '  ']","['6', '  ']","['5', '  ']","['1', 'i ']","['2', '  ']","['17', 'i ']"
2063,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,633', '  ']","['6,067', '  ']","['46', '  ']","['306', '  ']","['60', '  ']","['726', '  ']","['114', 'i ']","['222', '  ']","['268', '  ']","['97', '  ']","['727', '  ']"
2063,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['1,715', 'i ']","['1,348', 'i ']","['4', 'i ']","['34', 'i ']","['11', 'i ']","['141', 'i ']","['57', 'i ']","['31', 'i ']","['19', 'i ']","['11', 'i ']","['58', 'i ']"
2063,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['2,289', '  ']","['1,530', '  ']","['31', '  ']","['53', '  ']","['21', '  ']","['91', '  ']","['42', '  ']","['117', '  ']","['7', '  ']","['56', '  ']","['341', '  ']"
2063,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['4,420', '  ']","['3,031', '  ']","['12', '  ']","['201', '  ']","['22', '  ']","['486', '  ']","['12', '  ']","['65', '  ']","['241', '  ']","['27', '  ']","['323', '  ']"
2063,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus ",5,"334510, 334517","['150', '  ']","['96', '  ']","['0', '  ']","['15', '  ']","['1', '  ']","['12', '  ']","['1', '  ']","['2', '  ']","['*', '  ']","['*', '  ']","['23', '  ']"
2063,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument ",5,334511,"['4,083', '  ']","['2,829', '  ']","['0 - 12', '  ']","['175', '  ']","['0 - 22', '  ']","['451', '  ']","['11', '  ']","['58', '  ']","['196 - 242', '  ']","['0 - 27', '  ']","['255 - 301', '  ']"
2063,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device ,5,other 3345,"['187', '  ']","['106', '  ']","['0 - 12', '  ']","['11', '  ']","['0 - 22', '  ']","['22', '  ']","['1', '  ']","['6', '  ']","['0 - 44', 'i ']","['0 - 27', '  ']","['0 - 44', '  ']"
