table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expendituresa,field_intramural_performersb,field_extramural_performersc_total,field_extramural_performersc_academic_institutions,field_extramural_performersc_companies_and_individualsd,field_extramural_performersc_othere,field_r_d_plantf
9929,r001,United States<sup>g</sup>,United States<sup>g</sup>,,1,2643991142,696624562,1947366580,1032713072,454745763,459907745,31839778
9929,r002,United States<sup>g</sup> -> Alabama,United States<sup>g</sup>,Alabama,2,88219991,12081222,76138769,12354753,691474,63092542,0
9929,r003,United States<sup>g</sup> -> Alaska,United States<sup>g</sup>,Alaska,2,17157228,11600345,5556883,1476494,2512461,1567928,0
9929,r004,United States<sup>g</sup> -> Arizona,United States<sup>g</sup>,Arizona,2,7946421,2039798,5906623,4170522,1648151,87950,0
9929,r005,United States<sup>g</sup> -> Arkansas,United States<sup>g</sup>,Arkansas,2,9759708,220653,9539055,7858723,380332,1300000,0
9929,r006,United States<sup>g</sup> -> California,United States<sup>g</sup>,California,2,490081806,87712398,402369408,128557417,91219461,182592530,5700000
9929,r007,United States<sup>g</sup> -> Colorado,United States<sup>g</sup>,Colorado,2,38058349,9393492,28664857,10769660,13882986,4012211,0
9929,r008,United States<sup>g</sup> -> Connecticut,United States<sup>g</sup>,Connecticut,2,60578799,28200758,32378041,2428369,28345413,1604259,0
9929,r009,United States<sup>g</sup> -> Delaware,United States<sup>g</sup>,Delaware,2,3446375,1568167,1878208,1108165,711743,58300,0
9929,r010,United States<sup>g</sup> -> District of Columbia,United States<sup>g</sup>,District of Columbia,2,10560754,4320240,6240514,712013,3629822,1898679,0
9929,r011,United States<sup>g</sup> -> Florida,United States<sup>g</sup>,Florida,2,180145644,51395556,128750088,80421221,3864156,44464711,2163105
9929,r012,United States<sup>g</sup> -> Georgia,United States<sup>g</sup>,Georgia,2,24988379,2884258,22104121,6905171,11334225,3864725,0
9929,r013,United States<sup>g</sup> -> Hawaii,United States<sup>g</sup>,Hawaii,2,6337851,201790,6136061,3980790,2085271,70000,5750000
9929,r014,United States<sup>g</sup> -> Idaho,United States<sup>g</sup>,Idaho,2,20444262,7278248,13166014,9211146,549931,3404937,0
9929,r015,United States<sup>g</sup> -> Illinois,United States<sup>g</sup>,Illinois,2,16463839,554067,15909772,13980583,435210,1493979,0
9929,r016,United States<sup>g</sup> -> Indiana,United States<sup>g</sup>,Indiana,2,12104856,660237,11444619,8610791,2833828,0,0
9929,r017,United States<sup>g</sup> -> Iowa,United States<sup>g</sup>,Iowa,2,10636720,2912086,7724634,6716097,989049,19488,0
9929,r018,United States<sup>g</sup> -> Kansas,United States<sup>g</sup>,Kansas,2,17633236,1500273,16132963,13017281,202079,2913603,0
9929,r019,United States<sup>g</sup> -> Kentucky,United States<sup>g</sup>,Kentucky,2,34881537,4434431,30447106,24590319,4084159,1772628,0
9929,r020,United States<sup>g</sup> -> Louisiana,United States<sup>g</sup>,Louisiana,2,31843839,10033831,21810008,18458516,3004727,346765,0
9929,r021,United States<sup>g</sup> -> Maine,United States<sup>g</sup>,Maine,2,24812470,12208306,12604164,4385530,6971533,1247101,1579462
9929,r022,United States<sup>g</sup> -> Maryland,United States<sup>g</sup>,Maryland,2,31280581,864022,30416559,25771680,2612842,2032037,0
9929,r023,United States<sup>g</sup> -> Massachusetts,United States<sup>g</sup>,Massachusetts,2,26616423,1636998,24979425,10387510,10092864,4499051,4484231
