table_id,row_id,company_size_full_path,company_size_level_1,company_size_level_2,company_size_level_3,company_size_hierarchy_depth,field_companies_number_,field_marketing_innovation_number_yes,field_marketing_innovation_number_no,field_marketing_innovation_percent_yes,field_marketing_innovation_percent_no
2594,r001,All companies,All companies,,,1,"['    4,603,606 ', '&nbsp;']","['    1,038,723 ', '&nbsp;']","['    3,564,883 ', '&nbsp;']","['    22.6 ', '&nbsp;']","['    77.4 ', '&nbsp;']"
2594,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2594,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,615,093 ', '&nbsp;']","['    496,917 ', '&nbsp;']","['    2,118,177 ', '&nbsp;']","['    19.0 ', '&nbsp;']","['    81.0 ', '&nbsp;']"
2594,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    885,880 ', '&nbsp;']","['    221,113 ', '&nbsp;']","['    664,767 ', '&nbsp;']","['    25.0 ', '&nbsp;']","['    75.0 ', '&nbsp;']"
2594,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2594,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    562,922 ', '&nbsp;']","['    156,012 ', '&nbsp;']","['    406,910 ', '&nbsp;']","['    27.7 ', '&nbsp;']","['    72.3 ', '&nbsp;']"
2594,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    353,037 ', '&nbsp;']","['    103,654 ', '&nbsp;']","['    249,384 ', '&nbsp;']","['    29.4 ', '&nbsp;']","['    70.6 ', '&nbsp;']"
2594,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2594,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    104,561 ', '&nbsp;']","['    33,318 ', '&nbsp;']","['    71,243 ', '&nbsp;']","['    31.9 ', '&nbsp;']","['    68.1 ', '&nbsp;']"
2594,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    52,429 ', '&nbsp;']","['    17,084 ', '&nbsp;']","['    35,345 ', '&nbsp;']","['    32.6 ', '&nbsp;']","['    67.4 ', '&nbsp;']"
2594,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2594,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['    15,665 ', '&nbsp;']","['    5,468 ', '&nbsp;']","['    10,197 ', '&nbsp;']","['    34.9 ', '&nbsp;']","['    65.1 ', '&nbsp;']"
2594,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['    7,026 ', '&nbsp;']","['    2,356 ', '&nbsp;']","['    4,670 ', '&nbsp;']","['    33.5 ', '&nbsp;']","['    66.5 ', '&nbsp;']"
2594,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['    5,514 ', '&nbsp;']","['    2,084 ', '&nbsp;']","['    3,429 ', '&nbsp;']","['    37.8 ', '&nbsp;']","['    62.2 ', '&nbsp;']"
2594,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['    744 ', '&nbsp;']","['    338 ', '&nbsp;']","['    406 ', '&nbsp;']","['    45.5 ', '&nbsp;']","['    54.5 ', '&nbsp;']"
2594,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['    447 ', '&nbsp;']","['    221 ', '&nbsp;']","['    226 ', '&nbsp;']","['    49.4 ', '&nbsp;']","['    50.6 ', '&nbsp;']"
2594,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['    288 ', '&nbsp;']","['    158 ', '&nbsp;']","['    130 ', '&nbsp;']","['    54.8 ', '&nbsp;']","['    45.2 ', '&nbsp;']"
