table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
6570,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['428,968', '&nbsp;']","['4,432', '&nbsp;']","['10,040', '&nbsp;']","['11,492', '&nbsp;']","['16,520', '&nbsp;']","['15,356', '&nbsp;']","['21,549', '&nbsp;']","['64,475', '&nbsp;']","['44,728', '&nbsp;']","['74,385', '&nbsp;']","['165,991', '&nbsp;']"
6570,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['248,109', '&nbsp;']","['2,007', '&nbsp;']","['4,606', '&nbsp;']","['7,013', '&nbsp;']","['9,921', '&nbsp;']","['8,834', '&nbsp;']","['13,163', '&nbsp;']","['36,818', '&nbsp;']","['33,246', '&nbsp;']","['53,071', '&nbsp;']","['79,430', '&nbsp;']"
6570,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['3,937', '&nbsp;']","['0 - 26', '&nbsp;']","['29', '&nbsp;']","['91', '&nbsp;']","['163', '&nbsp;']","['191', '&nbsp;']","['184', '&nbsp;']","['506', '&nbsp;']","['194 - 234', '&nbsp;']","['1,687 - 1,697', 'i']","['856', 'i']"
6570,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['971', '&nbsp;']","['15', '&nbsp;']","['18', '&nbsp;']","['16', '&nbsp;']","['10', '&nbsp;']","['12 - 20', '&nbsp;']","['26', '&nbsp;']","['21', '&nbsp;']","['204', '&nbsp;']","['101', '&nbsp;']","['541 - 547', '&nbsp;']"
6570,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['873', '&nbsp;']","['0 - 23', '&nbsp;']","['68', '&nbsp;']","['0 - 10', '&nbsp;']","['22 - 41', '&nbsp;']","['22', '&nbsp;']","['14', '&nbsp;']","['190', '&nbsp;']","['282', '&nbsp;']","['86', '&nbsp;']","['166', '&nbsp;']"
6570,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['180', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['5', '&nbsp;']","['22', '&nbsp;']","['5', '&nbsp;']","['7', '&nbsp;']","['45', '&nbsp;']","['85', '&nbsp;']","['7', '&nbsp;']","['0', '&nbsp;']"
6570,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,064', '&nbsp;']","['2', '&nbsp;']","['12', '&nbsp;']","['6', '&nbsp;']","['29', '&nbsp;']","['24', '&nbsp;']","['10', '&nbsp;']","['76', '&nbsp;']","['119', '&nbsp;']","['341', '&nbsp;']","['446', '&nbsp;']"
6570,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['420', 'i']","['123', '&nbsp;']","['4', '&nbsp;']","['18', '&nbsp;']","['22', '&nbsp;']","['52', 'i']","['11', '&nbsp;']","['29', 'i']","['72', 'i']","['89', 'i']","['0', '&nbsp;']"
6570,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,203', '&nbsp;']","['1', '&nbsp;']","['4', '&nbsp;']","['0 - 140', '&nbsp;']","['16 - 35', '&nbsp;']","['39', '&nbsp;']","['25 - 65', '&nbsp;']","['44', '&nbsp;']","['0 - 279', '&nbsp;']","['0 - 193', '&nbsp;']","['455 - 1,050', '&nbsp;']"
6570,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['87,288', '&nbsp;']","['905', '&nbsp;']","['2,072', '&nbsp;']","['4,186', '&nbsp;']","['4,549', '&nbsp;']","['3,949', '&nbsp;']","['5,178', '&nbsp;']","['10,289', '&nbsp;']","['12,926', '&nbsp;']","['27,034', '&nbsp;']","['16,201', '&nbsp;']"
6570,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,198', '&nbsp;']","['0 - 45', '&nbsp;']","['97', '&nbsp;']","['43', '&nbsp;']","['142', '&nbsp;']","['103', '&nbsp;']","['149', '&nbsp;']","['1,033', '&nbsp;']","['259 - 312', '&nbsp;']","['308', '&nbsp;']","['15', '&nbsp;']"
6570,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,092', '&nbsp;']","['0 - 45', '&nbsp;']","['14', '&nbsp;']","['13 - 27', '&nbsp;']","['96', '&nbsp;']","['22', '&nbsp;']","['64', '&nbsp;']","['99 - 133', '&nbsp;']","['0', '&nbsp;']","['704 - 772', '&nbsp;']","['0', '&nbsp;']"
6570,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,501', '&nbsp;']","['21', '&nbsp;']","['22', '&nbsp;']","['20 - 34', '&nbsp;']","['39', '&nbsp;']","['25', '&nbsp;']","['25', '&nbsp;']","['166 - 237', '&nbsp;']","['695 - 751', '&nbsp;']","['362 - 476', '&nbsp;']","['0', '&nbsp;']"
6570,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['78,652', '&nbsp;']","['820', '&nbsp;']","['1,880', '&nbsp;']","['3,951', '&nbsp;']","['4,077', '&nbsp;']","['3,663', '&nbsp;']","['4,856', '&nbsp;']","['8,155', '&nbsp;']","['11,538', '&nbsp;']","['23,828', '&nbsp;']","['15,884', '&nbsp;']"
6570,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,596', '&nbsp;']","['21', '&nbsp;']","['10', '&nbsp;']","['48', '&nbsp;']","['116', '&nbsp;']","['50', '&nbsp;']","['33', '&nbsp;']","['348', '&nbsp;']","['379', 'i']","['1,410', '&nbsp;']","['181', 'i']"
6570,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,249', '&nbsp;']","['0 - 45', '&nbsp;']","['49', '&nbsp;']","['82 - 99', '&nbsp;']","['78', '&nbsp;']","['85', '&nbsp;']","['51', '&nbsp;']","['419 - 489', '&nbsp;']","['0', '&nbsp;']","['239 - 366', '&nbsp;']","['121', '&nbsp;']"
6570,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,770', '&nbsp;']","['6', '&nbsp;']","['50', '&nbsp;']","['134', '&nbsp;']","['208', '&nbsp;']","['233', '&nbsp;']","['316', '&nbsp;']","['684', '&nbsp;']","['633', '&nbsp;']","['333', '&nbsp;']","['174', '&nbsp;']"
6570,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,473', 'i']","['*', '&nbsp;']","['10', '&nbsp;']","['26', '&nbsp;']","['11 - 30', '&nbsp;']","['0 - 15', '&nbsp;']","['190', '&nbsp;']","['150', '&nbsp;']","['37 - 57', '&nbsp;']","['1,014', 'i']","['0', '&nbsp;']"
6570,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['649', '&nbsp;']","['0 - 4', '&nbsp;']","['12 - 18', '&nbsp;']","['16', '&nbsp;']","['101', '&nbsp;']","['24', '&nbsp;']","['46', '&nbsp;']","['228', '&nbsp;']","['98', '&nbsp;']","['105 - 111', '&nbsp;']","['9', 'i']"
6570,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,632', '&nbsp;']","['110', '&nbsp;']","['155', '&nbsp;']","['290', '&nbsp;']","['520', '&nbsp;']","['350', '&nbsp;']","['417', '&nbsp;']","['547', '&nbsp;']","['154', 'i']","['88', '&nbsp;']","['0', '&nbsp;']"
6570,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['13,930', '&nbsp;']","['134', '&nbsp;']","['554', '&nbsp;']","['460', '&nbsp;']","['929', '&nbsp;']","['535', '&nbsp;']","['710', '&nbsp;']","['2,384', '&nbsp;']","['3,839', '&nbsp;']","['1,387', '&nbsp;']","['2,997', '&nbsp;']"
6570,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,913', '&nbsp;']","['4', '&nbsp;']","['48', '&nbsp;']","['13', '&nbsp;']","['44', '&nbsp;']","['20', '&nbsp;']","['81', '&nbsp;']","['270', '&nbsp;']","['141', '&nbsp;']","['0', '&nbsp;']","['1,293', '&nbsp;']"
6570,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['3,854', '&nbsp;']","['0 - 125', '&nbsp;']","['15', '&nbsp;']","['0 - 48', '&nbsp;']","['87', '&nbsp;']","['45', '&nbsp;']","['154', '&nbsp;']","['709 - 762', '&nbsp;']","['2,666 - 2,799', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
6570,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,096', '&nbsp;']","['7', 'i']","['42', '&nbsp;']","['1', '&nbsp;']","['34', '&nbsp;']","['48', '&nbsp;']","['64', '&nbsp;']","['89', '&nbsp;']","['462', '&nbsp;']","['350', '&nbsp;']","['0', '&nbsp;']"
